,date,CO,NO_2,NOx,O_3,PM10,PM25,SO_2,city,year,population,month,quarter
120,2008-03-01,0.5841217367707388,69.14036930965956,137.6346388276469,18.02996600769004,33.98077297479442,21.717447975029547,14.614430192385592,madrid,2008,6327594,2008-03,2008Q1
121,2008-03-02,,157,386,27,116,,71,hong kong,2008,6964000,2008-03,2008Q1
122,2008-03-02,0.5034270649268464,59.37111843579012,106.10849261940781,25.769518122205227,22.47549432757608,14.535189196870133,13.09465154614209,madrid,2008,6327594,2008-03,2008Q1
123,2008-03-03,0.539320557806576,63.63691930770874,121.10069385959257,24.156341898339427,29.474158601467664,16.87542108077752,13.68595159899804,madrid,2008,6327594,2008-03,2008Q1
124,2008-03-03,,107,191,73,112,,44,hong kong,2008,6964000,2008-03,2008Q1
125,2008-03-04,0.32938053027718467,37.71495131441912,58.219659120715285,46.335756054448915,17.024090921723996,6.14734376159807,9.347922084006397,madrid,2008,6327594,2008-03,2008Q1
126,2008-03-04,,66,72,93,144,,33,hong kong,2008,6964000,2008-03,2008Q1
127,2008-03-05,0.3269001748608572,31.690496842066448,50.92354156306157,53.134016972073056,17.31922704413317,5.87931936885674,9.243258445259082,madrid,2008,6327594,2008-03,2008Q1
128,2008-03-05,,49,53,107,95,,23,hong kong,2008,6964000,2008-03,2008Q1
129,2008-03-06,,62,68,72,68,,28,hong kong,2008,6964000,2008-03,2008Q1
130,2008-03-06,0.4107986120571796,50.151490451860575,81.68661849147891,40.545500827361856,21.468184746258455,10.675208335742354,11.928073832540987,madrid,2008,6327594,2008-03,2008Q1
131,2008-03-07,,63,72,65,72,,23,hong kong,2008,6964000,2008-03,2008Q1
132,2008-03-07,0.5697391300875208,83.77038473349351,147.2022791903819,20.797198640268,33.82548117754315,17.21194732816596,15.940528840781786,madrid,2008,6327594,2008-03,2008Q1
133,2008-03-08,,70,110,64,73,,35,hong kong,2008,6964000,2008-03,2008Q1
134,2008-03-08,0.4569680838389917,65.59665019839417,102.91575152655832,32.748719664593466,26.399428093745037,14.747166672017839,14.04194445976245,madrid,2008,6327594,2008-03,2008Q1
135,2008-03-09,,91,126,53,107,,41,hong kong,2008,6964000,2008-03,2008Q1
136,2008-03-09,0.38961956504921336,49.11958330209057,73.0246667151153,43.739171164376394,19.305175299835522,11.807619083140578,10.98260001262029,madrid,2008,6327594,2008-03,2008Q1
137,2008-03-10,,63,70,70,65,,18,hong kong,2008,6964000,2008-03,2008Q1
138,2008-03-10,0.35384058011223335,42.061516781648,62.72931677977244,41.277999995240066,23.40262539570148,10.701796428172175,9.204500028888384,madrid,2008,6327594,2008-03,2008Q1
139,2008-03-11,,93,119,46,70,,34,hong kong,2008,6964000,2008-03,2008Q1
140,2008-03-11,0.3564195309110511,37.5459098788056,63.20410688572216,40.44063273967884,18.256644504014837,10.766176476198083,10.809834152904909,madrid,2008,6327594,2008-03,2008Q1
141,2008-03-12,0.44176785636892807,54.84773400146973,102.65786524006886,24.433501727905007,24.967578223352575,13.872228574752807,11.525213831349424,madrid,2008,6327594,2008-03,2008Q1
142,2008-03-12,,65,77,59,49,,17,hong kong,2008,6964000,2008-03,2008Q1
143,2008-03-13,0.5890625007385906,70.7049198769606,142.76887818253957,24.623062586017873,32.564999981186325,15.204375017434359,13.385000006701702,madrid,2008,6327594,2008-03,2008Q1
144,2008-03-13,,88,279,30,68,,41,hong kong,2008,6964000,2008-03,2008Q1
145,2008-03-14,0.6632118044653907,84.8186378356738,166.72641010773486,19.68380710074139,44.39233971711917,22.248437454303104,15.125625018508007,madrid,2008,6327594,2008-03,2008Q1
146,2008-03-14,,79,154,33,69,,37,hong kong,2008,6964000,2008-03,2008Q1
147,2008-03-15,0.44001736112275264,51.30682690316238,92.58035261755904,36.15814936626544,32.88459933491853,14.83911462749044,11.695448713042797,madrid,2008,6327594,2008-03,2008Q1
148,2008-03-15,,56,62,85,73,,17,hong kong,2008,6964000,2008-03,2008Q1
149,2008-03-16,,77,101,42,69,,28,hong kong,2008,6964000,2008-03,2008Q1
