,date,NOx,NO_2,NOx,SO_2
258,13.07.2010,1,18,19,0
259,14.07.2010,1,10,11,2
260,15.07.2010,1,13,14,1
261,16.07.2010,1,19,20,2
262,17.07.2010,1,11,12,0
263,18.07.2010,1,7,9,0
264,19.07.2010,2,14,17,0
265,20.07.2010,1,11,12,0
266,21.07.2010,1,17,18,1
267,22.07.2010,2,20,23,1
268,23.07.2010,2,17,19,
269,24.07.2010,1,9,11,1
270,25.07.2010,1,11,12,3
271,26.07.2010,4,23,29,1
272,27.07.2010,1,17,19,1
273,28.07.2010,1,21,23,2
274,29.07.2010,1,15,16,4
275,30.07.2010,2,16,18,1
276,31.07.2010,2,16,19,1
277,01.08.2010,1,10,11,1
278,02.08.2010,2,25,28,1
279,03.08.2010,2,22,26,0
280,04.08.2010,4,16,22,0
281,05.08.2010,1,14,16,2
282,06.08.2010,3,20,25,1
283,07.08.2010,0,11,11,0
284,08.08.2010,1,13,14,1
285,09.08.2010,3,30,34,5
286,10.08.2010,8,20,32,1
287,11.08.2010,3,21,25,1
288,12.08.2010,3,18,21,1
289,13.08.2010,2,18,21,1
290,14.08.2010,2,17,20,1
291,15.08.2010,1,9,11,1
292,16.08.2010,1,14,16,0
293,17.08.2010,3,18,22,0
294,18.08.2010,3,19,23,1
295,19.08.2010,2,20,23,2
296,20.08.2010,8,23,35,1
297,21.08.2010,3,22,26,0
298,22.08.2010,6,15,24,0
299,23.08.2010,2,15,18,
300,24.08.2010,1,12,13,
301,25.08.2010,2,15,18,1
302,26.08.2010,6,26,35,1
303,27.08.2010,3,18,22,0
304,28.08.2010,2,13,16,2
305,29.08.2010,1,10,12,0
306,30.08.2010,3,16,20,1
307,31.08.2010,2,15,18,0
308,01.09.2010,5,22,29,0
309,02.09.2010,6,25,35,1
310,03.09.2010,21,26,59,2
311,04.09.2010,12,19,38,1
312,05.09.2010,1,8,9,0
313,06.09.2010,2,16,20,1
314,07.09.2010,1,12,14,1
315,08.09.2010,1,11,13,2
316,09.09.2010,3,18,23,1
317,10.09.2010,7,24,35,1
318,11.09.2010,11,20,38,0
319,12.09.2010,2,14,16,1
320,13.09.2010,8,30,42,1
321,14.09.2010,4,23,28,0
322,15.09.2010,2,19,21,1
323,16.09.2010,2,18,20,0
324,17.09.2010,4,21,28,1
325,18.09.2010,1,12,14,0
