,date,NOx,NO_2,NOx,SO_2
818,24.01.2012,9,33,46,1
819,25.01.2012,30,36,81,1
820,26.01.2012,34,23,75,3
821,27.01.2012,1,15,17,13
822,28.01.2012,2,24,27,19
823,29.01.2012,1,15,17,15
824,30.01.2012,2,18,20,8
825,31.01.2012,1,15,17,11
826,01.02.2012,2,17,20,10
827,02.02.2012,9,30,43,6
828,03.02.2012,21,53,86,6
829,04.02.2012,48,45,118,3
830,05.02.2012,20,29,59,3
831,06.02.2012,4,30,37,8
832,07.02.2012,3,21,25,5
833,08.02.2012,11,29,46,10
834,09.02.2012,3,21,25,3
835,10.02.2012,3,26,30,5
836,11.02.2012,6,39,47,4
837,12.02.2012,22,40,73,5
838,13.02.2012,8,41,53,4
839,14.02.2012,14,42,63,4
840,15.02.2012,1,11,12,1
841,16.02.2012,3,26,31,2
842,17.02.2012,3,27,32,2
843,18.02.2012,3,23,28,6
844,19.02.2012,1,11,13,4
845,20.02.2012,3,27,31,3
846,21.02.2012,3,33,37,3
847,22.02.2012,5,31,38,7
848,23.02.2012,2,22,26,7
849,24.02.2012,3,22,26,3
850,25.02.2012,2,14,17,6
851,26.02.2012,1,9,10,1
852,27.02.2012,15,40,63,3
853,28.02.2012,6,27,36,3
854,29.02.2012,4,23,29,1
855,01.03.2012,6,24,33,1
856,02.03.2012,7,21,32,1
857,03.03.2012,3,17,22,1
858,04.03.2012,1,6,8,3
859,05.03.2012,1,11,12,6
860,06.03.2012,2,16,18,2
861,07.03.2012,2,21,24,7
862,08.03.2012,5,30,38,2
863,09.03.2012,6,30,40,2
864,10.03.2012,2,18,21,1
865,11.03.2012,1,10,11,2
866,12.03.2012,2,20,22,1
867,13.03.2012,2,18,21,1
868,14.03.2012,2,21,23,1
869,15.03.2012,14,35,56,2
870,16.03.2012,35,45,98,3
871,17.03.2012,26,31,70,3
872,18.03.2012,3,14,19,2
873,19.03.2012,2,17,21,6
874,20.03.2012,5,28,36,2
875,21.03.2012,6,31,40,2
876,22.03.2012,4,29,34,2
877,23.03.2012,10,32,48,1
878,24.03.2012,5,21,30,2
879,25.03.2012,3,13,18,2
880,26.03.2012,15,31,53,2
881,27.03.2012,4,27,32,2
882,28.03.2012,3,27,32,7
883,29.03.2012,2,15,18,3
884,30.03.2012,2,15,18,4
885,31.03.2012,1,8,9,3
886,01.04.2012,1,10,12,2
887,02.04.2012,2,16,18,2
888,03.04.2012,1,16,18,1
889,04.04.2012,2,11,14,0
890,05.04.2012,6,16,25,1
891,06.04.2012,8,20,31,1
892,07.04.2012,1,11,12,2
893,08.04.2012,0,12,13,1
894,09.04.2012,1,13,14,2
895,10.04.2012,1,15,17,2
896,11.04.2012,3,24,28,2
897,12.04.2012,4,23,28,0
898,13.04.2012,4,22,28,1
899,14.04.2012,8,12,24,1
900,15.04.2012,0,6,6,1
901,16.04.2012,1,11,13,0
902,17.04.2012,1,17,19,1
903,18.04.2012,1,11,12,3
904,19.04.2012,2,25,27,4
905,20.04.2012,5,28,36,2
906,21.04.2012,2,16,19,0
907,22.04.2012,0,12,13,2
908,23.04.2012,2,19,23,1
909,24.04.2012,1,18,20,2
910,25.04.2012,2,19,21,1
911,26.04.2012,1,19,20,2
912,27.04.2012,2,23,25,1
913,28.04.2012,1,17,17,2
914,29.04.2012,1,16,18,3
915,30.04.2012,1,8,10,1
916,01.05.2012,1,3,4,2
917,02.05.2012,1,7,8,3
918,03.05.2012,5,30,38,2
919,04.05.2012,2,17,20,1
920,05.05.2012,1,8,10,0
921,06.05.2012,0,7,7,0
922,07.05.2012,2,16,19,1
923,08.05.2012,1,12,13,2
924,09.05.2012,2,18,22,2
925,10.05.2012,5,16,24,1
926,11.05.2012,3,20,24,2
927,12.05.2012,1,6,8,1
928,13.05.2012,1,11,12,1
929,14.05.2012,5,15,22,1
930,15.05.2012,1,13,14,1
931,16.05.2012,2,17,20,3
932,17.05.2012,1,14,15,4
933,18.05.2012,1,10,11,2
934,19.05.2012,0,9,9,2
935,20.05.2012,0,5,5,3
936,21.05.2012,0,7,7,3
937,22.05.2012,1,7,8,2
938,23.05.2012,1,7,8,3
939,24.05.2012,1,5,7,3
940,25.05.2012,0,5,5,2
941,26.05.2012,0,5,6,2
942,27.05.2012,0,3,3,1
943,28.05.2012,1,9,10,1
944,29.05.2012,1,16,18,2
945,30.05.2012,1,12,13,1
946,31.05.2012,2,18,20,2
947,01.06.2012,1,11,12,1
948,02.06.2012,0,10,10,0
949,03.06.2012,0,10,10,1
950,04.06.2012,2,15,18,2
951,05.06.2012,1,16,18,1
952,06.06.2012,4,13,19,1
953,07.06.2012,3,14,18,1
954,08.06.2012,1,14,15,1
955,09.06.2012,1,12,13,1
956,10.06.2012,1,16,18,0
957,11.06.2012,3,15,19,2
958,12.06.2012,1,16,17,1
959,13.06.2012,1,14,16,0
960,14.06.2012,1,18,19,2
961,15.06.2012,1,11,13,3
962,16.06.2012,1,17,19,1
963,17.06.2012,1,8,9,0
964,18.06.2012,1,11,12,2
965,19.06.2012,2,15,17,4
966,20.06.2012,1,9,10,1
967,21.06.2012,1,7,9,0
968,22.06.2012,3,13,17,1
969,23.06.2012,1,15,16,1
970,24.06.2012,0,9,9,0
971,25.06.2012,1,7,9,1
972,26.06.2012,2,10,12,2
973,27.06.2012,1,20,22,1
974,28.06.2012,4,17,22,2
975,29.06.2012,1,11,13,2
976,30.06.2012,2,8,12,1
977,01.07.2012,1,5,6,1
978,02.07.2012,1,10,11,1
979,03.07.2012,1,10,12,0
980,04.07.2012,1,8,10,0
981,05.07.2012,1,7,9,0
982,06.07.2012,1,13,14,1
983,07.07.2012,1,22,23,1
984,08.07.2012,1,7,9,2
985,09.07.2012,1,13,14,0
986,10.07.2012,2,14,17,0
987,11.07.2012,3,19,24,1
988,12.07.2012,2,15,18,0
989,13.07.2012,3,13,16,0
990,14.07.2012,1,7,9,1
991,15.07.2012,1,8,9,1
992,16.07.2012,1,16,18,1
993,17.07.2012,2,13,16,1
994,18.07.2012,3,19,24,0
995,19.07.2012,3,14,18,0
996,20.07.2012,1,7,9,1
997,21.07.2012,1,9,10,2
998,22.07.2012,1,9,10,1
999,23.07.2012,8,14,25,1
1000,24.07.2012,1,11,13,2
1001,25.07.2012,1,13,14,3
1002,26.07.2012,2,19,22,1
1003,27.07.2012,0,11,11,8
1004,28.07.2012,1,9,10,0
1005,29.07.2012,0,9,8,0
1006,30.07.2012,2,14,16,0
1007,31.07.2012,2,18,21,1
1008,01.08.2012,1,10,11,1
1009,02.08.2012,1,15,16,2
1010,03.08.2012,2,17,20,0
1011,04.08.2012,2,9,12,1
1012,05.08.2012,1,9,10,1
1013,06.08.2012,2,12,15,0
1014,07.08.2012,1,11,12,3
1015,08.08.2012,1,11,12,0
1016,09.08.2012,2,14,16,0
1017,10.08.2012,2,14,17,0
1018,11.08.2012,0,8,9,0
1019,12.08.2012,0,6,6,1
1020,13.08.2012,1,9,11,1
1021,14.08.2012,3,8,12,0
1022,15.08.2012,2,9,12,3
1023,16.08.2012,2,18,22,1
1024,17.08.2012,3,16,20,1
1025,18.08.2012,1,11,13,1
1026,19.08.2012,1,16,17,1
1027,20.08.2012,7,24,35,1
1028,21.08.2012,1,12,13,0
1029,22.08.2012,2,16,18,0
1030,23.08.2012,3,24,28,1
1031,24.08.2012,2,22,26,1
1032,25.08.2012,1,11,12,0
1033,26.08.2012,0,7,7,0
1034,27.08.2012,2,17,20,0
1035,28.08.2012,2,18,21,1
1036,29.08.2012,13,22,41,1
1037,30.08.2012,2,23,26,1
1038,31.08.2012,3,24,28,0
1039,01.09.2012,1,13,15,0
1040,02.09.2012,2,17,21,1
1041,03.09.2012,15,27,50,1
1042,04.09.2012,10,21,35,1
1043,05.09.2012,8,20,31,0
1044,06.09.2012,2,16,18,1
1045,07.09.2012,2,21,23,2
1046,08.09.2012,3,14,18,0
1047,09.09.2012,6,6,15,1
1048,10.09.2012,7,26,36,1
1049,11.09.2012,6,23,32,1
1050,12.09.2012,2,20,23,1
1051,13.09.2012,5,26,33,1
1052,14.09.2012,3,19,23,1
1053,15.09.2012,1,10,12,1
1054,16.09.2012,1,14,15,1
1055,17.09.2012,3,22,27,1
1056,18.09.2012,13,17,37,1
1057,19.09.2012,3,19,24,1
1058,20.09.2012,7,25,36,1
1059,21.09.2012,12,16,35,2
1060,22.09.2012,1,15,16,2
1061,23.09.2012,2,16,19,1
1062,24.09.2012,1,10,12,3
1063,25.09.2012,8,20,31,1
1064,26.09.2012,4,24,30,2
1065,27.09.2012,4,20,26,0
1066,28.09.2012,4,22,27,1
1067,29.09.2012,4,19,26,1
1068,30.09.2012,4,20,26,1
1069,01.10.2012,15,30,53,2
1070,02.10.2012,25,37,75,2
1071,03.10.2012,5,15,23,1
1072,04.10.2012,2,16,19,1
1073,05.10.2012,4,17,22,1
1074,06.10.2012,2,18,21,0
1075,07.10.2012,3,15,19,2
1076,08.10.2012,5,22,30,1
1077,09.10.2012,12,29,47,3
1078,10.10.2012,12,33,52,1
1079,11.10.2012,10,34,48,1
1080,12.10.2012,3,17,22,1
1081,13.10.2012,4,20,26,0
1082,14.10.2012,2,15,17,0
1083,15.10.2012,10,26,41,0
1084,16.10.2012,19,25,53,1
1085,17.10.2012,15,24,47,1
1086,18.10.2012,13,26,46,1
1087,19.10.2012,23,26,61,1
1088,20.10.2012,40,27,88,1
1089,21.10.2012,28,15,59,2
1090,22.10.2012,2,9,12,0
1091,23.10.2012,6,18,27,0
1092,24.10.2012,10,21,36,1
1093,25.10.2012,4,20,27,1
1094,26.10.2012,5,23,30,1
1095,27.10.2012,2,12,15,1
1096,28.10.2012,16,26,50,0
1097,29.10.2012,43,27,93,1
1098,30.10.2012,18,31,59,0
1099,31.10.2012,10,24,39,1
1100,01.11.2012,4,20,26,1
1101,02.11.2012,3,23,28,2
1102,03.11.2012,2,17,20,1
1103,04.11.2012,2,13,16,1
1104,05.11.2012,4,25,32,0
1105,06.11.2012,4,23,29,2
1106,07.11.2012,3,21,25,1
1107,08.11.2012,4,23,29,1
1108,09.11.2012,5,29,37,1
1109,10.11.2012,2,15,18,1
1110,11.11.2012,4,23,29,1
1111,12.11.2012,17,43,69,1
1112,13.11.2012,43,39,106,3
1113,14.11.2012,32,34,83,2
1114,15.11.2012,13,30,50,0
1115,16.11.2012,9,23,37,1
1116,17.11.2012,6,17,26,0
1117,18.11.2012,13,25,45,5
1118,19.11.2012,10,22,37,1
1119,20.11.2012,7,23,34,1
1120,21.11.2012,4,23,29,2
1121,22.11.2012,38,37,95,3
1122,23.11.2012,25,29,68,1
1123,24.11.2012,10,24,39,2
1124,25.11.2012,2,18,20,2
1125,26.11.2012,12,30,48,3
1126,27.11.2012,49,33,108,3
1127,28.11.2012,28,40,83,1
1128,29.11.2012,5,18,25,0
1129,30.11.2012,10,25,40,0
1130,01.12.2012,9,31,44,3
1131,02.12.2012,7,25,36,1
1132,03.12.2012,5,29,37,1
1133,04.12.2012,9,31,45,8
1134,05.12.2012,8,35,46,2
1135,06.12.2012,18,39,67,2
1136,07.12.2012,47,44,116,2
1137,08.12.2012,44,44,112,4
1138,09.12.2012,6,32,41,4
1139,10.12.2012,4,27,33,4
1140,11.12.2012,5,26,33,2
1141,12.12.2012,18,44,72,5
1142,13.12.2012,11,37,54,2
1143,14.12.2012,2,28,31,8
1144,15.12.2012,12,35,54,3
1145,16.12.2012,10,36,51,0
1146,17.12.2012,44,38,105,1
1147,18.12.2012,25,28,66,1
1148,19.12.2012,24,25,62,1
1149,20.12.2012,7,18,28,2
1150,21.12.2012,2,15,17,5
1151,22.12.2012,2,16,19,7
1152,23.12.2012,8,29,42,12
1153,24.12.2012,7,29,40,2
1154,25.12.2012,2,13,16,4
1155,26.12.2012,1,12,14,4
1156,27.12.2012,3,18,22,2
1157,28.12.2012,5,25,32,2
1158,29.12.2012,3,17,21,2
1159,30.12.2012,2,13,16,5
1160,31.12.2012,2,11,13,4
1161,01.01.2013,2,13,16,4
1162,02.01.2013,4,20,26,2
1163,03.01.2013,2,18,22,2
1164,04.01.2013,3,18,22,3
1165,05.01.2013,2,13,15,0
1166,06.01.2013,2,15,18,1
1167,07.01.2013,1,10,12,0
1168,08.01.2013,16,25,49,2
1169,09.01.2013,13,29,50,3
1170,10.01.2013,3,17,21,1
1171,11.01.2013,5,19,26,1
1172,12.01.2013,4,20,26,1
1173,13.01.2013,2,9,11,2
1174,14.01.2013,4,21,26,7
1175,15.01.2013,8,29,40,5
1176,16.01.2013,6,24,33,7
1177,17.01.2013,3,17,21,4
1178,18.01.2013,1,7,9,1
1179,19.01.2013,1,8,9,3
1180,20.01.2013,1,6,7,7
1181,21.01.2013,1,7,10,3
1182,22.01.2013,2,12,15,4
1183,23.01.2013,5,28,36,10
1184,24.01.2013,9,36,50,7
1185,25.01.2013,19,44,74,5
1186,26.01.2013,2,23,27,8
1187,27.01.2013,4,26,32,6
1188,28.01.2013,15,41,64,3
1189,29.01.2013,4,27,33,2
1190,30.01.2013,3,21,25,3
1191,31.01.2013,2,12,15,1
1192,01.02.2013,3,22,27,4
1193,02.02.2013,3,12,16,0
1194,03.02.2013,2,18,21,4
1195,04.02.2013,5,28,35,5
1196,05.02.2013,3,21,25,4
1197,06.02.2013,8,35,47,2
1198,07.02.2013,7,37,48,4
1199,08.02.2013,7,35,46,3
1200,09.02.2013,5,32,39,4
1201,10.02.2013,1,16,17,1
1202,11.02.2013,2,15,18,4
1203,12.02.2013,3,15,18,6
1204,13.02.2013,6,26,35,4
1205,14.02.2013,3,17,21,2
1206,15.02.2013,3,24,28,6
1207,16.02.2013,5,24,31,4
1208,17.02.2013,1,11,13,4
1209,18.02.2013,3,27,31,3
1210,19.02.2013,5,21,29,2
1211,20.02.2013,3,16,21,0
1212,21.02.2013,3,16,20,1
1213,22.02.2013,2,9,12,4
1214,23.02.2013,1,6,8,2
1215,24.02.2013,1,10,12,2
1216,25.02.2013,2,12,14,4
1217,26.02.2013,2,12,16,2
1218,27.02.2013,3,22,27,0
1219,28.02.2013,6,31,41,4
1220,01.03.2013,5,29,37,2
1221,02.03.2013,5,28,36,3
1222,03.03.2013,2,20,24,3
1223,04.03.2013,24,41,77,2
1224,05.03.2013,6,32,42,3
1225,06.03.2013,9,41,55,5
1226,07.03.2013,2,14,17,6
1227,08.03.2013,1,8,9,2
1228,09.03.2013,1,7,8,3
1229,10.03.2013,1,7,8,3
1230,11.03.2013,1,13,15,2
1231,12.03.2013,1,13,15,1
1232,13.03.2013,3,31,35,2
1233,14.03.2013,26,49,89,3
1234,15.03.2013,5,33,40,1
1235,16.03.2013,10,29,45,4
1236,17.03.2013,1,7,7,7
1237,18.03.2013,1,10,11,10
1238,19.03.2013,3,29,34,4
1239,20.03.2013,2,27,30,2
1240,21.03.2013,2,22,26,2
1241,22.03.2013,1,10,12,2
1242,23.03.2013,1,6,7,5
1243,24.03.2013,1,10,11,6
1244,25.03.2013,1,7,9,3
1245,26.03.2013,1,10,11,3
1246,27.03.2013,1,9,11,6
1247,28.03.2013,1,12,13,8
1248,29.03.2013,1,17,19,5
1249,30.03.2013,1,15,17,2
1250,31.03.2013,1,7,8,1
1251,01.04.2013,0,9,9,1
1252,02.04.2013,3,18,23,2
1253,03.04.2013,1,14,15,1
1254,04.04.2013,1,11,12,2
1255,05.04.2013,1,12,13,1
1256,06.04.2013,0,12,12,1
1257,07.04.2013,,,,
1258,08.04.2013,3,14,18,
1259,09.04.2013,1,11,12,5
1260,10.04.2013,1,12,13,5
1261,11.04.2013,5,25,33,2
1262,12.04.2013,13,31,50,1
1263,13.04.2013,1,13,15,3
1264,14.04.2013,2,11,14,1
1265,15.04.2013,1,7,8,3
1266,16.04.2013,7,39,49,3
1267,17.04.2013,7,27,38,1
1268,18.04.2013,5,18,26,3
1269,19.04.2013,2,21,25,3
1270,20.04.2013,1,7,8,0
1271,21.04.2013,0,6,6,2
1272,22.04.2013,4,28,33,5
1273,23.04.2013,6,22,31,4
1274,24.04.2013,3,21,25,2
1275,25.04.2013,2,20,23,3
1276,26.04.2013,7,17,28,2
1277,27.04.2013,1,6,7,0
1278,28.04.2013,1,8,9,2
1279,29.04.2013,7,20,30,1
1280,30.04.2013,3,26,30,3
1281,01.05.2013,0,5,6,1
1282,02.05.2013,2,10,13,2
1283,03.05.2013,1,9,10,2
1284,04.05.2013,3,21,25,2
1285,05.05.2013,1,14,15,1
1286,06.05.2013,1,10,12,2
1287,07.05.2013,2,9,12,3
1288,08.05.2013,2,14,17,1
1289,09.05.2013,1,14,16,2
1290,10.05.2013,4,17,23,1
1291,11.05.2013,3,13,17,1
1292,12.05.2013,1,9,11,1
1293,13.05.2013,3,16,21,1
1294,14.05.2013,2,16,19,2
1295,15.05.2013,1,6,8,2
1296,16.05.2013,1,5,6,2
1297,17.05.2013,0,3,4,1
1298,18.05.2013,1,8,10,1
1299,19.05.2013,1,9,11,3
1300,20.05.2013,0,4,5,0
1301,21.05.2013,2,16,19,0
1302,22.05.2013,2,13,17,1
1303,23.05.2013,1,10,12,1
1304,24.05.2013,2,16,20,1
1305,25.05.2013,2,18,21,1
1306,26.05.2013,1,8,10,0
1307,27.05.2013,2,11,14,3
1308,28.05.2013,3,19,23,0
1309,29.05.2013,2,16,19,0
1310,30.05.2013,3,13,17,1
1311,31.05.2013,1,11,12,0
1312,01.06.2013,1,4,5,0
1313,02.06.2013,0,4,5,0
1314,03.06.2013,1,7,9,0
1315,04.06.2013,2,9,12,0
1316,05.06.2013,2,9,12,1
1317,06.06.2013,1,8,10,4
1318,07.06.2013,1,11,13,1
1319,08.06.2013,1,11,12,1
1320,09.06.2013,0,5,5,1
1321,10.06.2013,2,5,8,0
1322,11.06.2013,4,17,23,0
1323,12.06.2013,2,16,18,1
1324,13.06.2013,1,12,14,1
1325,14.06.2013,2,12,14,0
1326,15.06.2013,2,8,11,2
1327,16.06.2013,0,8,8,0
1328,17.06.2013,1,8,10,1
1329,18.06.2013,1,6,8,1
1330,19.06.2013,1,5,6,2
1331,20.06.2013,1,5,7,1
1332,21.06.2013,1,8,9,0
1333,22.06.2013,0,8,8,0
1334,23.06.2013,0,6,6,1
1335,24.06.2013,1,12,14,1
1336,25.06.2013,2,11,14,0
1337,26.06.2013,2,8,11,3
1338,27.06.2013,2,13,17,1
1339,28.06.2013,1,13,15,1
1340,29.06.2013,1,7,8,0
1341,30.06.2013,1,5,6,2
1342,01.07.2013,2,12,15,1
1343,02.07.2013,2,13,16,1
1344,03.07.2013,1,8,10,3
1345,04.07.2013,3,18,22,5
1346,05.07.2013,2,17,20,1
1347,06.07.2013,1,6,8,1
1348,07.07.2013,0,5,5,1
1349,08.07.2013,2,12,14,2
1350,09.07.2013,1,14,16,2
1351,10.07.2013,2,13,17,3
1352,11.07.2013,1,7,9,0
1353,12.07.2013,2,14,17,0
1354,13.07.2013,1,9,10,0
1355,14.07.2013,0,5,6,1
1356,15.07.2013,1,9,11,0
1357,16.07.2013,4,18,24,1
1358,17.07.2013,3,13,18,1
1359,18.07.2013,2,11,14,1
1360,19.07.2013,3,14,18,1
1361,20.07.2013,0,3,4,0
1362,21.07.2013,1,11,12,1
1363,22.07.2013,4,22,28,1
1364,23.07.2013,1,5,6,1
1365,24.07.2013,1,7,8,1
1366,25.07.2013,1,15,16,1
1367,26.07.2013,1,19,20,1
1368,27.07.2013,1,11,12,1
1369,28.07.2013,1,6,8,1
1370,29.07.2013,2,12,15,0
1371,30.07.2013,2,16,18,0
1372,31.07.2013,2,13,16,0
1373,01.08.2013,4,20,25,1
1374,02.08.2013,1,11,13,2
1375,03.08.2013,1,11,13,2
1376,04.08.2013,0,5,5,1
1377,05.08.2013,1,8,9,0
1378,06.08.2013,1,14,16,2
1379,07.08.2013,1,11,12,0
1380,08.08.2013,2,16,19,0
1381,09.08.2013,2,20,23,1
1382,10.08.2013,3,23,28,0
1383,11.08.2013,1,12,13,0
1384,12.08.2013,3,20,25,0
1385,13.08.2013,2,13,16,0
1386,14.08.2013,3,16,20,0
1387,15.08.2013,9,23,38,0
1388,16.08.2013,5,20,27,1
1389,17.08.2013,2,20,22,2
1390,18.08.2013,1,12,14,1
1391,19.08.2013,6,18,28,1
1392,20.08.2013,3,16,20,0
1393,21.08.2013,9,30,43,1
1394,22.08.2013,10,17,31,0
1395,23.08.2013,1,7,9,1
1396,24.08.2013,1,5,6,1
1397,25.08.2013,0,4,4,1
1398,26.08.2013,2,6,8,1
1399,27.08.2013,2,13,15,2
1400,28.08.2013,14,26,47,2
1401,29.08.2013,11,27,44,1
1402,30.08.2013,18,35,62,2
1403,31.08.2013,3,25,30,3
1404,01.09.2013,1,9,10,3
1405,02.09.2013,2,12,14,1
1406,03.09.2013,3,14,19,0
1407,04.09.2013,5,18,25,1
1408,05.09.2013,3,6,11,1
1409,06.09.2013,1,8,9,3
1410,07.09.2013,1,6,7,4
1411,08.09.2013,0,9,9,4
1412,09.09.2013,3,22,27,1
1413,10.09.2013,3,18,22,0
1414,11.09.2013,2,15,18,0
1415,12.09.2013,6,20,29,1
1416,13.09.2013,16,20,44,1
1417,14.09.2013,2,21,24,3
1418,15.09.2013,1,13,14,1
1419,16.09.2013,3,24,28,0
1420,17.09.2013,4,22,28,1
1421,18.09.2013,4,20,27,1
1422,19.09.2013,6,27,36,2
1423,20.09.2013,14,29,51,1
1424,21.09.2013,4,18,25,1
1425,22.09.2013,2,13,16,1
1426,23.09.2013,3,15,19,3
1427,24.09.2013,4,22,28,0
1428,25.09.2013,8,11,23,0
1429,26.09.2013,18,17,43,1
1430,27.09.2013,34,24,76,2
1431,28.09.2013,15,18,41,1
1432,29.09.2013,1,7,8,1
1433,30.09.2013,2,9,12,2
1434,01.10.2013,3,14,18,1
1435,02.10.2013,13,17,37,1
1436,03.10.2013,1,8,10,2
1437,04.10.2013,2,16,19,5
1438,05.10.2013,3,20,25,2
1439,06.10.2013,8,25,37,1
1440,07.10.2013,31,31,78,1
1441,08.10.2013,27,22,64,2
1442,09.10.2013,15,26,48,1
1443,10.10.2013,6,22,31,0
1444,11.10.2013,2,10,13,2
1445,12.10.2013,1,9,10,2
1446,13.10.2013,11,16,33,2
1447,14.10.2013,14,17,38,2
1448,15.10.2013,4,25,31,1
1449,16.10.2013,15,28,52,1
1450,17.10.2013,6,18,27,1
1451,18.10.2013,4,19,25,2
1452,19.10.2013,4,14,20,1
1453,20.10.2013,9,18,32,2
1454,21.10.2013,11,26,43,2
1455,22.10.2013,18,16,43,2
1456,23.10.2013,3,19,24,2
1457,24.10.2013,25,31,69,2
1458,25.10.2013,33,22,73,2
1459,26.10.2013,8,21,33,3
1460,27.10.2013,1,8,10,1
1461,28.10.2013,1,11,12,1
1462,29.10.2013,3,18,22,1
1463,30.10.2013,8,32,44,2
1464,31.10.2013,19,30,59,1
1465,01.11.2013,6,28,37,5
1466,02.11.2013,3,20,24,1
1467,03.11.2013,2,16,19,1
1468,04.11.2013,2,14,16,1
1469,05.11.2013,3,24,29,1
1470,06.11.2013,4,27,33,2
1471,07.11.2013,6,26,36,2
1472,08.11.2013,13,37,57,1
1473,09.11.2013,2,16,18,3
1474,10.11.2013,1,18,19,2
1475,11.11.2013,29,32,75,2
1476,12.11.2013,27,29,70,3
1477,13.11.2013,12,36,54,2
1478,14.11.2013,28,31,74,1
1479,15.11.2013,2,19,22,3
1480,16.11.2013,11,26,44,1
1481,17.11.2013,8,25,37,1
1482,18.11.2013,8,19,31,5
1483,19.11.2013,13,26,45,3
1484,20.11.2013,8,22,34,2
1485,21.11.2013,11,21,38,0
1486,22.11.2013,2,14,18,1
1487,23.11.2013,2,14,17,2
1488,24.11.2013,2,15,18,1
1489,25.11.2013,6,28,37,1
1490,26.11.2013,36,35,91,1
1491,27.11.2013,28,42,85,1
1492,28.11.2013,3,28,33,2
1493,29.11.2013,5,30,37,2
1494,30.11.2013,2,19,23,0
1495,01.12.2013,1,14,15,1
1496,02.12.2013,36,33,88,3
1497,03.12.2013,52,31,111,2
1498,04.12.2013,37,40,96,2
1499,05.12.2013,4,21,27,3
1500,06.12.2013,2,12,16,6
1501,07.12.2013,3,23,28,10
1502,08.12.2013,2,18,22,1
1503,09.12.2013,4,25,31,2
1504,10.12.2013,14,30,51,0
1505,11.12.2013,6,29,38,1
1506,12.12.2013,11,28,45,3
1507,13.12.2013,35,34,87,4
1508,14.12.2013,12,32,50,3
1509,15.12.2013,4,23,29,5
1510,16.12.2013,17,36,62,7
1511,17.12.2013,72,50,160,5
1512,18.12.2013,32,39,89,3
1513,19.12.2013,8,34,47,4
1514,20.12.2013,34,30,82,2
1515,21.12.2013,3,20,25,7
1516,22.12.2013,3,15,19,7
1517,23.12.2013,2,19,22,1
1518,24.12.2013,1,10,11,2
1519,25.12.2013,4,16,22,1
1520,26.12.2013,3,14,19,1
1521,27.12.2013,2,13,16,2
1522,28.12.2013,4,18,24,2
1523,29.12.2013,2,14,17,2
1524,30.12.2013,5,26,34,2
1525,31.12.2013,5,20,28,2
1526,01.01.2014,6,18,27,3
1527,02.01.2014,2,15,17,2
1528,03.01.2014,7,23,35,2
1529,04.01.2014,2,17,20,3
1530,05.01.2014,4,24,30,2
1531,06.01.2014,2,24,27,1
1532,07.01.2014,4,27,33,3
1533,08.01.2014,8,32,44,3
1534,09.01.2014,10,23,39,2
1535,10.01.2014,1,14,16,2
1536,11.01.2014,3,18,23,2
1537,12.01.2014,1,12,13,5
1538,13.01.2014,7,28,40,2
1539,14.01.2014,15,23,46,1
1540,15.01.2014,4,18,24,2
1541,16.01.2014,2,19,22,1
1542,17.01.2014,30,32,76,1
1543,18.01.2014,9,17,31,1
1544,19.01.2014,1,8,9,1
1545,20.01.2014,2,10,13,3
1546,21.01.2014,3,15,20,4
1547,22.01.2014,2,14,18,5
1548,23.01.2014,2,15,17,4
1549,24.01.2014,2,16,19,6
1550,25.01.2014,2,15,19,6
1551,26.01.2014,2,11,14,9
1552,27.01.2014,4,26,32,14
1553,28.01.2014,5,24,33,9
1554,29.01.2014,2,13,16,11
1555,30.01.2014,2,15,18,15
1556,31.01.2014,13,30,51,12
1557,01.02.2014,4,20,26,5
1558,02.02.2014,3,24,29,3
1559,03.02.2014,2,16,19,3
1560,04.02.2014,4,27,33,4
1561,05.02.2014,2,22,25,3
1562,06.02.2014,6,33,43,9
1563,07.02.2014,2,19,22,3
1564,08.02.2014,1,13,16,3
1565,09.02.2014,1,11,13,3
1566,10.02.2014,5,22,30,4
1567,11.02.2014,4,24,30,4
1568,12.02.2014,4,29,35,2
1569,13.02.2014,2,19,22,2
1570,14.02.2014,4,21,27,2
1571,15.02.2014,1,11,13,2
1572,16.02.2014,1,10,11,2
1573,17.02.2014,7,31,43,2
1574,18.02.2014,20,39,71,1
1575,19.02.2014,14,37,59,2
1576,20.02.2014,11,30,47,2
1577,21.02.2014,3,23,28,2
1578,22.02.2014,2,20,23,3
1579,23.02.2014,2,20,23,2
1580,24.02.2014,6,20,28,4
1581,25.02.2014,4,21,27,2
1582,26.02.2014,16,37,62,3
1583,27.02.2014,27,42,83,3
1584,28.02.2014,15,30,52,1
1585,01.03.2014,14,19,40,2
1586,02.03.2014,7,24,35,2
1587,03.03.2014,2,14,16,3
1588,04.03.2014,3,19,24,4
1589,05.03.2014,17,31,57,2
1590,06.03.2014,10,31,47,2
1591,07.03.2014,10,34,49,2
1592,08.03.2014,5,27,34,1
1593,09.03.2014,2,21,25,4
1594,10.03.2014,16,40,64,5
1595,11.03.2014,13,24,44,2
1596,12.03.2014,14,32,53,3
1597,13.03.2014,39,55,114,8
1598,14.03.2014,20,50,80,5
1599,15.03.2014,1,10,11,3
1600,16.03.2014,1,10,12,5
1601,17.03.2014,1,11,13,2
1602,18.03.2014,2,18,21,1
1603,19.03.2014,2,20,23,2
1604,20.03.2014,4,21,27,1
