,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2010-04-05,26,31,51,98,Karl-Marx-Straße
2010-04-06,41,83,92,219,Karl-Marx-Straße
2010-04-07,29,32,61,109,Karl-Marx-Straße
2010-04-08,42,49,74,150,Karl-Marx-Straße
2010-04-09,33,49,60,136,Karl-Marx-Straße
2010-04-10,16,18,36,63,Karl-Marx-Straße
2010-04-11,13,5,19,27,Karl-Marx-Straße
2010-04-12,36,11,34,51,Karl-Marx-Straße
2010-04-13,34,11,36,53,Karl-Marx-Straße
2010-04-14,28,11,35,52,Karl-Marx-Straße
2010-04-15,16,17,51,76,Karl-Marx-Straße
2010-04-16,28,48,73,146,Karl-Marx-Straße
2010-04-17,28,37,63,120,Karl-Marx-Straße
2010-04-18,34,50,80,156,Karl-Marx-Straße
2010-04-19,33,24,49,86,Karl-Marx-Straße
2010-04-20,28,51,68,146,Karl-Marx-Straße
2010-04-21,19,39,47,107,Karl-Marx-Straße
2010-04-22,22,59,73,163,Karl-Marx-Straße
2010-04-23,31,54,81,164,Karl-Marx-Straße
2010-04-24,33,33,62,113,Karl-Marx-Straße
2010-04-25,27,9,32,45,Karl-Marx-Straße
2010-04-26,35,48,67,140,Karl-Marx-Straße
2010-04-27,25,53,63,143,Karl-Marx-Straße
2010-04-28,35,63,84,180,Karl-Marx-Straße
2010-04-29,41,63,102,199,Karl-Marx-Straße
2010-04-30,38,57,90,177,Karl-Marx-Straße
2010-05-01,24,26,41,80,Karl-Marx-Straße
2010-05-02,14,9,28,41,Karl-Marx-Straße
2010-05-03,13,14,38,60,Karl-Marx-Straße
2010-05-04,20,55,65,149,Karl-Marx-Straße
2010-05-05,14,16,35,59,Karl-Marx-Straße
2010-05-06,13,10,31,46,Karl-Marx-Straße
2010-05-07,21,86,58,189,Karl-Marx-Straße
2010-05-08,33,61,61,155,Karl-Marx-Straße
2010-05-09,29,29,58,103,Karl-Marx-Straße
2010-05-10,27,23,43,78,Karl-Marx-Straße
2010-05-11,22,15,38,62,Karl-Marx-Straße
2010-05-12,31,61,59,153,Karl-Marx-Straße
2010-05-13,22,28,44,87,Karl-Marx-Straße
2010-05-14,15,31,51,98,Karl-Marx-Straße
2010-05-15,12,52,59,139,Karl-Marx-Straße
2010-05-16,20,23,39,75,Karl-Marx-Straße
2010-05-17,22,38,58,116,Karl-Marx-Straße
2010-05-18,28,43,52,118,Karl-Marx-Straße
2010-05-19,28,33,46,97,Karl-Marx-Straße
2010-05-20,38,44,54,121,Karl-Marx-Straße
2010-05-21,42,53,70,151,Karl-Marx-Straße
2010-05-22,41,38,61,119,Karl-Marx-Straße
2010-05-23,27,28,43,85,Karl-Marx-Straße
2010-05-24,21,22,36,70,Karl-Marx-Straße
2010-05-25,25,43,56,121,Karl-Marx-Straße
2010-05-26,24,39,50,109,Karl-Marx-Straße
2010-05-27,24,27,50,92,Karl-Marx-Straße
2010-05-28,36,58,71,160,Karl-Marx-Straße
2010-05-29,29,41,67,130,Karl-Marx-Straße
2010-05-30,25,25,43,81,Karl-Marx-Straße
2010-05-31,16,56,53,138,Karl-Marx-Straße
2010-06-01,13,18,37,64,Karl-Marx-Straße
2010-06-02,22,10,27,42,Karl-Marx-Straße
2010-06-03,16,9,27,40,Karl-Marx-Straße
2010-06-04,28,39,59,120,Karl-Marx-Straße
2010-06-05,36,45,76,145,Karl-Marx-Straße
2010-06-06,40,25,60,97,Karl-Marx-Straße
2010-06-07,34,45,61,129,Karl-Marx-Straße
2010-06-08,33,41,66,129,Karl-Marx-Straße
2010-06-09,37,45,82,151,Karl-Marx-Straße
2010-06-10,45,32,73,121,Karl-Marx-Straße
2010-06-11,39,38,60,117,Karl-Marx-Straße
2010-06-12,20,38,48,107,Karl-Marx-Straße
2010-06-13,20,23,37,73,Karl-Marx-Straße
2010-06-14,21,19,45,74,Karl-Marx-Straße
2010-06-15,25,34,52,104,Karl-Marx-Straße
2010-06-16,17,9,25,38,Karl-Marx-Straße
2010-06-17,15,15,35,58,Karl-Marx-Straße
2010-06-18,25,28,47,90,Karl-Marx-Straße
2010-06-19,19,33,36,87,Karl-Marx-Straße
2010-06-20,17,23,31,66,Karl-Marx-Straße
2010-06-21,25,40,51,113,Karl-Marx-Straße
2010-06-22,16,19,40,69,Karl-Marx-Straße
2010-06-23,19,19,46,75,Karl-Marx-Straße
2010-06-24,24,27,50,91,Karl-Marx-Straße
2010-06-25,30,21,51,83,Karl-Marx-Straße
2010-06-26,16,10,25,41,Karl-Marx-Straße
2010-06-27,12,6,19,28,Karl-Marx-Straße
2010-06-28,21,21,44,76,Karl-Marx-Straße
2010-06-29,33,33,70,121,Karl-Marx-Straße
2010-06-30,28,21,51,83,Karl-Marx-Straße
2010-07-01,31,19,58,87,Karl-Marx-Straße
2010-07-02,33,27,63,104,Karl-Marx-Straße
2010-07-03,30,10,36,51,Karl-Marx-Straße
2010-07-04,27,10,34,49,Karl-Marx-Straße
2010-07-05,27,17,49,76,Karl-Marx-Straße
2010-07-06,19,33,44,94,Karl-Marx-Straße
2010-07-07,19,34,49,101,Karl-Marx-Straße
2010-07-08,27,42,76,140,Karl-Marx-Straße
2010-07-09,35,36,86,141,Karl-Marx-Straße
2010-07-10,34,16,57,83,Karl-Marx-Straße
2010-07-11,29,12,42,60,Karl-Marx-Straße
2010-07-12,42,24,69,107,Karl-Marx-Straße
2010-07-13,27,37,64,120,Karl-Marx-Straße
2010-07-14,33,22,55,89,Karl-Marx-Straße
2010-07-15,27,40,63,124,Karl-Marx-Straße
2010-07-16,33,36,80,135,Karl-Marx-Straße
2010-07-17,26,22,47,80,Karl-Marx-Straße
2010-07-18,13,11,26,43,Karl-Marx-Straße
2010-07-19,23,26,55,96,Karl-Marx-Straße
2010-07-20,24,19,44,73,Karl-Marx-Straße
2010-07-21,37,39,78,138,Karl-Marx-Straße
2010-07-22,37,25,65,104,Karl-Marx-Straße
2010-07-23,17,12,33,51,Karl-Marx-Straße
2010-07-24,21,27,41,82,Karl-Marx-Straße
2010-07-25,13,18,31,59,Karl-Marx-Straße
2010-07-26,23,38,66,125,Karl-Marx-Straße
2010-07-27,26,37,64,121,Karl-Marx-Straße
2010-07-28,29,34,58,111,Karl-Marx-Straße
2010-07-29,16,44,49,117,Karl-Marx-Straße
2010-07-30,20,51,52,130,Karl-Marx-Straße
2010-07-31,22,39,60,120,Karl-Marx-Straße
2010-08-01,23,22,51,84,Karl-Marx-Straße
2010-08-02,30,38,62,118,Karl-Marx-Straße
2010-08-03,22,44,52,118,Karl-Marx-Straße
2010-08-04,26,51,57,133,Karl-Marx-Straße
2010-08-05,32,41,66,127,Karl-Marx-Straße
2010-08-06,,21,43,75,Karl-Marx-Straße
2010-08-07,,10,28,43,Karl-Marx-Straße
2010-08-08,,19,44,72,Karl-Marx-Straße
2010-08-09,,44,65,131,Karl-Marx-Straße
2010-08-10,,49,69,142,Karl-Marx-Straße
2010-08-11,35,49,71,144,Karl-Marx-Straße
2010-08-12,31,40,64,124,Karl-Marx-Straße
2010-08-13,19,19,37,65,Karl-Marx-Straße
2010-08-14,21,33,39,88,Karl-Marx-Straße
2010-08-15,24,15,27,49,Karl-Marx-Straße
2010-08-16,21,42,53,115,Karl-Marx-Straße
2010-08-17,19,54,47,127,Karl-Marx-Straße
2010-08-18,17,57,53,138,Karl-Marx-Straße
2010-08-19,21,49,58,132,Karl-Marx-Straße
2010-08-20,31,60,76,167,Karl-Marx-Straße
2010-08-21,38,59,86,175,Karl-Marx-Straße
2010-08-22,32,29,52,97,Karl-Marx-Straße
2010-08-23,25,48,50,122,Karl-Marx-Straße
2010-08-24,20,48,52,124,Karl-Marx-Straße
