,date,NOx,NO_2,NOx
405,07.12.2010,87,84,216
406,08.12.2010,52,64,144
407,09.12.2010,23,46,81
408,10.12.2010,46,69,139
409,11.12.2010,15,35,59
410,12.12.2010,15,28,51
411,13.12.2010,18,43,70
412,14.12.2010,17,40,67
413,15.12.2010,56,67,153
414,16.12.2010,73,74,185
415,17.12.2010,91,86,225
416,18.12.2010,113,98,271
417,19.12.2010,109,92,259
418,20.12.2010,42,58,121
419,21.12.2010,160,104,348
420,22.12.2010,82,84,210
421,23.12.2010,71,74,182
422,24.12.2010,30,36,82
423,25.12.2010,11,24,41
424,26.12.2010,33,45,95
425,27.12.2010,76,78,194
426,28.12.2010,69,67,172
427,29.12.2010,108,89,254
428,30.12.2010,78,81,200
429,31.12.2010,24,53,89
430,01.01.2011,10,26,42
431,02.01.2011,14,33,54
432,03.01.2011,28,51,94
433,04.01.2011,85,87,217
434,05.01.2011,66,78,179
435,06.01.2011,60,76,168
436,07.01.2011,63,73,170
437,08.01.2011,64,69,166
438,09.01.2011,30,50,96
439,10.01.2011,78,85,204
440,11.01.2011,93,79,222
441,12.01.2011,37,55,112
442,13.01.2011,72,65,174
443,14.01.2011,58,69,159
444,15.01.2011,33,49,100
445,16.01.2011,39,51,111
446,17.01.2011,109,89,254
447,18.01.2011,39,64,124
448,19.01.2011,24,51,88
449,20.01.2011,31,53,99
450,21.01.2011,25,46,85
451,22.01.2011,44,55,122
452,23.01.2011,22,36,69
453,24.01.2011,64,65,163
454,25.01.2011,34,54,106
455,26.01.2011,39,53,113
456,27.01.2011,44,58,125
457,28.01.2011,89,88,224
458,29.01.2011,127,103,297
459,30.01.2011,93,87,229
460,31.01.2011,92,79,220
461,01.02.2011,62,61,157
462,02.02.2011,60,70,161
463,03.02.2011,48,62,135
464,04.02.2011,30,45,91
465,05.02.2011,10,22,38
466,06.02.2011,10,22,38
467,07.02.2011,44,56,123
468,08.02.2011,17,39,64
469,09.02.2011,55,71,155
470,10.02.2011,91,91,229
471,11.02.2011,23,43,77
472,12.02.2011,53,63,145
473,13.02.2011,46,54,125
474,14.02.2011,50,59,135
475,15.02.2011,54,65,147
476,16.02.2011,66,76,177
477,17.02.2011,46,59,130
478,18.02.2011,52,63,142
479,19.02.2011,37,44,100
480,20.02.2011,37,41,98
481,21.02.2011,54,60,142
482,22.02.2011,55,71,155
483,23.02.2011,82,91,216
484,24.02.2011,76,92,209
485,25.02.2011,78,95,214
486,26.02.2011,60,83,174
487,27.02.2011,45,65,133
488,28.02.2011,113,107,279
489,01.03.2011,66,86,186
490,02.03.2011,62,91,185
491,03.03.2011,62,99,193
492,04.03.2011,77,104,221
493,05.03.2011,17,44,71
494,06.03.2011,24,43,79
495,07.03.2011,95,107,252
496,08.03.2011,76,96,212
497,09.03.2011,46,73,143
498,10.03.2011,41,58,120
499,11.03.2011,29,55,99
500,12.03.2011,78,96,216
501,13.03.2011,82,114,240
502,14.03.2011,70,108,215
503,15.03.2011,43,58,124
504,16.03.2011,37,50,106
505,17.03.2011,44,59,127
506,18.03.2011,17,31,57
507,19.03.2011,16,36,61
508,20.03.2011,33,51,102
509,21.03.2011,82,97,221
510,22.03.2011,35,67,120
511,23.03.2011,23,49,84
512,24.03.2011,19,44,72
513,25.03.2011,28,56,99
514,26.03.2011,29,46,90
515,27.03.2011,64,78,175
516,28.03.2011,36,65,120
517,29.03.2011,52,81,161
518,30.03.2011,110,115,283
519,31.03.2011,60,80,171
520,01.04.2011,20,41,71
521,02.04.2011,65,72,171
522,03.04.2011,29,47,92
523,04.04.2011,23,45,80
524,05.04.2011,35,56,109
525,06.04.2011,26,46,85
526,07.04.2011,17,34,60
527,08.04.2011,11,27,43
528,09.04.2011,10,29,44
529,10.04.2011,12,33,51
530,11.04.2011,51,84,162
531,12.04.2011,12,34,53
532,13.04.2011,12,30,48
533,14.04.2011,24,46,83
534,15.04.2011,51,75,154
535,16.04.2011,50,79,156
536,17.04.2011,30,65,111
537,18.04.2011,82,103,228
538,19.04.2011,67,98,200
539,20.04.2011,57,103,189
540,21.04.2011,65,117,217
541,22.04.2011,44,89,155
542,23.04.2011,34,64,116
543,24.04.2011,30,55,100
544,25.04.2011,26,56,96
545,26.04.2011,45,86,155
546,27.04.2011,51,81,158
547,28.04.2011,51,90,167
548,29.04.2011,39,67,126
549,30.04.2011,26,41,81
550,01.05.2011,26,39,79
551,02.05.2011,40,54,114
