,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2010-01-26,110,17,66,92,21,Grunewald
2010-01-27,88,22,55,89,37,Grunewald
2010-01-28,10,0,5,5,70,Grunewald
2010-01-29,12,1,13,15,54,Grunewald
2010-01-30,12,0,6,6,63,Grunewald
2010-01-31,21,1,16,16,48,Grunewald
2010-02-01,17,0,15,16,49,Grunewald
2010-02-02,18,1,14,15,50,Grunewald
2010-02-03,9,0,8,8,58,Grunewald
2010-02-04,19,10,41,57,17,Grunewald
2010-02-05,39,2,31,34,,Grunewald
2010-02-06,55,1,27,29,,Grunewald
2010-02-07,52,1,17,18,,Grunewald
2010-02-08,26,1,24,25,,Grunewald
2010-02-09,53,1,24,25,,Grunewald
2010-02-10,116,2,33,36,,Grunewald
2010-02-11,49,1,13,14,,Grunewald
2010-02-12,13,1,9,10,,Grunewald
2010-02-13,9,0,3,3,64,Grunewald
2010-02-14,13,0,7,7,59,Grunewald
2010-02-15,21,5,31,38,35,Grunewald
2010-02-16,33,2,32,35,36,Grunewald
2010-02-17,76,2,35,38,54,Grunewald
2010-02-18,87,5,38,47,41,Grunewald
2010-02-19,42,22,53,87,10,Grunewald
2010-02-20,15,0,11,11,61,Grunewald
2010-02-21,17,1,14,16,53,Grunewald
2010-02-22,16,1,21,23,50,Grunewald
2010-02-23,12,1,17,18,49,Grunewald
2010-02-24,22,2,28,30,35,Grunewald
2010-02-25,21,5,33,40,27,Grunewald
2010-02-26,20,4,38,44,30,Grunewald
2010-02-27,12,1,11,11,61,Grunewald
2010-02-28,15,1,16,16,59,Grunewald
2010-03-01,5,0,5,4,64,Grunewald
2010-03-02,11,0,4,4,70,Grunewald
2010-03-03,11,0,5,5,64,Grunewald
2010-03-04,11,0,8,9,57,Grunewald
2010-03-05,9,1,14,15,64,Grunewald
2010-03-06,13,0,12,13,63,Grunewald
2010-03-07,12,0,7,7,64,Grunewald
2010-03-08,14,1,15,16,61,Grunewald
2010-03-09,33,6,35,44,39,Grunewald
2010-03-10,52,8,43,55,35,Grunewald
2010-03-11,63,3,22,26,42,Grunewald
2010-03-12,24,0,12,13,46,Grunewald
2010-03-13,12,0,2,2,71,Grunewald
2010-03-14,5,0,1,1,79,Grunewald
2010-03-15,13,0,7,7,71,Grunewald
2010-03-16,10,0,5,5,70,Grunewald
2010-03-17,22,3,21,26,41,Grunewald
2010-03-18,27,2,24,28,52,Grunewald
2010-03-19,27,5,33,39,44,Grunewald
2010-03-20,22,1,14,15,49,Grunewald
2010-03-21,12,0,4,4,60,Grunewald
2010-03-22,14,3,15,19,61,Grunewald
2010-03-23,18,1,15,16,52,Grunewald
2010-03-24,28,11,27,43,46,Grunewald
2010-03-25,36,6,35,44,49,Grunewald
2010-03-26,34,6,29,38,49,Grunewald
2010-03-27,12,0,6,6,68,Grunewald
2010-03-28,15,0,8,9,54,Grunewald
2010-03-29,13,2,20,23,40,Grunewald
2010-03-30,20,5,21,28,36,Grunewald
2010-03-31,17,0,11,11,65,Grunewald
2010-04-01,8,0,10,10,65,Grunewald
2010-04-02,15,1,14,16,56,Grunewald
2010-04-03,,1,35,37,,Grunewald
2010-04-04,,,,,,Grunewald
2010-04-05,,,,,,Grunewald
2010-04-06,,0,16,17,,Grunewald
2010-04-07,22,1,18,19,72,Grunewald
2010-04-08,29,1,17,19,72,Grunewald
2010-04-09,19,0,6,7,60,Grunewald
2010-04-10,11,0,4,3,68,Grunewald
2010-04-11,13,0,9,10,61,Grunewald
2010-04-12,34,1,12,14,70,Grunewald
2010-04-13,30,1,15,17,81,Grunewald
2010-04-14,26,1,14,15,73,Grunewald
2010-04-15,11,0,11,11,70,Grunewald
2010-04-16,15,0,5,5,72,Grunewald
2010-04-17,18,0,8,8,71,Grunewald
2010-04-18,24,1,14,16,81,Grunewald
2010-04-19,23,1,12,13,76,Grunewald
2010-04-20,21,1,12,13,69,Grunewald
2010-04-21,13,0,1,1,76,Grunewald
2010-04-22,12,0,3,4,76,Grunewald
2010-04-23,16,0,5,5,74,Grunewald
2010-04-24,18,1,12,13,70,Grunewald
2010-04-25,26,0,9,9,94,Grunewald
2010-04-26,26,1,14,15,77,Grunewald
2010-04-27,12,0,5,5,65,Grunewald
2010-04-28,18,1,11,12,59,Grunewald
2010-04-29,26,4,29,34,66,Grunewald
2010-04-30,27,3,20,24,74,Grunewald
2010-05-01,19,0,7,7,65,Grunewald
2010-05-02,14,1,10,11,57,Grunewald
2010-05-03,12,1,13,14,47,Grunewald
2010-05-04,10,1,12,13,48,Grunewald
2010-05-05,9,1,10,11,61,Grunewald
2010-05-06,12,0,15,15,60,Grunewald
2010-05-07,10,3,15,20,19,Grunewald
2010-05-08,11,7,10,20,29,Grunewald
2010-05-09,17,2,10,13,41,Grunewald
2010-05-10,22,1,11,13,32,Grunewald
2010-05-11,17,1,18,20,45,Grunewald
2010-05-12,20,0,12,12,44,Grunewald
2010-05-13,17,1,7,8,38,Grunewald
2010-05-14,11,1,6,7,49,Grunewald
2010-05-15,11,0,4,5,59,Grunewald
2010-05-16,18,0,3,3,69,Grunewald
2010-05-17,17,0,4,5,69,Grunewald
2010-05-18,16,0,4,4,66,Grunewald
2010-05-19,18,0,9,9,42,Grunewald
2010-05-20,28,1,10,12,31,Grunewald
2010-05-21,25,1,5,6,48,Grunewald
2010-05-22,27,0,6,7,47,Grunewald
2010-05-23,19,0,3,3,56,Grunewald
2010-05-24,18,0,3,4,54,Grunewald
2010-05-25,16,0,3,3,71,Grunewald
2010-05-26,13,0,6,6,57,Grunewald
2010-05-27,16,0,6,7,47,Grunewald
2010-05-28,19,4,13,20,36,Grunewald
2010-05-29,18,1,7,8,55,Grunewald
2010-05-30,21,0,8,8,51,Grunewald
2010-05-31,7,0,4,4,51,Grunewald
2010-06-01,7,0,5,5,51,Grunewald
2010-06-02,14,0,6,7,56,Grunewald
2010-06-03,13,0,7,7,71,Grunewald
2010-06-04,16,0,5,5,58,Grunewald
2010-06-05,18,0,4,4,64,Grunewald
2010-06-06,24,1,8,9,71,Grunewald
2010-06-07,21,0,9,9,73,Grunewald
2010-06-08,16,1,9,11,61,Grunewald
2010-06-09,19,1,10,11,64,Grunewald
2010-06-10,28,2,19,22,56,Grunewald
2010-06-11,24,2,10,13,69,Grunewald
2010-06-12,9,0,5,5,61,Grunewald
2010-06-13,12,0,2,2,62,Grunewald
2010-06-14,11,0,8,9,47,Grunewald
2010-06-15,13,0,8,8,51,Grunewald
2010-06-16,10,0,7,8,58,Grunewald
2010-06-17,10,1,11,12,65,Grunewald
2010-06-18,16,0,8,8,62,Grunewald
2010-06-19,11,0,2,2,62,Grunewald
2010-06-20,12,0,2,3,51,Grunewald
2010-06-21,12,0,4,4,42,Grunewald
2010-06-22,9,0,6,6,51,Grunewald
2010-06-23,11,0,8,8,50,Grunewald
2010-06-24,13,1,7,8,56,Grunewald
2010-06-25,18,1,7,8,79,Grunewald
2010-06-26,12,0,4,5,69,Grunewald
2010-06-27,11,0,9,9,63,Grunewald
2010-06-28,16,1,12,13,68,Grunewald
2010-06-29,22,1,11,12,93,Grunewald
2010-06-30,20,0,5,6,87,Grunewald
2010-07-01,21,0,11,11,86,Grunewald
2010-07-02,26,1,17,18,101,Grunewald
2010-07-03,27,1,13,14,99,Grunewald
2010-07-04,24,1,7,8,104,Grunewald
2010-07-05,19,0,8,8,88,Grunewald
2010-07-06,16,0,4,4,60,Grunewald
2010-07-07,9,0,4,4,59,Grunewald
2010-07-08,18,2,18,22,71,Grunewald
2010-07-09,26,1,18,19,94,Grunewald
2010-07-10,30,1,16,17,111,Grunewald
2010-07-11,26,1,7,9,105,Grunewald
2010-07-12,31,1,13,15,97,Grunewald
2010-07-13,17,1,4,5,99,Grunewald
2010-07-14,24,1,12,13,99,Grunewald
2010-07-15,19,0,5,5,92,Grunewald
2010-07-16,22,2,11,14,92,Grunewald
2010-07-17,18,1,9,10,74,Grunewald
2010-07-18,11,0,7,7,65,Grunewald
2010-07-19,16,2,18,21,63,Grunewald
2010-07-20,17,1,17,18,70,Grunewald
2010-07-21,28,2,17,19,78,Grunewald
2010-07-22,25,1,14,15,95,Grunewald
2010-07-23,17,1,14,15,36,Grunewald
2010-07-24,17,1,8,9,48,Grunewald
2010-07-25,12,0,6,7,60,Grunewald
2010-07-26,12,2,15,17,51,Grunewald
2010-07-27,16,2,22,26,56,Grunewald
2010-07-28,18,1,14,15,59,Grunewald
2010-07-29,10,1,8,9,51,Grunewald
2010-07-30,11,1,10,11,44,Grunewald
2010-07-31,13,4,24,30,44,Grunewald
2010-08-01,16,1,16,18,69,Grunewald
2010-08-02,,0,8,9,,Grunewald
2010-08-03,16,1,9,10,24,Grunewald
2010-08-04,16,2,14,17,36,Grunewald
2010-08-05,19,3,16,21,53,Grunewald
2010-08-06,19,1,15,18,40,Grunewald
2010-08-07,16,1,12,13,43,Grunewald
2010-08-08,15,1,13,14,52,Grunewald
2010-08-09,19,1,11,12,51,Grunewald
2010-08-10,14,2,16,20,42,Grunewald
2010-08-11,21,3,24,29,37,Grunewald
2010-08-12,16,7,18,29,34,Grunewald
2010-08-13,17,1,14,15,38,Grunewald
2010-08-14,13,0,7,7,41,Grunewald
2010-08-15,20,1,9,11,33,Grunewald
2010-08-16,13,1,9,10,49,Grunewald
2010-08-17,10,1,10,11,25,Grunewald
2010-08-18,10,1,6,7,35,Grunewald
2010-08-19,13,0,6,6,53,Grunewald
2010-08-20,17,4,14,20,39,Grunewald
2010-08-21,23,3,16,20,48,Grunewald
2010-08-22,22,2,8,12,47,Grunewald
2010-08-23,16,1,11,13,30,Grunewald
2010-08-24,14,0,5,6,53,Grunewald
2010-08-25,14,0,7,7,50,Grunewald
2010-08-26,16,4,20,26,15,Grunewald
2010-08-27,13,1,10,11,23,Grunewald
2010-08-28,11,0,3,3,44,Grunewald
2010-08-29,10,0,6,6,33,Grunewald
2010-08-30,8,0,5,6,46,Grunewald
2010-08-31,9,0,5,5,46,Grunewald
2010-09-01,9,0,4,4,34,Grunewald
2010-09-02,9,0,5,5,27,Grunewald
2010-09-03,9,0,5,6,21,Grunewald
2010-09-04,16,5,10,17,22,Grunewald
2010-09-05,12,1,9,10,30,Grunewald
2010-09-06,9,2,15,18,29,Grunewald
2010-09-07,11,1,13,15,36,Grunewald
2010-09-08,17,1,12,14,54,Grunewald
2010-09-09,23,4,20,25,21,Grunewald
2010-09-10,17,0,8,9,29,Grunewald
2010-09-11,19,6,11,20,24,Grunewald
2010-09-12,22,2,16,19,25,Grunewald
2010-09-13,16,0,5,5,31,Grunewald
2010-09-14,13,1,14,15,20,Grunewald
2010-09-15,17,1,7,8,43,Grunewald
2010-09-16,12,0,5,6,54,Grunewald
2010-09-17,11,1,6,7,45,Grunewald
2010-09-18,12,0,5,5,49,Grunewald
2010-09-19,14,0,7,8,43,Grunewald
2010-09-20,19,1,17,19,32,Grunewald
2010-09-21,17,1,7,8,35,Grunewald
2010-09-22,19,7,19,31,18,Grunewald
2010-09-23,31,4,20,27,27,Grunewald
2010-09-24,37,3,20,25,32,Grunewald
2010-09-25,23,0,7,7,30,Grunewald
2010-09-26,5,0,4,4,40,Grunewald
2010-09-27,19,0,8,8,33,Grunewald
2010-09-28,11,0,5,5,35,Grunewald
2010-09-29,13,0,5,6,31,Grunewald
2010-09-30,13,7,12,23,11,Grunewald
2010-10-01,22,34,16,69,20,Grunewald
2010-10-02,31,2,14,17,21,Grunewald
2010-10-03,32,0,9,9,38,Grunewald
2010-10-04,30,1,13,13,46,Grunewald
2010-10-05,31,1,18,20,23,Grunewald
2010-10-06,19,1,13,15,22,Grunewald
2010-10-07,33,2,18,22,19,Grunewald
2010-10-08,42,2,21,24,32,Grunewald
2010-10-09,44,2,18,21,38,Grunewald
2010-10-10,31,1,17,18,41,Grunewald
2010-10-11,28,4,22,28,13,Grunewald
2010-10-12,20,9,11,25,16,Grunewald
2010-10-13,15,6,17,27,15,Grunewald
2010-10-14,18,17,16,42,20,Grunewald
2010-10-15,9,5,8,15,25,Grunewald
2010-10-16,14,4,13,19,18,Grunewald
2010-10-17,17,1,14,15,24,Grunewald
2010-10-18,19,7,23,33,12,Grunewald
2010-10-19,23,1,21,23,12,Grunewald
2010-10-20,11,0,7,7,38,Grunewald
2010-10-21,9,1,9,10,39,Grunewald
2010-10-22,14,0,17,18,29,Grunewald
2010-10-23,17,1,22,23,25,Grunewald
2010-10-24,11,0,5,5,51,Grunewald
2010-10-25,9,0,7,8,38,Grunewald
2010-10-26,7,2,9,13,36,Grunewald
2010-10-27,14,10,24,38,16,Grunewald
2010-10-28,13,3,23,28,17,Grunewald
2010-10-29,21,6,30,40,13,Grunewald
2010-10-30,27,2,25,28,19,Grunewald
2010-10-31,44,4,25,32,14,Grunewald
2010-11-01,50,28,24,66,1,Grunewald
2010-11-02,48,1,17,18,13,Grunewald
2010-11-03,15,0,13,13,33,Grunewald
2010-11-04,6,0,8,9,38,Grunewald
2010-11-05,9,0,8,8,43,Grunewald
2010-11-06,7,0,5,5,52,Grunewald
2010-11-07,10,4,15,21,18,Grunewald
2010-11-08,13,1,21,23,22,Grunewald
2010-11-09,16,8,18,31,15,Grunewald
2010-11-10,21,27,26,67,4,Grunewald
2010-11-11,11,1,12,13,36,Grunewald
2010-11-12,13,0,7,7,56,Grunewald
2010-11-13,7,0,5,6,45,Grunewald
2010-11-14,8,0,8,9,37,Grunewald
2010-11-15,9,0,9,9,42,Grunewald
2010-11-16,10,0,17,17,46,Grunewald
2010-11-17,5,0,19,20,38,Grunewald
2010-11-18,15,15,24,47,4,Grunewald
2010-11-19,14,15,23,46,2,Grunewald
2010-11-20,22,14,23,44,2,Grunewald
2010-11-21,30,12,23,41,9,Grunewald
2010-11-22,19,3,19,24,8,Grunewald
2010-11-23,5,0,5,5,31,Grunewald
2010-11-24,4,0,6,6,46,Grunewald
2010-11-25,10,5,19,26,35,Grunewald
2010-11-26,15,10,29,44,23,Grunewald
2010-11-27,17,6,22,31,18,Grunewald
2010-11-28,33,3,25,30,16,Grunewald
2010-11-29,29,1,16,17,27,Grunewald
2010-11-30,10,1,19,20,42,Grunewald
2010-12-01,24,1,18,19,39,Grunewald
2010-12-02,18,2,25,28,31,Grunewald
2010-12-03,28,16,51,76,8,Grunewald
2010-12-04,36,10,45,61,13,Grunewald
2010-12-05,20,0,16,16,48,Grunewald
2010-12-06,20,14,39,60,13,Grunewald
2010-12-07,35,26,48,88,6,Grunewald
2010-12-08,43,2,33,36,25,Grunewald
2010-12-09,14,0,9,9,56,Grunewald
2010-12-10,12,0,15,15,49,Grunewald
2010-12-11,9,0,8,8,58,Grunewald
2010-12-12,7,0,4,4,62,Grunewald
2010-12-13,7,0,10,10,50,Grunewald
2010-12-14,8,0,10,10,48,Grunewald
2010-12-15,13,1,22,23,32,Grunewald
2010-12-16,20,2,27,30,23,Grunewald
2010-12-17,22,5,30,38,24,Grunewald
2010-12-18,23,11,41,58,20,Grunewald
2010-12-19,43,39,56,115,6,Grunewald
2010-12-20,31,1,24,26,28,Grunewald
2010-12-21,42,97,60,209,4,Grunewald
2010-12-22,83,20,49,79,7,Grunewald
2010-12-23,92,13,38,58,6,Grunewald
2010-12-24,17,1,14,15,26,Grunewald
2010-12-25,11,0,3,4,46,Grunewald
2010-12-26,18,6,18,26,44,Grunewald
2010-12-27,22,1,25,27,28,Grunewald
2010-12-28,32,2,26,29,29,Grunewald
2010-12-29,47,7,37,48,19,Grunewald
2010-12-30,47,2,37,40,20,Grunewald
2010-12-31,17,1,21,22,39,Grunewald
2011-01-01,20,0,6,6,67,Grunewald
2011-01-02,16,0,4,4,64,Grunewald
2011-01-03,16,0,9,8,50,Grunewald
2011-01-04,20,3,39,43,20,Grunewald
2011-01-05,25,2,31,33,33,Grunewald
2011-01-06,23,1,25,27,36,Grunewald
2011-01-07,11,2,25,28,25,Grunewald
2011-01-08,10,13,30,50,16,Grunewald
2011-01-09,12,0,10,10,38,Grunewald
2011-01-10,19,13,29,50,23,Grunewald
2011-01-11,34,10,34,48,6,Grunewald
2011-01-12,11,,13,13,42,Grunewald
2011-01-13,4,8,23,35,10,Grunewald
2011-01-14,5,0,10,11,30,Grunewald
2011-01-15,11,1,9,10,48,Grunewald
2011-01-16,9,0,9,10,42,Grunewald
2011-01-17,16,16,29,53,7,Grunewald
2011-01-18,13,1,14,16,27,Grunewald
2011-01-19,10,0,8,8,45,Grunewald
2011-01-20,9,0,10,10,53,Grunewald
2011-01-21,12,0,8,8,48,Grunewald
2011-01-22,16,0,8,8,41,Grunewald
2011-01-23,9,1,4,5,43,Grunewald
2011-01-24,10,1,15,16,27,Grunewald
2011-01-25,10,0,8,8,50,Grunewald
2011-01-26,6,0,11,11,44,Grunewald
2011-01-27,6,0,14,14,54,Grunewald
2011-01-28,28,6,38,46,15,Grunewald
2011-01-29,48,5,31,39,18,Grunewald
2011-01-30,56,15,40,63,4,Grunewald
2011-01-31,48,16,31,55,17,Grunewald
2011-02-01,57,2,21,24,29,Grunewald
2011-02-02,46,12,39,57,13,Grunewald
2011-02-03,24,0,20,21,26,Grunewald
2011-02-04,14,0,11,12,44,Grunewald
2011-02-05,13,0,4,4,67,Grunewald
2011-02-06,8,0,3,3,66,Grunewald
2011-02-07,16,0,11,11,56,Grunewald
2011-02-08,12,0,4,4,70,Grunewald
2011-02-09,18,7,15,26,42,Grunewald
2011-02-10,26,5,32,40,18,Grunewald
2011-02-11,14,0,11,11,47,Grunewald
2011-02-12,9,1,15,16,56,Grunewald
2011-02-13,19,0,10,11,57,Grunewald
2011-02-14,30,1,16,17,52,Grunewald
2011-02-15,38,1,19,20,51,Grunewald
2011-02-16,50,1,25,27,38,Grunewald
2011-02-17,59,1,28,29,25,Grunewald
2011-02-18,55,1,22,24,24,Grunewald
2011-02-19,28,0,8,7,57,Grunewald
2011-02-20,13,0,8,8,71,Grunewald
2011-02-21,22,0,15,16,68,Grunewald
2011-02-22,45,1,27,30,56,Grunewald
2011-02-23,51,2,29,31,46,Grunewald
2011-02-24,72,2,27,30,60,Grunewald
2011-02-25,87,1,28,30,63,Grunewald
2011-02-26,79,1,21,22,66,Grunewald
2011-02-27,86,1,22,24,53,Grunewald
2011-02-28,80,9,41,54,28,Grunewald
2011-03-01,68,2,35,38,44,Grunewald
2011-03-02,66,3,40,44,40,Grunewald
2011-03-03,60,2,36,40,52,Grunewald
2011-03-04,68,5,31,39,47,Grunewald
2011-03-05,36,1,14,15,44,Grunewald
2011-03-06,11,0,6,7,60,Grunewald
2011-03-07,10,4,28,34,40,Grunewald
2011-03-08,23,2,35,38,38,Grunewald
2011-03-09,32,3,26,30,51,Grunewald
2011-03-10,15,2,11,14,58,Grunewald
2011-03-11,13,0,7,7,69,Grunewald
2011-03-12,25,7,30,40,33,Grunewald
2011-03-13,33,3,27,32,43,Grunewald
2011-03-14,39,3,32,37,17,Grunewald
2011-03-15,52,3,25,29,35,Grunewald
2011-03-16,45,1,18,20,45,Grunewald
2011-03-17,29,1,22,23,35,Grunewald
2011-03-18,16,0,5,5,46,Grunewald
2011-03-19,9,0,2,2,68,Grunewald
2011-03-20,14,0,3,3,48,Grunewald
2011-03-21,17,16,15,39,48,Grunewald
2011-03-22,18,1,12,13,58,Grunewald
2011-03-23,16,0,5,5,63,Grunewald
2011-03-24,14,0,3,4,70,Grunewald
2011-03-25,11,0,5,5,64,Grunewald
2011-03-26,11,0,4,4,77,Grunewald
2011-03-27,16,0,7,8,64,Grunewald
2011-03-28,14,1,12,14,59,Grunewald
2011-03-29,15,0,5,5,70,Grunewald
2011-03-30,31,13,31,50,44,Grunewald
2011-03-31,20,9,28,41,39,Grunewald
2011-04-01,16,0,4,4,66,Grunewald
2011-04-02,19,3,11,16,37,Grunewald
2011-04-03,20,1,7,8,57,Grunewald
2011-04-04,8,1,4,5,62,Grunewald
2011-04-05,12,0,7,8,62,Grunewald
2011-04-06,16,0,10,11,46,Grunewald
2011-04-07,16,0,9,9,61,Grunewald
2011-04-08,22,0,2,2,85,Grunewald
2011-04-09,23,0,2,2,83,Grunewald
2011-04-10,10,0,3,4,73,Grunewald
2011-04-11,14,1,6,6,68,Grunewald
2011-04-12,20,0,3,4,75,Grunewald
2011-04-13,7,0,2,3,72,Grunewald
2011-04-14,7,0,7,7,48,Grunewald
2011-04-15,10,1,11,13,40,Grunewald
2011-04-16,12,1,10,11,62,Grunewald
2011-04-17,23,1,8,9,70,Grunewald
2011-04-18,25,4,12,17,67,Grunewald
2011-04-19,27,9,27,40,62,Grunewald
2011-04-20,23,2,21,25,71,Grunewald
2011-04-21,26,3,27,32,72,Grunewald
2011-04-22,33,1,17,18,98,Grunewald
2011-04-23,30,0,10,10,115,Grunewald
2011-04-24,24,0,7,8,98,Grunewald
2011-04-25,29,0,9,10,74,Grunewald
2011-04-26,28,1,18,19,52,Grunewald
2011-04-27,24,2,20,24,34,Grunewald
2011-04-28,38,1,17,18,67,Grunewald
2011-04-29,31,1,14,15,92,Grunewald
2011-04-30,15,0,6,7,86,Grunewald
2011-05-01,11,0,5,5,86,Grunewald
2011-05-02,13,1,15,16,56,Grunewald
2011-05-03,9,0,8,9,66,Grunewald
2011-05-04,7,0,11,11,56,Grunewald
2011-05-05,,0,7,7,,Grunewald
2011-05-06,17,2,20,23,65,Grunewald
2011-05-07,20,1,14,15,82,Grunewald
2011-05-08,14,0,7,8,74,Grunewald
2011-05-09,,1,13,14,75,Grunewald
2011-05-10,25,0,17,18,78,Grunewald
2011-05-11,31,3,20,24,69,Grunewald
2011-05-12,20,1,9,10,61,Grunewald
2011-05-13,12,0,3,3,66,Grunewald
2011-05-14,13,3,10,14,55,Grunewald
2011-05-15,10,0,2,2,57,Grunewald
2011-05-16,10,0,7,7,46,Grunewald
2011-05-17,15,0,8,9,40,Grunewald
2011-05-18,14,1,9,11,55,Grunewald
2011-05-19,17,1,14,15,59,Grunewald
2011-05-20,15,1,12,13,50,Grunewald
2011-05-21,19,1,8,9,69,Grunewald
2011-05-22,15,0,6,6,82,Grunewald
2011-05-23,14,1,7,8,63,Grunewald
2011-05-24,17,1,13,15,57,Grunewald
2011-05-25,21,0,6,7,64,Grunewald
2011-05-26,23,1,17,19,80,Grunewald
2011-05-27,17,0,8,9,66,Grunewald
2011-05-28,8,0,5,6,73,Grunewald
2011-05-29,13,0,7,7,68,Grunewald
2011-05-30,16,2,16,19,78,Grunewald
2011-05-31,19,0,9,9,100,Grunewald
2011-06-01,9,1,6,7,58,Grunewald
2011-06-02,7,0,7,8,65,Grunewald
2011-06-03,9,0,9,10,59,Grunewald
2011-06-04,12,1,12,13,74,Grunewald
2011-06-05,23,1,12,13,86,Grunewald
2011-06-06,23,1,11,12,59,Grunewald
2011-06-07,18,1,13,14,61,Grunewald
2011-06-08,20,1,16,18,44,Grunewald
2011-06-09,13,0,5,6,76,Grunewald
2011-06-10,13,1,6,7,74,Grunewald
2011-06-11,15,1,12,13,64,Grunewald
2011-06-12,9,0,7,8,65,Grunewald
2011-06-13,10,0,9,9,75,Grunewald
2011-06-14,11,1,13,15,55,Grunewald
2011-06-15,13,1,10,11,72,Grunewald
2011-06-16,16,1,16,18,69,Grunewald
2011-06-17,10,0,6,6,72,Grunewald
2011-06-18,10,0,7,7,52,Grunewald
2011-06-19,9,1,6,7,47,Grunewald
2011-06-20,11,0,5,5,58,Grunewald
2011-06-21,10,3,11,15,30,Grunewald
2011-06-22,10,5,10,17,42,Grunewald
