,date,PM10,NOx,NO_2,NOx
75,11.01.2010,31,37,47,104
76,12.01.2010,62,28,38,80
77,13.01.2010,53,8,20,33
78,14.01.2010,57,12,30,48
79,15.01.2010,87,12,31,50
80,16.01.2010,70,5,23,31
81,17.01.2010,59,20,32,63
82,18.01.2010,62,143,71,289
83,19.01.2010,39,50,42,118
84,20.01.2010,71,10,26,41
85,21.01.2010,52,16,37,62
86,22.01.2010,63,11,34,51
87,23.01.2010,89,7,33,43
88,24.01.2010,94,4,27,33
89,25.01.2010,99,16,45,70
90,26.01.2010,151,78,83,203
91,27.01.2010,132,166,100,354
92,28.01.2010,37,60,62,155
93,29.01.2010,29,59,59,149
94,30.01.2010,18,38,45,104
95,31.01.2010,28,29,46,91
96,01.02.2010,38,77,67,184
97,02.02.2010,27,46,45,115
98,03.02.2010,28,60,57,150
99,04.02.2010,27,49,60,134
100,05.02.2010,45,8,31,43
101,06.02.2010,59,8,30,42
102,07.02.2010,57,9,30,45
103,08.02.2010,34,20,42,72
104,09.02.2010,70,12,37,55
105,10.02.2010,133,21,54,86
106,11.02.2010,60,16,38,62
107,12.02.2010,27,44,56,123
108,13.02.2010,22,62,62,156
109,14.02.2010,38,52,63,141
110,15.02.2010,44,86,75,207
111,16.02.2010,56,56,61,147
112,17.02.2010,92,13,37,57
113,18.02.2010,113,66,74,174
114,19.02.2010,60,74,64,178
115,20.02.2010,30,44,53,120
116,21.02.2010,31,40,52,113
117,22.02.2010,27,44,52,119
118,23.02.2010,23,50,49,125
119,24.02.2010,29,13,29,49
120,25.02.2010,41,50,53,129
121,26.02.2010,49,60,57,148
122,27.02.2010,37,28,41,84
123,28.02.2010,23,9,24,37
124,01.03.2010,22,39,38,98
125,02.03.2010,58,56,57,143
126,03.03.2010,65,101,80,234
127,04.03.2010,66,99,81,233
128,05.03.2010,53,67,67,170
129,06.03.2010,24,9,26,39
130,07.03.2010,33,31,51,98
131,08.03.2010,37,27,50,91
132,09.03.2010,87,113,90,262
133,10.03.2010,78,41,61,123
134,11.03.2010,104,69,65,172
135,12.03.2010,46,96,62,209
136,13.03.2010,26,34,39,92
137,14.03.2010,15,25,31,70
138,15.03.2010,41,82,73,198
139,16.03.2010,47,79,71,192
140,17.03.2010,85,90,76,214
141,18.03.2010,89,77,78,196
142,19.03.2010,86,73,76,189
143,20.03.2010,40,27,40,81
144,21.03.2010,27,22,30,64
145,22.03.2010,56,72,70,180
146,23.03.2010,69,87,78,211
147,24.03.2010,61,28,40,83
148,25.03.2010,79,47,59,130
149,26.03.2010,69,37,47,104
150,27.03.2010,36,37,45,101
151,28.03.2010,30,29,41,86
152,29.03.2010,44,74,70,183
153,30.03.2010,28,9,23,37
154,31.03.2010,47,58,61,150
155,01.04.2010,37,49,55,130
156,02.04.2010,29,22,43,77
157,03.04.2010,41,8,31,43
158,04.04.2010,31,15,30,54
159,05.04.2010,34,33,46,97
160,06.04.2010,49,52,54,134
161,07.04.2010,31,8,23,36
162,08.04.2010,48,28,47,90
163,09.04.2010,47,70,61,168
164,10.04.2010,22,25,35,73
165,11.04.2010,20,8,18,30
166,12.04.2010,46,13,31,51
167,13.04.2010,43,20,39,70
168,14.04.2010,39,21,41,73
169,15.04.2010,27,39,60,119
170,16.04.2010,41,67,79,181
171,17.04.2010,42,39,62,122
172,18.04.2010,42,48,67,141
173,19.04.2010,48,49,67,142
174,20.04.2010,47,50,64,140
175,21.04.2010,28,48,52,125
176,22.04.2010,36,68,73,177
177,23.04.2010,50,106,97,259
178,24.04.2010,48,62,60,156
179,25.04.2010,32,2,13,17
180,26.04.2010,46,42,59,124
181,27.04.2010,32,65,67,165
182,28.04.2010,44,85,84,214
183,29.04.2010,57,60,89,180
184,30.04.2010,48,45,71,139
185,01.05.2010,31,22,39,73
186,02.05.2010,23,14,27,49
187,03.05.2010,23,50,54,131
188,04.05.2010,29,60,64,155
189,05.05.2010,21,14,30,51
190,06.05.2010,16,10,29,44
191,07.05.2010,33,87,54,187
192,08.05.2010,29,55,53,138
193,09.05.2010,38,36,57,113
194,10.05.2010,42,68,62,165
195,11.05.2010,28,15,36,59
196,12.05.2010,38,57,52,139
197,13.05.2010,32,42,50,115
198,14.05.2010,28,64,62,160
199,15.05.2010,18,34,44,97
200,16.05.2010,29,21,35,67
201,17.05.2010,34,52,62,141
202,18.05.2010,31,46,48,118
203,19.05.2010,34,50,52,128
204,20.05.2010,48,81,66,189
205,21.05.2010,46,75,72,186
206,22.05.2010,46,49,57,131
207,23.05.2010,29,23,34,69
208,24.05.2010,27,23,33,68
209,25.05.2010,30,48,52,125
210,26.05.2010,31,57,54,141
211,27.05.2010,35,71,71,179
212,28.05.2010,39,54,63,145
213,29.05.2010,35,38,56,114
214,30.05.2010,30,16,32,56
215,31.05.2010,25,66,56,157
216,01.06.2010,23,64,61,159
217,02.06.2010,32,43,49,115
218,03.06.2010,19,28,46,89
219,04.06.2010,37,68,72,176
220,05.06.2010,37,52,71,150
221,06.06.2010,43,26,41,80
222,07.06.2010,41,41,58,121
223,08.06.2010,32,29,46,91
224,09.06.2010,46,47,74,146
225,10.06.2010,51,42,77,140
226,11.06.2010,43,30,48,94
227,12.06.2010,26,35,44,98
228,13.06.2010,26,31,43,90
229,14.06.2010,32,56,61,147
230,15.06.2010,37,68,66,169
231,16.06.2010,21,12,27,46
232,17.06.2010,20,10,27,42
233,18.06.2010,35,43,56,121
234,19.06.2010,22,30,34,79
235,20.06.2010,23,27,35,76
236,21.06.2010,35,69,63,169
237,22.06.2010,26,58,66,155
238,23.06.2010,31,70,71,177
239,24.06.2010,35,61,71,164
240,25.06.2010,42,59,77,167
241,26.06.2010,23,20,34,65
242,27.06.2010,20,7,21,31
243,28.06.2010,26,16,36,60
244,29.06.2010,37,27,62,103
245,30.06.2010,41,50,79,155
246,01.07.2010,44,50,80,157
247,02.07.2010,39,15,40,62
248,03.07.2010,34,4,22,28
249,04.07.2010,34,10,34,50
250,05.07.2010,34,40,73,134
251,06.07.2010,29,52,51,130
252,07.07.2010,30,65,63,163
253,08.07.2010,32,35,56,109
254,09.07.2010,38,22,55,89
255,10.07.2010,37,6,32,41
256,11.07.2010,34,6,31,41
257,12.07.2010,41,11,44,61
258,13.07.2010,37,51,78,156
259,14.07.2010,34,8,28,40
260,15.07.2010,36,43,66,131
261,16.07.2010,37,29,67,112
262,17.07.2010,35,24,43,79
263,18.07.2010,19,16,31,55
264,19.07.2010,28,27,46,87
265,20.07.2010,29,10,25,41
266,21.07.2010,39,21,54,86
267,22.07.2010,44,38,76,133
268,23.07.2010,25,31,45,93
269,24.07.2010,26,28,36,78
270,25.07.2010,20,20,32,63
271,26.07.2010,36,69,77,183
272,27.07.2010,34,43,67,132
273,28.07.2010,40,52,64,144
274,29.07.2010,29,57,48,133
275,30.07.2010,44,64,50,147
276,31.07.2010,28,25,42,80
277,01.08.2010,31,14,41,63
278,02.08.2010,41,61,75,167
279,03.08.2010,34,80,58,180
280,04.08.2010,30,50,47,124
281,05.08.2010,31,25,41,79
282,06.08.2010,37,54,62,145
283,07.08.2010,26,23,37,72
284,08.08.2010,28,23,46,81
285,09.08.2010,39,60,67,159
286,10.08.2010,33,52,56,135
287,11.08.2010,39,45,60,128
288,12.08.2010,35,37,52,108
289,13.08.2010,30,46,48,119
290,14.08.2010,25,44,46,114
291,15.08.2010,28,13,25,45
292,16.08.2010,23,38,40,99
293,17.08.2010,23,48,39,113
294,18.08.2010,22,50,51,126
295,19.08.2010,29,54,59,142
296,20.08.2010,35,80,61,183
297,21.08.2010,44,,,
298,22.08.2010,38,,,
299,23.08.2010,29,53,54,136
300,24.08.2010,26,58,55,144
301,25.08.2010,29,48,45,118
302,26.08.2010,32,56,47,133
303,27.08.2010,21,61,43,136
304,28.08.2010,20,39,41,100
305,29.08.2010,20,32,33,81
306,30.08.2010,19,73,59,170
307,31.08.2010,20,50,53,130
308,01.09.2010,29,79,59,181
309,02.09.2010,29,86,62,196
310,03.09.2010,33,128,76,275
311,04.09.2010,28,63,51,150
312,05.09.2010,16,8,23,35
313,06.09.2010,18,34,41,93
314,07.09.2010,18,10,20,36
315,08.09.2010,23,4,13,18
316,09.09.2010,29,26,29,71
317,10.09.2010,35,77,64,184
318,11.09.2010,33,48,53,128
319,12.09.2010,28,16,36,61
320,13.09.2010,29,85,66,198
321,14.09.2010,22,54,43,126
322,15.09.2010,25,48,52,125
323,16.09.2010,24,49,52,128
324,17.09.2010,27,64,51,149
325,18.09.2010,24,34,39,92
326,19.09.2010,23,31,41,88
327,20.09.2010,35,57,57,144
328,21.09.2010,35,96,65,213
329,22.09.2010,32,62,40,135
330,23.09.2010,45,49,57,132
331,24.09.2010,46,46,58,128
332,25.09.2010,35,63,55,151
333,26.09.2010,13,35,37,92
334,27.09.2010,32,76,55,172
335,28.09.2010,22,60,47,139
336,29.09.2010,23,65,54,152
337,30.09.2010,32,133,63,267
338,01.10.2010,26,32,23,71
339,02.10.2010,35,6,16,26
340,03.10.2010,34,4,14,21
341,04.10.2010,36,8,20,33
342,05.10.2010,35,9,22,36
343,06.10.2010,23,14,24,45
344,07.10.2010,39,13,26,46
345,08.10.2010,49,8,22,35
346,09.10.2010,49,6,24,34
347,10.10.2010,46,43,42,109
348,11.10.2010,44,92,61,202
349,12.10.2010,49,176,77,346
350,13.10.2010,35,97,53,200
351,14.10.2010,39,119,63,245
352,15.10.2010,32,116,66,243
353,16.10.2010,18,27,28,69
354,17.10.2010,24,18,29,57
355,18.10.2010,36,85,61,190
356,19.10.2010,38,69,51,156
357,20.10.2010,21,77,54,173
358,21.10.2010,21,62,50,145
359,22.10.2010,31,63,51,148
360,23.10.2010,30,31,41,89
361,24.10.2010,18,16,24,48
362,25.10.2010,29,114,69,243
363,26.10.2010,31,119,77,258
364,27.10.2010,33,76,56,172
365,28.10.2010,32,92,62,202
366,29.10.2010,40,69,56,161
367,30.10.2010,42,34,46,98
368,31.10.2010,57,26,40,79
369,01.11.2010,78,132,66,269
370,02.11.2010,73,112,58,229
371,03.11.2010,30,58,46,135
372,04.11.2010,16,44,39,106
373,05.11.2010,19,45,42,111
374,06.11.2010,19,57,56,142
375,07.11.2010,19,24,36,73
376,08.11.2010,21,31,40,88
377,09.11.2010,30,71,50,158
378,10.11.2010,39,88,44,178
379,11.11.2010,24,60,47,139
380,12.11.2010,23,34,41,93
381,13.11.2010,17,46,51,121
382,14.11.2010,15,21,32,64
383,15.11.2010,24,78,68,188
384,16.11.2010,11,16,36,60
385,17.11.2010,13,19,38,67
386,18.11.2010,25,55,34,118
387,19.11.2010,36,128,54,249
388,20.11.2010,35,60,41,132
389,21.11.2010,34,23,25,61
390,22.11.2010,28,38,32,89
391,23.11.2010,18,69,39,145
392,24.11.2010,16,77,58,175
393,25.11.2010,50,144,77,297
394,26.11.2010,38,94,71,215
395,27.11.2010,38,81,55,179
396,28.11.2010,41,10,26,41
397,29.11.2010,36,16,26,51
398,30.11.2010,24,25,36,74
399,01.12.2010,33,13,22,42
400,02.12.2010,40,65,52,151
401,03.12.2010,52,137,77,286
402,04.12.2010,44,61,62,156
403,05.12.2010,31,20,36,66
404,06.12.2010,44,147,78,302
405,07.12.2010,44,53,51,132
406,08.12.2010,53,40,50,111
407,09.12.2010,32,69,59,163
408,10.12.2010,31,98,73,222
409,11.12.2010,19,31,40,87
410,12.12.2010,16,20,31,62
411,13.12.2010,21,89,65,200
412,14.12.2010,23,63,58,155
413,15.12.2010,31,52,50,129
414,16.12.2010,38,61,50,143
415,17.12.2010,34,56,53,139
416,18.12.2010,38,56,60,145
417,19.12.2010,56,42,55,119
418,20.12.2010,42,93,63,206
419,21.12.2010,55,88,62,197
420,22.12.2010,97,35,50,103
421,23.12.2010,113,37,43,100
422,24.12.2010,25,23,29,64
423,25.12.2010,16,24,30,66
424,26.12.2010,27,47,48,120
425,27.12.2010,33,79,63,183
426,28.12.2010,38,21,37,69
427,29.12.2010,59,56,50,136
428,30.12.2010,64,98,67,217
429,31.12.2010,41,52,60,139
430,01.01.2011,77,22,33,66
431,02.01.2011,27,45,47,115
432,03.01.2011,29,103,74,232
433,04.01.2011,40,105,74,234
434,05.01.2011,37,59,61,150
435,06.01.2011,35,41,52,115
436,07.01.2011,21,67,52,155
437,08.01.2011,23,49,49,125
438,09.01.2011,17,35,48,102
439,10.01.2011,37,114,78,252
440,11.01.2011,44,41,40,102
441,12.01.2011,31,71,59,167
442,13.01.2011,21,101,59,213
443,14.01.2011,22,82,55,180
444,15.01.2011,29,44,46,113
445,16.01.2011,23,24,38,75
446,17.01.2011,59,125,66,257
447,18.01.2011,49,106,74,237
448,19.01.2011,41,99,76,227
449,20.01.2011,30,44,57,124
450,21.01.2011,33,95,69,215
451,22.01.2011,48,69,58,163
452,23.01.2011,20,40,42,103
453,24.01.2011,28,100,58,210
454,25.01.2011,24,79,65,185
455,26.01.2011,18,74,54,168
456,27.01.2011,17,23,43,78
457,28.01.2011,41,28,45,89
458,29.01.2011,69,94,60,203
459,30.01.2011,84,122,65,252
460,31.01.2011,59,96,62,210
461,01.02.2011,88,102,60,216
462,02.02.2011,60,100,67,220
463,03.02.2011,37,81,57,180
464,04.02.2011,25,34,40,91
465,05.02.2011,21,16,25,50
466,06.02.2011,16,16,26,50
467,07.02.2011,48,59,53,143
468,08.02.2011,37,52,55,135
469,09.02.2011,51,97,73,221
470,10.02.2011,55,64,59,158
471,11.02.2011,39,79,59,180
472,12.02.2011,19,13,25,45
473,13.02.2011,25,2,11,15
474,14.02.2011,35,5,16,24
475,15.02.2011,46,5,19,26
476,16.02.2011,54,8,26,38
477,17.02.2011,71,18,35,62
478,18.02.2011,68,37,42,98
479,19.02.2011,40,11,26,42
480,20.02.2011,20,5,20,28
481,21.02.2011,34,10,27,42
482,22.02.2011,60,17,40,66
483,23.02.2011,67,26,49,88
484,24.02.2011,84,10,32,47
485,25.02.2011,104,10,35,51
486,26.02.2011,89,7,28,40
487,27.02.2011,94,4,23,29
488,28.02.2011,101,31,53,100
489,01.03.2011,92,20,54,85
490,02.03.2011,79,23,56,91
491,03.03.2011,84,43,74,139
492,04.03.2011,113,133,117,321
493,05.03.2011,61,64,72,169
494,06.03.2011,21,20,39,70
495,07.03.2011,31,54,66,149
496,08.03.2011,36,36,56,110
497,09.03.2011,61,51,64,143
498,10.03.2011,42,47,51,124
499,11.03.2011,37,62,62,157
500,12.03.2011,40,37,50,106
501,13.03.2011,55,46,64,134
502,14.03.2011,79,160,112,356
503,15.03.2011,67,19,39,69
504,16.03.2011,50,12,26,44
505,17.03.2011,34,27,42,84
506,18.03.2011,34,78,60,179
507,19.03.2011,24,40,52,114
508,20.03.2011,29,54,57,140
509,21.03.2011,54,115,91,267
510,22.03.2011,50,97,89,238
511,23.03.2011,36,80,74,196
512,24.03.2011,35,64,66,164
513,25.03.2011,32,74,71,184
514,26.03.2011,19,21,36,69
515,27.03.2011,29,34,44,96
516,28.03.2011,36,98,89,239
517,29.03.2011,42,118,95,276
518,30.03.2011,62,119,95,277
519,31.03.2011,41,62,65,160
520,01.04.2011,30,52,60,139
521,02.04.2011,32,31,35,83
522,03.04.2011,29,15,33,57
523,04.04.2011,24,68,66,170
524,05.04.2011,32,74,64,177
525,06.04.2011,35,64,58,156
526,07.04.2011,33,43,44,111
527,08.04.2011,39,38,42,99
528,09.04.2011,31,26,39,79
529,10.04.2011,17,24,51,88
530,11.04.2011,38,104,99,257
531,12.04.2011,37,45,53,121
532,13.04.2011,18,53,56,137
533,14.04.2011,27,83,69,196
534,15.04.2011,35,103,80,238
535,16.04.2011,54,99,86,237
536,17.04.2011,50,49,80,155
537,18.04.2011,71,125,105,297
538,19.04.2011,39,17,45,71
539,20.04.2011,33,17,45,72
540,21.04.2011,41,29,63,108
541,22.04.2011,41,4,25,32
542,23.04.2011,39,4,22,28
543,24.04.2011,31,4,19,25
544,25.04.2011,36,11,35,51
545,26.04.2011,39,36,62,117
546,27.04.2011,38,46,59,130
547,28.04.2011,49,14,44,65
548,29.04.2011,42,10,33,48
549,30.04.2011,20,5,17,25
550,01.05.2011,15,5,17,24
551,02.05.2011,21,15,34,58
552,03.05.2011,20,23,38,73
553,04.05.2011,28,75,73,188
554,05.05.2011,36,122,100,286
555,06.05.2011,29,35,63,117
556,07.05.2011,26,5,27,35
557,08.05.2011,21,3,16,21
558,09.05.2011,24,6,23,32
559,10.05.2011,34,21,52,83
560,11.05.2011,42,35,86,141
561,12.05.2011,36,58,88,177
562,13.05.2011,29,60,69,160
563,14.05.2011,25,26,49,89
564,15.05.2011,14,25,38,76
565,16.05.2011,22,57,55,142
566,17.05.2011,30,60,51,143
567,18.05.2011,35,77,73,191
568,19.05.2011,41,62,81,175
569,20.05.2011,34,39,63,122
570,21.05.2011,27,11,33,50
571,22.05.2011,21,7,23,34
572,23.05.2011,35,56,62,149
573,24.05.2011,38,58,66,154
574,25.05.2011,39,60,68,159
575,26.05.2011,33,15,41,64
576,27.05.2011,36,54,61,144
577,28.05.2011,20,29,45,89
578,29.05.2011,22,23,45,80
579,30.05.2011,33,30,53,98
580,31.05.2011,30,21,51,83
581,01.06.2011,18,40,50,111
582,02.06.2011,17,12,31,50
583,03.06.2011,19,18,36,64
584,04.06.2011,20,9,27,41
585,05.06.2011,28,2,18,21
586,06.06.2011,36,23,53,88
587,07.06.2011,30,47,67,138
588,08.06.2011,31,23,42,77
589,09.06.2011,26,54,65,148
590,10.06.2011,30,63,85,181
591,11.06.2011,26,25,53,92
592,12.06.2011,16,18,42,70
593,13.06.2011,17,13,36,56
594,14.06.2011,29,68,74,178
595,15.06.2011,25,51,82,159
596,16.06.2011,29,33,64,115
597,17.06.2011,21,45,57,125
598,18.06.2011,16,28,39,82
599,19.06.2011,12,16,22,46
600,20.06.2011,19,54,62,144
601,21.06.2011,21,72,64,173
602,22.06.2011,22,47,51,122
603,23.06.2011,23,55,58,141
604,24.06.2011,22,61,64,157
605,25.06.2011,17,31,44,92
606,26.06.2011,14,28,41,84
607,27.06.2011,19,25,42,81
608,28.06.2011,13,8,25,37
609,29.06.2011,22,24,57,93
610,30.06.2011,24,57,56,143
611,01.07.2011,19,62,56,151
612,02.07.2011,13,26,29,68
613,03.07.2011,4,21,20,51
614,04.07.2011,,74,47,161
615,05.07.2011,27,36,51,106
616,06.07.2011,22,21,44,77
617,07.07.2011,30,52,68,147
618,08.07.2011,31,48,68,141
619,09.07.2011,21,14,37,59
620,10.07.2011,16,9,24,38
621,11.07.2011,25,64,75,172
622,12.07.2011,25,50,45,121
623,13.07.2011,24,4,19,25
624,14.07.2011,23,43,47,113
625,15.07.2011,17,37,39,96
626,16.07.2011,20,20,37,67
627,17.07.2011,17,11,24,40
628,18.07.2011,16,39,39,98
629,19.07.2011,17,39,44,104
630,20.07.2011,23,26,47,87
631,21.07.2011,23,55,56,141
632,22.07.2011,15,35,34,87
633,23.07.2011,15,20,27,58
634,24.07.2011,11,13,23,43
635,25.07.2011,20,73,61,172
636,26.07.2011,16,44,49,115
637,27.07.2011,24,62,66,161
638,28.07.2011,30,102,91,247
639,29.07.2011,20,67,65,167
640,30.07.2011,13,33,36,86
641,31.07.2011,11,34,33,85
642,01.08.2011,28,91,63,203
643,02.08.2011,24,50,44,121
644,03.08.2011,27,11,23,39
645,04.08.2011,30,27,47,88
646,05.08.2011,30,56,64,150
647,06.08.2011,24,13,30,49
648,07.08.2011,18,22,35,69
649,08.08.2011,18,57,49,135
650,09.08.2011,16,42,40,105
651,10.08.2011,22,54,50,132
652,11.08.2011,24,53,58,139
653,12.08.2011,24,65,66,165
654,13.08.2011,20,50,56,132
655,14.08.2011,21,12,29,47
656,15.08.2011,25,85,74,204
657,16.08.2011,26,99,84,236
658,17.08.2011,28,61,71,165
659,18.08.2011,33,39,64,123
660,19.08.2011,28,55,67,151
661,20.08.2011,20,34,52,104
662,21.08.2011,24,9,38,52
663,22.08.2011,27,53,70,151
664,23.08.2011,20,14,33,54
665,24.08.2011,34,48,60,133
666,25.08.2011,27,46,55,125
667,26.08.2011,33,3,17,21
668,27.08.2011,22,22,46,80
669,28.08.2011,12,17,32,58
670,29.08.2011,19,62,56,151
671,30.08.2011,20,62,56,150
672,31.08.2011,26,96,69,215
673,01.09.2011,24,101,76,230
674,02.09.2011,21,38,47,106
675,03.09.2011,27,8,29,42
676,04.09.2011,28,3,18,23
677,05.09.2011,30,91,71,212
678,06.09.2011,21,59,53,144
679,07.09.2011,20,52,47,129
680,08.09.2011,17,66,48,150
681,09.09.2011,23,101,64,221
682,10.09.2011,20,35,30,86
683,11.09.2011,18,18,37,66
684,12.09.2011,18,43,44,111
685,13.09.2011,26,59,56,147
686,14.09.2011,28,52,49,130
687,15.09.2011,24,61,54,149
688,16.09.2011,25,84,64,194
689,17.09.2011,26,28,44,87
690,18.09.2011,17,30,34,79
691,19.09.2011,22,101,56,210
692,20.09.2011,29,99,68,219
693,21.09.2011,32,83,69,196
694,22.09.2011,32,71,64,173
695,23.09.2011,40,99,81,232
696,24.09.2011,39,59,56,145
697,25.09.2011,33,29,45,89
698,26.09.2011,43,96,83,229
699,27.09.2011,38,115,82,258
700,28.09.2011,33,151,81,311
701,29.09.2011,40,197,98,398
702,30.09.2011,42,164,91,341
703,01.10.2011,38,86,62,193
704,02.10.2011,52,56,60,146
705,03.10.2011,41,26,56,97
706,04.10.2011,41,58,68,157
707,05.10.2011,27,60,53,144
708,06.10.2011,21,42,42,106
709,07.10.2011,24,73,49,161
710,08.10.2011,14,32,34,83
711,09.10.2011,14,33,33,83
712,10.10.2011,14,64,41,140
713,11.10.2011,14,71,64,172
714,12.10.2011,25,76,60,176
715,13.10.2011,23,85,63,194
716,14.10.2011,27,124,69,258
717,15.10.2011,22,36,39,93
718,16.10.2011,19,7,20,31
719,17.10.2011,36,88,61,195
720,18.10.2011,31,60,53,144
721,19.10.2011,22,74,54,166
722,20.10.2011,24,99,71,222
723,21.10.2011,28,122,72,259
724,22.10.2011,27,35,36,90
725,23.10.2011,44,6,20,29
726,24.10.2011,47,5,17,25
727,25.10.2011,40,6,17,26
728,26.10.2011,37,69,39,144
729,27.10.2011,27,19,27,55
730,28.10.2011,46,102,56,212
731,29.10.2011,44,71,40,149
732,30.10.2011,42,50,39,115
733,31.10.2011,41,93,55,198
734,01.11.2011,47,34,43,95
735,02.11.2011,51,66,47,148
736,03.11.2011,56,22,34,69
737,04.11.2011,62,19,34,62
738,05.11.2011,64,14,35,56
739,06.11.2011,69,10,28,44
740,07.11.2011,78,45,48,117
741,08.11.2011,77,38,43,101
742,09.11.2011,62,37,37,94
743,10.11.2011,37,27,29,69
744,11.11.2011,28,7,18,28
745,12.11.2011,49,13,31,51
746,13.11.2011,95,49,48,123
747,14.11.2011,120,126,55,247
748,15.11.2011,39,30,33,79
749,16.11.2011,35,17,28,54
750,17.11.2011,65,99,57,208
751,18.11.2011,51,115,61,238
752,19.11.2011,36,76,41,157
753,20.11.2011,37,47,41,112
754,21.11.2011,45,31,34,82
755,22.11.2011,55,15,30,53
756,23.11.2011,59,71,40,148
757,24.11.2011,49,181,63,340
758,25.11.2011,30,87,61,195
759,26.11.2011,25,36,41,96
760,27.11.2011,17,16,20,44
761,28.11.2011,42,106,70,233
762,29.11.2011,33,81,59,183
763,30.11.2011,33,113,74,246
764,01.12.2011,25,81,53,177
765,02.12.2011,21,57,54,141
766,03.12.2011,18,30,34,79
767,04.12.2011,16,27,35,76
768,05.12.2011,16,63,52,148
769,06.12.2011,16,68,52,156
770,07.12.2011,14,54,48,130
771,08.12.2011,19,68,50,154
772,09.12.2011,19,52,49,128
773,10.12.2011,20,40,47,108
774,11.12.2011,20,31,40,88
775,12.12.2011,22,61,51,145
776,13.12.2011,14,41,44,107
777,14.12.2011,13,51,51,129
778,15.12.2011,15,56,52,137
779,16.12.2011,9,27,36,76
780,17.12.2011,11,34,31,82
781,18.12.2011,15,27,34,75
782,19.12.2011,24,80,54,176
783,20.12.2011,23,49,49,125
784,21.12.2011,19,100,66,218
785,22.12.2011,32,99,59,211
786,23.12.2011,21,101,54,209
787,24.12.2011,14,34,38,91
788,25.12.2011,16,23,28,63
789,26.12.2011,11,24,29,66
790,27.12.2011,19,56,47,133
791,28.12.2011,21,51,43,121
792,29.12.2011,17,35,34,87
793,30.12.2011,14,54,49,132
794,31.12.2011,46,45,45,113
795,01.01.2012,159,35,32,85
796,02.01.2012,13,74,59,173
797,03.01.2012,14,30,34,80
798,04.01.2012,17,39,41,100
799,05.01.2012,11,31,32,80
800,06.01.2012,14,64,49,147
801,07.01.2012,16,29,35,79
802,08.01.2012,13,31,37,85
803,09.01.2012,19,109,61,228
804,10.01.2012,28,62,52,147
805,11.01.2012,24,72,54,164
806,12.01.2012,15,41,37,101
807,13.01.2012,20,48,42,116
808,14.01.2012,20,38,39,97
809,15.01.2012,18,50,51,127
810,16.01.2012,27,124,69,258
811,17.01.2012,21,84,59,187
812,18.01.2012,41,110,74,242
813,19.01.2012,19,79,51,172
814,20.01.2012,16,77,60,178
815,21.01.2012,16,29,37,81
816,22.01.2012,11,21,27,59
817,23.01.2012,22,136,73,280
818,24.01.2012,21,46,53,124
819,25.01.2012,35,107,70,233
820,26.01.2012,34,46,36,106
821,27.01.2012,52,11,27,43
