,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Benzolµg/m³,Toluolµg/m³,Ortschaft
2014-11-13,71,45,26,95,1,1.9,3.9,Neukölln
2014-11-14,50,12,18,37,12,1.5,2.6,Neukölln
2014-11-15,47,3,16,20,20,1.3,1.6,Neukölln
2014-11-16,44,5,19,26,13,1.3,1.7,Neukölln
2014-11-17,,9,26,40,,,,Neukölln
2014-11-18,43,7,16,27,5,,,Neukölln
2014-11-19,33,15,18,41,2,1.5,2.4,Neukölln
2014-11-20,41,27,22,63,1,1.8,3.2,Neukölln
2014-11-21,33,20,33,64,4,1.3,2.6,Neukölln
2014-11-22,22,3,24,29,19,1.0,1.4,Neukölln
2014-11-23,32,6,24,33,12,1.4,1.6,Neukölln
2014-11-24,23,17,41,67,10,1.1,2.9,Neukölln
2014-11-25,25,21,48,81,5,0.9,2.7,Neukölln
2014-11-26,21,5,25,32,16,0.8,1.4,Neukölln
2014-11-27,47,5,21,29,18,1.7,1.9,Neukölln
2014-11-28,46,4,20,27,21,1.4,1.5,Neukölln
2014-11-29,41,2,13,16,33,1.2,1.2,Neukölln
2014-11-30,42,1,11,13,39,1.2,1.2,Neukölln
2014-12-01,39,2,16,19,34,1.2,1.2,Neukölln
2014-12-02,46,3,19,24,28,1.2,1.4,Neukölln
2014-12-03,71,14,27,48,9,1.9,2.8,Neukölln
2014-12-04,78,15,31,54,3,2.6,2.6,Neukölln
2014-12-05,66,37,34,90,1,3.1,4.4,Neukölln
2014-12-06,33,31,32,79,2,1.9,3.4,Neukölln
2014-12-07,19,5,32,39,21,1.0,2.0,Neukölln
2014-12-08,17,8,35,47,18,0.9,2.4,Neukölln
2014-12-09,25,38,44,103,3,1.3,3.3,Neukölln
2014-12-10,17,7,33,44,12,0.8,1.8,Neukölln
2014-12-11,12,7,31,42,23,0.7,1.7,Neukölln
2014-12-12,8,2,22,26,43,0.5,1.3,Neukölln
2014-12-13,11,4,30,37,39,0.6,1.5,Neukölln
2014-12-14,24,7,33,44,13,0.9,2.2,Neukölln
2014-12-15,12,8,32,44,22,0.7,1.9,Neukölln
2014-12-16,15,15,37,60,13,0.9,2.3,Neukölln
2014-12-17,12,8,34,46,21,0.7,1.9,Neukölln
2014-12-18,10,11,30,46,13,0.7,2.0,Neukölln
2014-12-19,6,3,22,27,39,0.5,1.3,Neukölln
2014-12-20,11,2,16,19,57,0.5,1.0,Neukölln
2014-12-21,19,2,15,18,51,0.5,1.3,Neukölln
2014-12-22,5,2,17,21,46,0.5,1.2,Neukölln
2014-12-23,6,2,16,19,46,0.5,0.9,Neukölln
2014-12-24,5,2,17,20,46,0.6,1.0,Neukölln
2014-12-25,13,2,12,15,52,0.6,0.9,Neukölln
2014-12-26,6,5,23,30,36,0.8,1.2,Neukölln
2014-12-27,18,6,23,32,22,1.3,1.4,Neukölln
2014-12-28,25,12,32,50,22,,,Neukölln
2014-12-29,20,15,43,66,11,,,Neukölln
2014-12-30,24,16,43,68,14,,,Neukölln
2014-12-31,37,14,37,58,8,,,Neukölln
2015-01-01,110,7,24,35,26,,,Neukölln
2015-01-02,11,3,19,25,44,,,Neukölln
2015-01-03,15,2,17,20,54,0.7,0.9,Neukölln
2015-01-04,14,2,18,22,54,0.8,1.4,Neukölln
2015-01-05,19,5,30,38,34,1.1,2.0,Neukölln
2015-01-06,16,5,33,40,22,1.0,1.6,Neukölln
2015-01-07,23,17,43,69,10,1.5,2.9,Neukölln
2015-01-08,14,7,31,42,16,1.2,2.0,Neukölln
2015-01-09,12,3,18,22,54,0.7,1.1,Neukölln
2015-01-10,,2,16,19,52,0.6,1.1,Neukölln
2015-01-11,12,1,12,14,64,0.7,0.9,Neukölln
2015-01-12,9,3,22,27,44,0.9,1.3,Neukölln
2015-01-13,7,2,22,25,48,0.7,1.4,Neukölln
2015-01-14,7,2,29,32,43,0.9,1.5,Neukölln
2015-01-15,10,3,27,32,37,0.8,1.2,Neukölln
2015-01-16,11,7,38,49,26,1.0,2.0,Neukölln
2015-01-17,24,13,44,65,17,1.4,2.9,Neukölln
2015-01-18,26,9,35,48,13,1.4,2.1,Neukölln
2015-01-19,36,29,35,79,6,2.1,2.9,Neukölln
2015-01-20,35,15,37,59,5,2.1,2.2,Neukölln
2015-01-21,32,13,30,50,4,1.9,2.6,Neukölln
2015-01-22,36,9,28,43,7,2.1,2.7,Neukölln
2015-01-23,20,5,23,32,17,1.6,2.1,Neukölln
2015-01-24,23,6,28,37,22,1.6,1.9,Neukölln
2015-01-25,21,3,26,31,35,1.2,2.0,Neukölln
2015-01-26,14,5,28,36,27,1.1,1.5,Neukölln
2015-01-27,14,5,32,40,42,1.0,1.7,Neukölln
2015-01-28,16,4,26,32,36,0.9,1.4,Neukölln
2015-01-29,10,3,26,31,45,0.9,1.4,Neukölln
2015-01-30,12,7,39,49,22,1.2,2.1,Neukölln
2015-01-31,16,6,34,43,26,1.2,2.4,Neukölln
2015-02-01,21,5,30,38,27,1.1,1.7,Neukölln
2015-02-02,19,8,36,47,24,1.3,2.5,Neukölln
2015-02-03,11,6,35,44,27,1.2,2.0,Neukölln
2015-02-04,11,9,30,44,18,1.4,2.2,Neukölln
2015-02-05,,9,31,45,18,1.6,2.4,Neukölln
2015-02-06,41,6,29,38,27,2.2,1.9,Neukölln
2015-02-07,33,7,34,45,25,1.7,2.0,Neukölln
2015-02-08,16,3,18,22,63,0.8,1.0,Neukölln
2015-02-09,12,6,29,38,44,1.0,2.3,Neukölln
2015-02-10,15,5,29,38,46,0.9,1.9,Neukölln
2015-02-11,20,4,34,41,36,0.9,1.8,Neukölln
2015-02-12,38,28,33,76,22,1.5,2.5,Neukölln
2015-02-13,35,18,41,68,10,1.7,2.4,Neukölln
2015-02-14,48,8,36,48,26,1.9,1.8,Neukölln
2015-02-15,69,2,23,26,49,2.9,2.0,Neukölln
2015-02-16,63,2,17,20,44,2.1,1.4,Neukölln
2015-02-17,57,9,32,46,26,2.1,2.2,Neukölln
2015-02-18,43,10,40,54,18,1.5,2.3,Neukölln
2015-02-19,35,17,40,66,12,1.6,2.5,Neukölln
2015-02-20,35,7,37,48,23,1.5,2.1,Neukölln
2015-02-21,14,3,28,32,50,1.1,1.5,Neukölln
2015-02-22,17,4,37,43,31,1.1,1.8,Neukölln
2015-02-23,24,5,35,43,26,1.2,1.9,Neukölln
2015-02-24,21,10,37,53,23,1.3,2.3,Neukölln
2015-02-25,28,49,55,130,17,2.1,4.4,Neukölln
2015-02-26,40,47,50,122,23,2.3,3.8,Neukölln
2015-02-27,35,11,45,62,26,1.6,2.3,Neukölln
2015-02-28,21,3,28,32,44,0.9,1.6,Neukölln
2015-03-01,16,2,22,25,43,1.0,1.8,Neukölln
2015-03-02,11,4,28,34,49,0.9,1.5,Neukölln
2015-03-03,15,4,22,28,53,0.9,1.4,Neukölln
2015-03-04,13,5,31,38,42,1.0,1.7,Neukölln
2015-03-05,15,7,34,45,40,1.1,2.3,Neukölln
2015-03-06,27,19,53,81,13,1.6,3.1,Neukölln
2015-03-07,30,4,32,38,36,1.1,1.8,Neukölln
2015-03-08,21,2,27,30,44,1.2,1.7,Neukölln
2015-03-09,24,6,36,45,35,1.2,2.2,Neukölln
2015-03-10,37,15,38,61,16,1.4,2.8,Neukölln
2015-03-11,28,4,25,30,48,1.0,1.8,Neukölln
2015-03-12,15,6,25,34,48,0.9,1.6,Neukölln
2015-03-13,18,6,30,39,37,1.2,2.0,Neukölln
2015-03-14,29,3,20,24,34,1.3,1.7,Neukölln
2015-03-15,25,2,12,15,35,1.4,1.1,Neukölln
2015-03-16,46,3,17,21,45,1.5,1.2,Neukölln
2015-03-17,45,2,18,21,67,1.2,1.3,Neukölln
2015-03-18,33,1,19,21,74,1.1,1.1,Neukölln
2015-03-19,46,6,39,48,65,1.6,2.2,Neukölln
2015-03-20,60,21,76,109,34,2.1,4.1,Neukölln
2015-03-21,47,5,32,40,26,1.3,2.3,Neukölln
2015-03-22,11,1,16,18,69,0.8,0.8,Neukölln
2015-03-23,25,7,44,55,39,1.2,2.0,Neukölln
2015-03-24,50,16,49,74,26,1.5,2.6,Neukölln
2015-03-25,58,8,29,42,43,1.4,1.8,Neukölln
2015-03-26,49,10,37,52,26,1.4,2.6,Neukölln
2015-03-27,22,8,29,41,27,1.1,1.9,Neukölln
2015-03-28,20,2,20,23,48,0.8,1.4,Neukölln
2015-03-29,11,2,14,17,51,0.6,1.1,Neukölln
2015-03-30,9,3,13,17,72,0.6,1.2,Neukölln
2015-03-31,12,2,17,20,66,0.6,1.2,Neukölln
2015-04-01,11,3,16,21,68,0.6,1.0,Neukölln
2015-04-02,7,4,24,30,56,0.9,1.8,Neukölln
2015-04-03,12,2,22,24,55,0.7,1.4,Neukölln
2015-04-04,15,3,26,31,49,1.0,1.4,Neukölln
2015-04-05,17,4,30,36,47,1.1,1.8,Neukölln
2015-04-06,10,2,16,18,64,0.8,1.1,Neukölln
2015-04-07,16,9,33,46,47,1.0,1.9,Neukölln
2015-04-08,16,5,28,36,49,0.8,2.3,Neukölln
2015-04-09,23,20,46,76,35,1.3,3.4,Neukölln
2015-04-10,35,29,50,94,44,1.6,4.8,Neukölln
2015-04-11,30,2,25,28,70,1.0,1.7,Neukölln
2015-04-12,10,1,13,14,74,0.6,1.1,Neukölln
2015-04-13,15,3,15,19,68,0.6,1.3,Neukölln
2015-04-14,20,4,30,36,50,0.8,2.1,Neukölln
2015-04-15,26,2,21,24,76,0.6,1.8,Neukölln
2015-04-16,15,2,16,20,,0.6,1.5,Neukölln
2015-04-17,17,3,19,23,,0.6,1.4,Neukölln
2015-04-18,11,3,20,25,59,0.7,1.5,Neukölln
2015-04-19,20,16,35,61,54,1.2,3.3,Neukölln
2015-04-20,17,4,24,30,62,0.7,1.8,Neukölln
2015-04-21,22,5,30,37,66,0.7,2.4,Neukölln
2015-04-22,23,6,29,38,59,0.9,2.5,Neukölln
2015-04-23,26,6,35,44,61,0.9,2.7,Neukölln
2015-04-24,37,8,39,51,64,0.9,3.3,Neukölln
2015-04-25,30,2,24,27,92,0.7,1.7,Neukölln
2015-04-26,17,4,23,29,54,0.9,2.4,Neukölln
2015-04-27,16,12,27,45,24,1.1,3.4,Neukölln
2015-04-28,13,6,26,36,40,0.8,2.4,Neukölln
2015-04-29,13,3,20,24,62,0.6,1.6,Neukölln
2015-04-30,19,3,29,34,52,0.7,1.5,Neukölln
2015-05-01,13,2,19,22,60,0.6,1.5,Neukölln
2015-05-02,,8,38,51,47,1.0,2.9,Neukölln
2015-05-03,25,2,22,25,70,0.9,1.7,Neukölln
2015-05-04,14,3,22,27,51,0.7,2.2,Neukölln
2015-05-05,18,3,24,28,49,0.6,1.8,Neukölln
2015-05-06,15,5,28,36,71,0.7,2.4,Neukölln
2015-05-07,14,4,24,30,62,0.7,2.2,Neukölln
2015-05-08,14,4,27,33,61,0.6,1.7,Neukölln
2015-05-09,22,2,21,23,70,0.6,1.9,Neukölln
2015-05-10,13,1,19,21,69,0.6,1.7,Neukölln
2015-05-11,21,10,39,54,55,0.8,2.5,Neukölln
2015-05-12,26,2,26,29,75,0.6,1.7,Neukölln
2015-05-13,14,3,23,28,65,0.7,2.0,Neukölln
2015-05-14,11,2,23,26,56,0.6,1.8,Neukölln
2015-05-15,18,5,27,35,50,0.7,2.2,Neukölln
2015-05-16,22,2,29,33,55,0.8,2.2,Neukölln
2015-05-17,16,2,19,21,65,0.6,1.8,Neukölln
2015-05-18,27,10,49,63,,0.8,2.2,Neukölln
2015-05-19,,,,,,,,Neukölln
2015-05-20,,,,,,,,Neukölln
2015-05-21,,2,24,27,,,,Neukölln
2015-05-22,30,8,45,58,50,0.7,2.5,Neukölln
2015-05-23,27,3,28,33,57,0.7,2.0,Neukölln
2015-05-24,21,2,20,23,70,0.6,1.4,Neukölln
2015-05-25,24,2,22,25,65,0.7,2.0,Neukölln
2015-05-26,16,3,17,22,57,0.5,1.4,Neukölln
2015-05-27,19,4,23,29,53,0.3,0.4,Neukölln
2015-05-28,23,3,25,30,59,0.4,0.4,Neukölln
2015-05-29,16,2,22,25,71,0.3,0.4,Neukölln
2015-05-30,13,2,15,18,70,0.3,0.3,Neukölln
2015-05-31,12,1,16,17,75,0.3,0.3,Neukölln
2015-06-01,14,3,27,32,47,0.2,0.4,Neukölln
2015-06-02,16,2,15,19,67,0.2,0.7,Neukölln
2015-06-03,20,3,18,23,66,0.3,1.5,Neukölln
2015-06-04,13,3,17,21,70,0.4,1.3,Neukölln
2015-06-05,21,2,14,17,103,0.4,0.9,Neukölln
2015-06-06,27,1,15,18,114,0.4,1.7,Neukölln
2015-06-07,15,1,9,10,94,0.3,1.2,Neukölln
2015-06-08,15,1,11,13,76,0.4,1.0,Neukölln
2015-06-09,14,1,13,14,76,0.4,1.0,Neukölln
2015-06-10,18,2,16,19,76,0.4,1.2,Neukölln
2015-06-11,13,2,16,19,93,0.4,1.1,Neukölln
2015-06-12,26,2,20,23,103,0.3,1.2,Neukölln
2015-06-13,32,1,18,20,95,0.4,1.6,Neukölln
2015-06-14,18,2,15,18,71,0.4,1.7,Neukölln
2015-06-15,11,3,11,15,69,0.4,1.4,Neukölln
2015-06-16,14,4,20,26,59,0.4,1.6,Neukölln
2015-06-17,15,2,24,28,69,0.4,1.8,Neukölln
2015-06-18,13,4,18,24,56,0.4,1.8,Neukölln
2015-06-19,11,3,18,23,51,0.4,1.6,Neukölln
2015-06-20,9,2,17,21,46,0.4,1.3,Neukölln
2015-06-21,11,2,15,18,54,0.4,1.4,Neukölln
2015-06-22,14,3,21,27,42,0.3,1.5,Neukölln
2015-06-23,11,6,28,37,26,0.4,2.0,Neukölln
2015-06-24,13,4,24,29,39,0.4,2.1,Neukölln
2015-06-25,18,5,31,38,51,0.5,2.9,Neukölln
2015-06-26,31,6,49,58,55,0.8,3.4,Neukölln
2015-06-27,25,2,29,32,58,0.6,2.6,Neukölln
2015-06-28,15,6,20,30,49,0.5,1.9,Neukölln
2015-06-29,21,7,32,42,59,0.5,3.3,Neukölln
2015-06-30,14,2,14,18,70,0.3,1.8,Neukölln
2015-07-01,14,1,14,16,70,0.4,1.0,Neukölln
2015-07-02,20,1,14,15,86,0.3,0.9,Neukölln
2015-07-03,28,1,20,21,114,0.4,1.3,Neukölln
2015-07-04,37,1,26,28,120,0.6,2.7,Neukölln
2015-07-05,29,1,15,16,125,0.5,2.2,Neukölln
2015-07-06,18,3,23,28,71,0.4,2.0,Neukölln
2015-07-07,18,2,29,32,93,0.5,2.2,Neukölln
2015-07-08,19,2,17,20,59,0.4,1.6,Neukölln
2015-07-09,12,4,13,19,53,0.4,1.4,Neukölln
2015-07-10,15,4,14,19,59,0.4,1.4,Neukölln
2015-07-11,21,2,28,31,64,0.4,2.1,Neukölln
2015-07-12,25,2,25,28,61,0.6,2.3,Neukölln
2015-07-13,15,4,21,27,37,0.5,2.1,Neukölln
2015-07-14,14,4,27,33,31,0.5,2.2,Neukölln
2015-07-15,15,6,25,34,44,0.6,2.8,Neukölln
2015-07-16,19,4,27,33,53,0.7,2.7,Neukölln
2015-07-17,28,11,36,52,76,0.9,3.7,Neukölln
2015-07-18,26,15,33,57,60,1.3,6.5,Neukölln
2015-07-19,16,1,13,15,65,0.5,1.7,Neukölln
2015-07-20,13,1,15,17,67,0.6,2.2,Neukölln
2015-07-21,17,3,23,27,54,0.6,2.6,Neukölln
2015-07-22,18,4,27,33,61,0.9,3.6,Neukölln
2015-07-23,17,2,16,19,72,0.6,1.8,Neukölln
2015-07-24,17,1,14,15,79,0.4,1.1,Neukölln
2015-07-25,21,1,11,13,83,0.4,1.1,Neukölln
2015-07-26,12,1,14,16,63,0.4,1.3,Neukölln
2015-07-27,11,2,17,19,55,0.5,1.4,Neukölln
2015-07-28,11,2,16,19,50,0.5,1.6,Neukölln
2015-07-29,14,2,15,17,65,0.4,1.3,Neukölln
2015-07-30,14,2,12,15,56,0.4,1.4,Neukölln
2015-07-31,15,5,21,30,54,0.5,1.8,Neukölln
2015-08-01,23,3,25,30,70,0.7,2.5,Neukölln
2015-08-02,25,1,17,18,109,0.6,2.3,Neukölln
2015-08-03,34,2,32,34,107,0.7,2.9,Neukölln
2015-08-04,40,1,22,23,109,0.5,2.1,Neukölln
2015-08-05,17,1,16,18,80,0.5,1.9,Neukölln
2015-08-06,29,3,35,40,89,0.8,4.0,Neukölln
2015-08-07,37,1,31,33,116,0.7,3.1,Neukölln
2015-08-08,28,1,13,13,106,0.5,1.9,Neukölln
2015-08-09,14,1,8,9,78,0.5,1.3,Neukölln
2015-08-10,24,1,15,16,101,0.4,1.6,Neukölln
2015-08-11,39,2,19,22,119,0.6,2.4,Neukölln
2015-08-12,23,2,11,14,80,0.6,1.8,Neukölln
2015-08-13,17,1,11,12,75,0.5,1.3,Neukölln
2015-08-14,33,1,13,13,114,0.5,1.2,Neukölln
2015-08-15,33,1,15,17,118,0.5,2.0,Neukölln
2015-08-16,28,1,13,14,90,0.6,2.0,Neukölln
2015-08-17,30,1,18,19,73,0.7,1.5,Neukölln
2015-08-18,24,5,22,30,31,0.8,2.3,Neukölln
2015-08-19,22,5,24,32,27,0.7,2.4,Neukölln
2015-08-20,24,2,19,22,62,0.6,1.8,Neukölln
2015-08-21,32,1,29,30,69,0.7,2.1,Neukölln
2015-08-22,29,1,21,22,82,0.7,1.9,Neukölln
2015-08-23,25,1,11,12,83,0.5,1.1,Neukölln
2015-08-24,28,2,21,24,73,0.5,1.4,Neukölln
2015-08-25,12,1,18,19,52,0.5,2.5,Neukölln
2015-08-26,15,2,27,31,48,0.6,1.9,Neukölln
2015-08-27,18,3,31,35,60,,3.5,Neukölln
2015-08-28,11,4,24,30,44,0.7,2.6,Neukölln
2015-08-29,29,12,40,58,45,1.5,4.0,Neukölln
2015-08-30,22,2,21,23,66,0.8,2.3,Neukölln
2015-08-31,35,25,49,87,60,1.4,7.3,Neukölln
2015-09-01,29,3,27,32,63,0.9,5.3,Neukölln
2015-09-02,12,4,24,30,51,0.6,2.0,Neukölln
2015-09-03,18,7,37,48,34,0.8,2.5,Neukölln
2015-09-04,20,5,32,39,48,0.7,2.5,Neukölln
2015-09-05,10,2,15,18,52,,,Neukölln
2015-09-06,9,2,11,14,53,,,Neukölln
2015-09-07,13,5,20,28,43,,,Neukölln
2015-09-08,10,8,22,35,42,,1.9,Neukölln
2015-09-09,8,4,19,26,40,0.5,1.5,Neukölln
2015-09-10,13,3,20,24,42,0.6,1.5,Neukölln
2015-09-11,22,2,21,23,37,0.9,1.1,Neukölln
2015-09-12,26,1,19,21,52,0.9,1.4,Neukölln
2015-09-13,22,1,16,17,66,0.7,1.2,Neukölln
2015-09-14,23,2,25,28,51,0.6,1.8,Neukölln
2015-09-15,13,4,29,35,40,0.6,1.8,Neukölln
2015-09-16,14,8,33,46,36,0.7,2.1,Neukölln
2015-09-17,14,5,27,34,41,0.7,2.4,Neukölln
2015-09-18,14,3,30,35,42,0.8,1.9,Neukölln
2015-09-19,14,4,27,33,35,0.7,2.0,Neukölln
2015-09-20,8,3,17,21,48,0.6,1.8,Neukölln
2015-09-21,12,5,29,37,39,0.8,2.3,Neukölln
2015-09-22,19,4,36,42,36,0.8,2.0,Neukölln
2015-09-23,12,6,31,40,27,0.7,1.9,Neukölln
2015-09-24,16,9,31,45,24,0.7,1.9,Neukölln
2015-09-25,19,13,43,63,21,1.1,3.7,Neukölln
2015-09-26,18,4,25,31,36,0.8,2.3,Neukölln
2015-09-27,16,4,29,35,31,0.9,2.6,Neukölln
2015-09-28,13,13,31,51,29,0.9,3.0,Neukölln
2015-09-29,14,6,24,33,35,0.7,1.9,Neukölln
2015-09-30,17,4,29,35,38,0.7,1.4,Neukölln
2015-10-01,33,39,52,112,24,1.5,4.7,Neukölln
2015-10-02,41,89,65,201,15,3.3,9.8,Neukölln
2015-10-03,39,8,43,55,37,1.7,3.1,Neukölln
2015-10-04,45,7,45,56,30,1.9,4.3,Neukölln
2015-10-05,47,15,48,70,27,1.3,3.1,Neukölln
2015-10-06,50,1,18,20,59,1.0,1.2,Neukölln
2015-10-07,52,1,17,19,35,1.1,1.3,Neukölln
2015-10-08,23,10,30,44,12,1.2,1.7,Neukölln
2015-10-09,36,5,26,34,26,1.2,1.4,Neukölln
2015-10-10,28,2,16,20,49,1.0,0.9,Neukölln
2015-10-11,24,1,12,14,57,0.8,0.7,Neukölln
2015-10-12,26,2,19,23,47,1.1,1.0,Neukölln
2015-10-13,26,4,20,26,27,1.2,1.3,Neukölln
2015-10-14,32,4,22,28,19,2.0,1.7,Neukölln
2015-10-15,41,3,23,27,22,1.9,1.7,Neukölln
2015-10-16,28,17,34,60,6,2.5,3.2,Neukölln
2015-10-17,19,13,27,46,3,2.4,3.5,Neukölln
2015-10-18,17,19,31,61,8,2.4,4.2,Neukölln
2015-10-19,15,25,28,67,2,2.2,3.9,Neukölln
2015-10-20,15,13,29,49,15,1.6,3.9,Neukölln
2015-10-21,15,8,32,44,16,1.0,2.9,Neukölln
2015-10-22,20,11,32,48,8,1.0,2.0,Neukölln
2015-10-23,27,7,33,44,28,0.8,2.4,Neukölln
2015-10-24,32,25,37,75,14,1.3,2.8,Neukölln
2015-10-25,24,15,33,56,7,1.4,3.4,Neukölln
2015-10-26,23,25,34,72,20,1.2,3.0,Neukölln
2015-10-27,33,7,27,37,21,1.5,1.7,Neukölln
2015-10-28,50,6,29,39,17,2.3,2.0,Neukölln
2015-10-29,50,21,34,66,5,2.4,2.6,Neukölln
2015-10-30,49,40,38,99,1,2.5,3.4,Neukölln
2015-10-31,66,5,33,41,17,3.0,2.6,Neukölln
2015-11-01,43,28,47,90,17,2.5,4.8,Neukölln
2015-11-02,43,71,57,166,3,2.6,6.3,Neukölln
2015-11-03,54,103,57,214,4,3.4,6.7,Neukölln
2015-11-04,50,136,50,259,1,3.5,7.3,Neukölln
2015-11-05,56,100,38,191,1,3.7,6.4,Neukölln
2015-11-06,37,40,37,98,2,2.6,4.1,Neukölln
2015-11-07,14,9,25,38,8,1.0,2.5,Neukölln
2015-11-08,16,6,27,36,37,0.8,2.1,Neukölln
2015-11-09,15,5,26,34,30,0.7,2.0,Neukölln
2015-11-10,12,3,21,26,36,0.6,1.7,Neukölln
2015-11-11,14,6,26,35,24,0.8,2.2,Neukölln
2015-11-12,17,10,34,49,28,0.9,2.4,Neukölln
2015-11-13,18,6,29,39,19,0.8,1.8,Neukölln
2015-11-14,12,3,17,21,51,0.6,1.1,Neukölln
2015-11-15,5,3,14,19,35,0.6,1.3,Neukölln
2015-11-16,14,8,29,42,17,0.8,1.8,Neukölln
2015-11-17,7,4,24,31,23,0.7,1.6,Neukölln
2015-11-18,12,3,19,23,47,,1.1,Neukölln
2015-11-19,14,3,19,24,48,,,Neukölln
2015-11-20,11,5,31,39,36,0.7,1.9,Neukölln
2015-11-21,15,5,31,40,22,0.9,1.9,Neukölln
2015-11-22,9,3,26,30,31,0.9,1.7,Neukölln
2015-11-23,14,16,47,71,9,1.3,3.0,Neukölln
2015-11-24,15,10,35,50,13,1.1,1.8,Neukölln
2015-11-25,13,9,32,46,13,1.1,1.9,Neukölln
2015-11-26,17,21,44,77,5,1.5,3.9,Neukölln
2015-11-27,21,28,41,83,3,1.4,2.7,Neukölln
2015-11-28,16,7,34,45,15,1.3,2.3,Neukölln
2015-11-29,6,1,16,18,42,0.7,1.1,Neukölln
2015-11-30,13,4,23,28,50,0.8,1.4,Neukölln
2015-12-01,15,7,34,45,31,0.9,2.1,Neukölln
2015-12-02,19,6,37,46,24,0.9,2.1,Neukölln
2015-12-03,21,9,43,57,21,0.9,2.2,Neukölln
2015-12-04,17,8,37,49,14,1.1,2.2,Neukölln
2015-12-05,13,2,23,26,31,0.8,1.5,Neukölln
2015-12-06,10,1,17,18,45,0.7,1.3,Neukölln
2015-12-07,17,18,39,66,14,1.2,3.2,Neukölln
2015-12-08,29,30,35,80,3,1.6,2.5,Neukölln
2015-12-09,21,13,39,58,11,1.5,2.9,Neukölln
2015-12-10,21,11,38,54,12,1.1,2.1,Neukölln
2015-12-11,12,7,32,43,16,1.0,1.8,Neukölln
2015-12-12,16,4,27,33,34,0.8,1.6,Neukölln
2015-12-13,8,3,25,30,34,0.8,1.6,Neukölln
2015-12-14,16,34,44,96,5,1.2,2.3,Neukölln
2015-12-15,25,30,34,80,3,1.7,3.3,Neukölln
2015-12-16,41,24,29,65,2,2.2,2.7,Neukölln
2015-12-17,14,14,36,58,5,1.2,2.8,Neukölln
2015-12-18,21,9,37,51,9,1.0,2.6,Neukölln
2015-12-19,20,8,31,44,11,1.1,2.2,Neukölln
2015-12-20,23,6,28,38,10,1.1,1.7,Neukölln
2015-12-21,17,9,29,42,19,1.0,2.0,Neukölln
2015-12-22,8,3,20,25,43,0.7,1.4,Neukölln
2015-12-23,,3,26,31,,,1.6,Neukölln
2015-12-24,14,6,29,38,14,1.0,1.6,Neukölln
2015-12-25,13,1,18,19,49,0.7,1.1,Neukölln
2015-12-26,8,1,13,14,46,0.6,0.8,Neukölln
2015-12-27,18,1,17,18,36,0.7,1.0,Neukölln
2015-12-28,26,2,18,22,40,0.7,1.0,Neukölln
2015-12-29,17,2,15,18,35,1.0,0.9,Neukölln
2015-12-30,26,4,24,30,23,1.6,1.3,Neukölln
2015-12-31,42,4,27,34,26,1.6,1.4,Neukölln
2016-01-01,136,17,30,55,4,1.7,1.7,Neukölln
2016-01-02,42,3,17,21,24,2.4,1.3,Neukölln
2016-01-03,41,3,12,17,31,2.4,1.3,Neukölln
2016-01-04,66,6,25,35,16,3.8,1.9,Neukölln
2016-01-05,84,10,30,45,5,4.9,2.7,Neukölln
2016-01-06,87,12,32,50,5,5.2,3.2,Neukölln
2016-01-07,92,9,27,41,6,5.2,2.5,Neukölln
2016-01-08,32,7,34,44,26,2.0,2.1,Neukölln
2016-01-09,22,16,46,70,7,1.6,2.2,Neukölln
2016-01-10,35,26,36,76,6,3.1,3.2,Neukölln
2016-01-11,18,26,42,82,2,1.8,2.7,Neukölln
2016-01-12,17,28,43,86,3,2.5,3.7,Neukölln
2016-01-13,10,8,33,45,17,1.3,2.2,Neukölln
2016-01-14,15,12,39,58,14,1.4,1.9,Neukölln
2016-01-15,33,14,33,54,7,2.1,2.3,Neukölln
2016-01-16,18,3,25,30,30,1.2,1.5,Neukölln
2016-01-17,21,4,25,31,23,1.5,1.6,Neukölln
2016-01-18,16,22,45,78,18,1.5,2.4,Neukölln
2016-01-19,27,21,47,78,7,1.9,2.2,Neukölln
2016-01-20,22,11,43,61,21,1.5,2.7,Neukölln
2016-01-21,14,15,47,70,29,1.4,3.0,Neukölln
2016-01-22,30,29,54,99,12,1.9,2.3,Neukölln
2016-01-23,29,19,46,75,12,2.1,2.8,Neukölln
2016-01-24,21,8,35,48,13,1.4,2.3,Neukölln
2016-01-25,19,24,32,68,5,1.5,3.3,Neukölln
2016-01-26,18,10,33,48,15,1.2,2.2,Neukölln
2016-01-27,12,3,24,29,38,0.9,1.4,Neukölln
2016-01-28,18,5,30,37,43,0.9,1.5,Neukölln
2016-01-29,16,5,31,39,30,0.9,1.5,Neukölln
2016-01-30,7,1,14,16,56,0.7,1.0,Neukölln
2016-01-31,14,2,17,19,53,0.8,1.3,Neukölln
2016-02-01,11,6,28,38,34,0.9,1.7,Neukölln
2016-02-02,13,2,17,21,63,0.6,1.1,Neukölln
2016-02-03,18,3,20,24,57,0.8,1.1,Neukölln
2016-02-04,12,4,26,33,35,1.1,1.5,Neukölln
2016-02-05,11,6,32,41,24,1.1,1.7,Neukölln
2016-02-06,15,4,31,37,20,1.1,1.6,Neukölln
2016-02-07,19,3,28,32,28,1.4,1.6,Neukölln
