,date,PM10,NOx,NO_2,NOx,O_3
263,18.07.2010,11,1,4,5,69
264,19.07.2010,15,3,12,17,64
265,20.07.2010,18,2,9,12,76
266,21.07.2010,27,1,14,16,84
267,22.07.2010,28,1,11,13,105
268,23.07.2010,13,1,5,6,52
269,24.07.2010,16,1,4,5,62
270,25.07.2010,12,0,4,5,63
271,26.07.2010,14,2,12,16,63
272,27.07.2010,,2,12,14,73
273,28.07.2010,19,1,10,11,65
274,29.07.2010,11,1,5,6,57
275,30.07.2010,11,1,9,10,47
276,31.07.2010,19,4,15,20,57
277,01.08.2010,20,1,12,13,83
278,02.08.2010,21,1,10,11,66
279,03.08.2010,14,1,8,9,36
280,04.08.2010,17,2,15,19,48
281,05.08.2010,21,1,14,16,67
282,06.08.2010,24,1,7,7,67
283,07.08.2010,16,0,5,6,56
284,08.08.2010,17,1,9,10,54
285,09.08.2010,20,2,12,15,51
286,10.08.2010,18,2,15,17,55
287,11.08.2010,24,2,21,24,58
288,12.08.2010,23,2,16,19,55
289,13.08.2010,16,0,8,9,53
290,14.08.2010,15,0,6,6,48
291,15.08.2010,22,0,7,7,48
292,16.08.2010,13,1,13,14,53
293,17.08.2010,11,2,14,17,35
294,18.08.2010,8,1,12,13,48
295,19.08.2010,13,0,9,10,53
296,20.08.2010,19,5,17,25,49
297,21.08.2010,24,1,14,16,78
298,22.08.2010,25,1,11,13,58
299,23.08.2010,16,2,18,21,42
300,24.08.2010,13,1,9,10,64
301,25.08.2010,14,1,8,9,58
302,26.08.2010,18,5,25,34,20
303,27.08.2010,10,1,9,11,35
304,28.08.2010,11,0,4,5,51
305,29.08.2010,10,1,8,9,41
306,30.08.2010,7,1,8,10,46
307,31.08.2010,7,0,3,3,54
308,01.09.2010,8,1,7,8,36
309,02.09.2010,9,1,8,9,29
310,03.09.2010,10,5,7,15,30
311,04.09.2010,13,2,7,10,32
312,05.09.2010,9,0,4,5,45
313,06.09.2010,9,1,7,9,42
314,07.09.2010,11,1,7,8,43
315,08.09.2010,19,1,8,9,60
316,09.09.2010,19,2,17,20,29
317,10.09.2010,18,3,15,20,28
318,11.09.2010,22,10,14,29,30
319,12.09.2010,23,1,11,12,46
320,13.09.2010,13,1,9,10,35
321,14.09.2010,11,2,22,24,18
322,15.09.2010,13,0,12,13,52
323,16.09.2010,11,1,11,12,58
324,17.09.2010,10,1,11,13,47
325,18.09.2010,11,0,6,7,51
326,19.09.2010,12,1,10,11,46
327,20.09.2010,17,2,24,27,39
328,21.09.2010,17,1,9,11,38
329,22.09.2010,16,7,12,21,36
330,23.09.2010,29,2,20,24,48
331,24.09.2010,33,2,20,23,50
332,25.09.2010,23,1,11,12,27
333,26.09.2010,7,0,7,8,25
334,27.09.2010,20,1,7,8,38
335,28.09.2010,10,0,3,3,44
336,29.09.2010,13,1,3,4,45
337,30.09.2010,13,5,8,16,22
338,01.10.2010,23,11,11,28,23
339,02.10.2010,30,2,12,15,34
340,03.10.2010,33,1,10,12,44
341,04.10.2010,28,1,13,15,51
342,05.10.2010,29,1,16,18,33
343,06.10.2010,25,2,19,22,23
344,07.10.2010,40,3,20,24,24
345,08.10.2010,43,1,13,15,40
346,09.10.2010,43,1,13,15,43
347,10.10.2010,30,1,8,9,44
348,11.10.2010,25,3,12,16,23
349,12.10.2010,,4,21,27,
350,13.10.2010,20,11,17,34,22
351,14.10.2010,23,19,21,50,23
352,15.10.2010,11,5,16,24,25
353,16.10.2010,13,2,10,12,29
354,17.10.2010,13,0,7,7,35
355,18.10.2010,20,7,28,39,19
356,19.10.2010,25,3,34,39,10
357,20.10.2010,12,1,12,13,39
358,21.10.2010,9,1,14,15,40
359,22.10.2010,15,1,28,30,25
360,23.10.2010,19,3,23,28,30
361,24.10.2010,11,0,7,7,55
362,25.10.2010,10,1,13,16,38
363,26.10.2010,10,4,18,25,32
364,27.10.2010,20,16,33,57,15
365,28.10.2010,16,4,34,41,17
366,29.10.2010,23,8,33,45,20
367,30.10.2010,29,2,24,26,32
368,31.10.2010,48,3,21,25,21
369,01.11.2010,51,8,18,30,6
370,02.11.2010,47,2,23,26,15
371,03.11.2010,16,1,15,17,33
372,04.11.2010,8,1,14,15,37
373,05.11.2010,9,0,10,11,45
374,06.11.2010,5,0,7,7,56
375,07.11.2010,11,2,13,15,21
376,08.11.2010,12,1,8,9,36
377,09.11.2010,16,3,23,28,16
378,10.11.2010,25,26,24,64,4
379,11.11.2010,12,1,18,19,33
380,12.11.2010,14,0,15,15,51
381,13.11.2010,5,0,16,17,45
382,14.11.2010,7,0,13,14,42
383,15.11.2010,10,0,11,12,47
384,16.11.2010,9,1,7,8,53
385,17.11.2010,4,2,7,11,50
386,18.11.2010,11,2,12,15,11
387,19.11.2010,15,20,27,57,3
388,20.11.2010,26,15,28,51,3
389,21.11.2010,28,4,12,18,18
390,22.11.2010,17,1,9,11,17
391,23.11.2010,4,1,8,9,27
392,24.11.2010,4,0,10,11,44
393,25.11.2010,10,4,21,28,37
394,26.11.2010,15,4,19,26,30
395,27.11.2010,15,5,22,30,19
396,28.11.2010,30,2,16,19,23
397,29.11.2010,25,1,8,9,32
398,30.11.2010,11,1,7,9,50
399,01.12.2010,23,1,7,8,46
400,02.12.2010,23,4,23,29,35
401,03.12.2010,25,11,44,60,15
402,04.12.2010,30,15,47,70,10
403,05.12.2010,18,1,24,25,39
404,06.12.2010,23,29,44,88,15
405,07.12.2010,27,7,19,31,30
406,08.12.2010,38,1,12,13,44
407,09.12.2010,11,0,12,12,53
408,10.12.2010,13,1,26,28,40
409,11.12.2010,8,0,12,12,55
410,12.12.2010,7,0,1,1,64
411,13.12.2010,5,0,9,9,55
412,14.12.2010,,0,5,5,
413,15.12.2010,11,1,14,16,39
414,16.12.2010,21,10,36,51,18
415,17.12.2010,19,5,33,40,22
416,18.12.2010,28,8,34,47,26
417,19.12.2010,45,13,41,60,12
418,20.12.2010,35,1,24,26,25
419,21.12.2010,39,23,44,79,5
420,22.12.2010,71,4,38,43,9
421,23.12.2010,75,4,27,32,10
422,24.12.2010,15,1,5,6,34
423,25.12.2010,10,1,4,5,46
424,26.12.2010,16,1,16,17,48
425,27.12.2010,20,3,36,41,19
426,28.12.2010,33,1,14,15,38
427,29.12.2010,46,19,39,69,19
428,30.12.2010,46,22,45,78,14
429,31.12.2010,17,1,22,24,37
430,01.01.2011,20,0,6,6,67
431,02.01.2011,17,0,8,8,61
432,03.01.2011,13,1,14,15,53
433,04.01.2011,,8,49,62,17
434,05.01.2011,,4,36,42,29
435,06.01.2011,22,1,29,31,33
436,07.01.2011,10,2,26,29,28
437,08.01.2011,12,3,28,33,20
438,09.01.2011,11,1,16,17,40
439,10.01.2011,19,13,37,57,25
440,11.01.2011,35,4,29,35,12
441,12.01.2011,12,5,25,33,33
442,13.01.2011,8,10,31,45,7
443,14.01.2011,7,1,19,20,27
444,15.01.2011,12,0,12,12,50
445,16.01.2011,9,1,18,19,42
446,17.01.2011,22,29,42,86,
447,18.01.2011,12,3,29,33,
448,19.01.2011,10,1,17,18,
449,20.01.2011,7,1,5,6,
450,21.01.2011,9,0,11,11,
451,22.01.2011,14,1,17,19,
452,23.01.2011,6,0,4,4,
453,24.01.2011,11,2,19,23,
454,25.01.2011,9,1,18,19,
455,26.01.2011,8,0,9,9,
456,27.01.2011,7,0,6,6,61
457,28.01.2011,26,4,22,28,22
458,29.01.2011,53,8,29,41,15
459,30.01.2011,52,12,25,43,18
460,31.01.2011,35,13,41,62,11
461,01.02.2011,54,4,25,31,25
462,02.02.2011,45,16,45,69,10
463,03.02.2011,20,2,32,34,18
464,04.02.2011,12,1,19,20,39
465,05.02.2011,11,0,5,5,66
466,06.02.2011,6,0,5,5,67
467,07.02.2011,15,1,17,18,54
468,08.02.2011,12,0,7,8,70
469,09.02.2011,19,2,18,21,44
470,10.02.2011,25,4,39,46,18
471,11.02.2011,12,1,16,17,49
472,12.02.2011,11,0,8,9,65
473,13.02.2011,18,0,7,8,60
474,14.02.2011,22,1,9,9,58
475,15.02.2011,34,1,12,13,57
476,16.02.2011,43,1,16,17,42
477,17.02.2011,54,1,16,19,34
478,18.02.2011,49,1,13,14,35
479,19.02.2011,26,1,6,6,61
480,20.02.2011,13,0,5,5,71
481,21.02.2011,22,0,6,7,73
482,22.02.2011,46,1,15,16,64
483,23.02.2011,50,2,22,25,48
484,24.02.2011,71,2,19,21,68
485,25.02.2011,89,2,25,28,68
486,26.02.2011,83,2,19,21,72
487,27.02.2011,81,1,13,14,66
488,28.02.2011,85,3,24,29,47
489,01.03.2011,68,1,18,20,59
490,02.03.2011,64,1,17,19,62
491,03.03.2011,65,1,19,21,73
492,04.03.2011,70,4,29,35,51
493,05.03.2011,35,1,20,21,47
494,06.03.2011,13,1,5,6,68
495,07.03.2011,18,5,24,32,43
496,08.03.2011,23,2,24,28,53
497,09.03.2011,36,3,29,34,52
498,10.03.2011,18,2,18,21,55
499,11.03.2011,15,1,10,11,67
500,12.03.2011,28,5,28,35,38
501,13.03.2011,38,3,27,31,46
502,14.03.2011,37,6,30,39,30
503,15.03.2011,54,1,13,14,46
504,16.03.2011,31,1,7,9,58
505,17.03.2011,25,1,8,10,51
506,18.03.2011,17,1,10,12,41
507,19.03.2011,11,0,5,6,69
508,20.03.2011,15,1,12,13,46
509,21.03.2011,22,19,25,53,41
510,22.03.2011,21,5,27,34,47
511,23.03.2011,17,1,9,10,64
512,24.03.2011,16,1,10,10,70
513,25.03.2011,11,1,12,13,63
514,26.03.2011,10,0,6,6,79
515,27.03.2011,17,1,11,13,60
516,28.03.2011,23,9,26,39,45
517,29.03.2011,17,2,23,25,57
518,30.03.2011,30,8,32,45,48
519,31.03.2011,20,4,22,29,51
520,01.04.2011,17,1,7,8,67
521,02.04.2011,20,3,16,22,37
522,03.04.2011,22,1,10,11,58
523,04.04.2011,9,1,7,8,63
524,05.04.2011,12,2,14,18,61
525,06.04.2011,15,1,13,14,45
526,07.04.2011,18,1,11,13,61
527,08.04.2011,40,0,3,4,82
528,09.04.2011,22,1,3,4,85
