,date,PM10,NOx,NO_2,NOx,O_3,Benzolµg/m³,Toluolµg/m³
38,05.12.2009,25,11,36,52,10,1.6,2.7
39,06.12.2009,19,10,33,48,8,1.3,2.4
40,07.12.2009,22,37,52,108,9,1.6,3.7
41,08.12.2009,32,19,33,63,1,2.4,4.1
42,09.12.2009,36,35,30,83,0,,4.0
43,10.12.2009,22,20,42,73,2,1.4,3.0
44,11.12.2009,30,7,25,35,10,2.0,2.5
45,12.12.2009,24,11,25,42,9,1.8,2.7
46,13.12.2009,19,1,14,16,34,1.2,1.3
47,14.12.2009,22,15,29,52,11,1.3,2.3
48,15.12.2009,21,8,37,49,7,1.3,2.4
49,16.12.2009,27,19,45,74,11,1.6,2.9
50,17.12.2009,29,7,26,37,22,1.5,2.2
51,18.12.2009,25,3,19,23,31,1.7,2.5
52,19.12.2009,42,8,27,39,18,2.6,2.9
53,20.12.2009,53,10,29,44,10,2.8,2.7
54,21.12.2009,24,16,45,69,11,1.6,2.6
55,22.12.2009,29,12,49,68,13,2.2,3.1
56,23.12.2009,26,38,58,116,6,1.8,4.3
57,24.12.2009,33,2,23,26,18,1.8,2.1
58,25.12.2009,22,6,20,29,16,2.8,2.5
59,26.12.2009,10,2,14,17,48,0.7,1.1
60,27.12.2009,14,6,32,42,24,1.2,2.0
61,28.12.2009,12,5,29,36,27,0.9,1.5
62,29.12.2009,17,6,28,37,23,1.1,1.8
63,30.12.2009,42,4,25,31,21,2.5,2.5
64,31.12.2009,21,1,15,16,51,1.3,1.4
65,01.01.2010,39,1,16,18,47,1.2,1.2
66,02.01.2010,9,2,17,21,43,0.9,1.1
67,03.01.2010,17,2,22,25,22,1.4,1.7
68,04.01.2010,19,10,26,41,16,1.5,2.0
69,05.01.2010,32,21,47,78,7,2.3,3.2
70,06.01.2010,112,33,57,109,,6.4,5.8
71,07.01.2010,47,21,50,82,,2.7,3.0
72,08.01.2010,43,28,44,87,,2.5,3.4
73,09.01.2010,21,1,12,12,,1.8,1.5
74,10.01.2010,18,1,12,14,,2.0,1.5
75,11.01.2010,21,5,30,37,,2.0,2.3
76,12.01.2010,56,11,38,55,,3.3,3.5
77,13.01.2010,48,5,27,34,,2.9,3.0
78,14.01.2010,58,9,35,48,,3.1,3.4
79,15.01.2010,85,13,40,59,,4.1,4.1
80,16.01.2010,69,5,30,38,19,3.7,3.5
81,17.01.2010,54,,,,19,3.4,2.7
82,18.01.2010,49,,,,11,2.8,2.7
83,19.01.2010,40,,,,3,3.1,4.6
84,20.01.2010,71,,,,21,3.5,3.3
85,21.01.2010,48,3,27,31,36,2.5,2.6
86,22.01.2010,61,4,31,37,29,2.9,3.2
87,23.01.2010,80,3,29,34,36,3.7,3.0
88,24.01.2010,89,3,29,33,43,4.2,3.0
89,25.01.2010,87,4,40,47,37,4.5,3.6
90,26.01.2010,117,27,62,103,17,5.9,5.8
91,27.01.2010,95,49,77,151,13,4.8,5.4
92,28.01.2010,15,3,26,32,52,0.9,1.4
93,29.01.2010,14,8,36,49,35,1.1,1.9
94,30.01.2010,13,2,17,20,54,1.2,1.3
95,31.01.2010,,6,29,38,40,1.5,1.7
96,01.02.2010,19,10,41,56,27,1.4,2.2
97,02.02.2010,,11,32,49,35,1.4,1.9
98,03.02.2010,10,6,31,39,41,1.0,1.4
99,04.02.2010,24,20,58,88,11,1.9,3.4
100,05.02.2010,46,4,37,42,43,2.7,2.8
101,06.02.2010,,0,26,26,,,
102,07.02.2010,,,,,,,
103,08.02.2010,,2,22,26,,,2.2
104,09.02.2010,54,3,30,34,58,2.4,2.3
105,10.02.2010,114,2,34,37,54,4.2,3.0
106,11.02.2010,53,1,21,23,64,2.1,1.6
107,12.02.2010,14,1,20,22,56,1.3,1.3
108,13.02.2010,10,2,17,21,50,1.1,1.2
109,14.02.2010,15,4,25,30,42,1.2,1.5
110,15.02.2010,26,16,55,80,19,1.8,2.8
111,16.02.2010,43,10,49,64,25,2.3,2.8
112,17.02.2010,88,6,46,54,44,3.8,3.3
113,18.02.2010,93,14,65,87,22,4.7,4.3
114,19.02.2010,51,31,65,112,9,3.3,4.9
115,20.02.2010,20,3,23,28,54,1.2,1.5
116,21.02.2010,23,7,31,41,42,1.4,2.2
117,22.02.2010,20,11,44,61,36,1.4,2.1
118,23.02.2010,16,5,30,37,41,1.1,1.6
119,24.02.2010,25,4,30,36,33,1.8,2.4
120,25.02.2010,,15,47,70,21,2.0,3.4
121,26.02.2010,22,12,48,66,27,1.6,3.1
122,27.02.2010,,3,22,27,53,0.9,1.4
123,28.02.2010,8,2,22,26,54,1.0,1.4
124,01.03.2010,4,3,19,23,53,0.9,1.0
125,02.03.2010,13,3,27,32,49,0.8,1.2
126,03.03.2010,13,7,33,44,43,1.0,1.7
127,04.03.2010,17,7,33,43,43,1.0,1.7
128,05.03.2010,14,4,26,31,55,0.9,1.5
129,06.03.2010,16,1,16,17,61,1.0,1.0
130,07.03.2010,12,2,18,20,60,0.8,1.0
131,08.03.2010,18,1,22,24,59,0.9,1.3
132,09.03.2010,48,36,60,115,34,2.3,4.8
133,10.03.2010,60,11,38,54,42,1.9,2.9
134,11.03.2010,65,4,26,33,38,1.5,1.7
135,12.03.2010,25,10,30,46,32,0.9,1.8
136,13.03.2010,12,2,12,14,64,0.6,0.7
137,14.03.2010,7,2,11,14,72,0.5,0.7
138,15.03.2010,12,4,25,31,55,0.7,1.2
139,16.03.2010,13,2,20,24,58,0.7,1.1
140,17.03.2010,33,9,40,54,29,0.8,2.0
141,18.03.2010,41,9,43,57,44,0.9,2.3
142,19.03.2010,40,9,46,60,43,1.1,2.6
143,20.03.2010,23,4,27,33,46,0.8,1.9
144,21.03.2010,15,2,15,18,56,0.6,1.1
145,22.03.2010,,5,32,39,52,0.7,1.7
146,23.03.2010,,13,43,63,36,1.0,3.0
147,24.03.2010,37,17,45,72,44,1.3,4.2
148,25.03.2010,47,11,51,68,43,1.5,3.6
149,26.03.2010,41,8,42,55,46,1.1,3.0
150,27.03.2010,13,2,17,21,62,0.6,1.1
151,28.03.2010,17,2,17,20,57,0.6,1.2
152,29.03.2010,18,11,42,59,38,0.9,2.9
153,30.03.2010,27,6,32,41,34,0.9,2.5
154,31.03.2010,23,5,29,36,53,0.8,1.7
155,01.04.2010,16,6,23,32,59,0.7,1.4
156,02.04.2010,18,2,24,27,60,0.8,1.5
157,03.04.2010,31,3,28,32,57,1.1,1.6
158,04.04.2010,21,2,17,20,64,1.0,1.3
159,05.04.2010,21,6,22,31,59,0.9,1.3
160,06.04.2010,31,20,51,81,40,1.2,3.4
161,07.04.2010,25,3,27,32,73,0.8,1.3
162,08.04.2010,35,5,29,36,65,1.0,1.7
163,09.04.2010,25,4,21,27,53,0.6,1.2
164,10.04.2010,13,1,10,11,66,0.5,0.7
165,11.04.2010,12,1,8,9,63,0.7,0.6
166,12.04.2010,33,2,15,17,70,0.8,1.0
167,13.04.2010,29,1,15,17,84,0.7,1.0
168,14.04.2010,26,1,16,17,72,0.7,1.0
169,15.04.2010,13,3,21,25,66,0.6,1.4
170,16.04.2010,18,4,29,36,58,0.7,1.6
171,17.04.2010,23,2,21,25,66,0.5,1.3
172,18.04.2010,31,15,49,73,59,1.4,5.3
173,19.04.2010,27,3,21,25,76,0.7,1.7
174,20.04.2010,26,6,32,41,62,0.7,1.7
175,21.04.2010,15,3,16,20,66,0.4,0.9
176,22.04.2010,14,4,23,29,62,0.5,1.3
177,23.04.2010,22,15,43,65,50,0.9,3.0
178,24.04.2010,27,21,39,71,58,1.2,4.1
179,25.04.2010,26,1,17,19,87,0.7,1.3
180,26.04.2010,31,4,32,38,62,0.8,1.7
181,27.04.2010,16,4,26,32,51,0.5,1.5
182,28.04.2010,25,11,47,64,45,0.9,4.0
183,29.04.2010,36,6,53,62,67,0.8,3.7
184,30.04.2010,32,3,32,37,74,0.6,2.3
185,01.05.2010,21,2,18,22,61,0.4,1.3
186,02.05.2010,14,1,13,15,63,0.4,1.1
187,03.05.2010,12,1,17,19,51,0.6,1.5
188,04.05.2010,12,3,26,31,54,0.5,1.7
189,05.05.2010,12,3,17,21,62,0.4,1.1
190,06.05.2010,12,1,15,15,62,0.6,1.3
191,07.05.2010,14,14,32,54,16,1.3,3.3
192,08.05.2010,13,10,29,43,26,0.9,2.4
193,09.05.2010,25,13,35,55,43,1.3,4.1
194,10.05.2010,22,2,20,23,38,0.6,1.7
195,11.05.2010,20,1,22,24,56,0.6,1.9
196,12.05.2010,23,6,27,37,40,0.8,2.1
197,13.05.2010,18,3,20,24,38,0.6,1.3
198,14.05.2010,12,2,19,21,49,0.5,1.1
199,15.05.2010,11,1,17,18,54,0.4,0.9
200,16.05.2010,16,1,14,16,69,0.3,0.6
201,17.05.2010,17,1,17,19,71,0.3,0.9
202,18.05.2010,17,2,14,17,62,0.4,1.1
203,19.05.2010,22,2,18,21,45,0.5,1.3
204,20.05.2010,28,3,20,25,34,0.7,1.8
205,21.05.2010,24,5,30,38,42,0.6,1.8
206,22.05.2010,29,6,25,33,41,0.7,2.3
207,23.05.2010,17,1,10,11,59,0.5,2.5
208,24.05.2010,17,1,12,14,57,0.3,1.0
209,25.05.2010,15,1,16,17,69,0.3,0.9
210,26.05.2010,15,2,22,25,54,0.4,1.3
211,27.05.2010,18,4,22,27,52,0.6,2.3
212,28.05.2010,25,7,35,45,40,0.7,2.7
213,29.05.2010,21,2,25,29,62,0.5,2.1
214,30.05.2010,22,2,21,23,63,0.5,1.7
215,31.05.2010,8,3,18,23,48,0.4,1.4
216,01.06.2010,7,1,14,16,54,0.3,1.3
217,02.06.2010,14,1,11,13,62,0.3,1.1
218,03.06.2010,11,1,10,11,79,0.2,0.8
219,04.06.2010,16,2,21,24,59,0.3,1.3
220,05.06.2010,,9,36,51,59,0.8,4.1
221,06.06.2010,,7,30,40,88,1.2,5.4
222,07.06.2010,25,2,24,27,75,0.5,2.1
223,08.06.2010,19,2,29,32,77,0.5,2.1
224,09.06.2010,26,3,38,42,70,0.7,3.8
225,10.06.2010,37,3,38,43,,0.9,4.4
226,11.06.2010,27,2,23,26,,0.6,3.3
227,12.06.2010,12,1,15,17,59,0.3,1.0
228,13.06.2010,15,3,16,20,58,0.3,1.4
229,14.06.2010,16,3,23,27,52,0.5,2.4
230,15.06.2010,18,3,24,29,52,0.4,2.1
231,16.06.2010,12,1,14,16,63,0.3,1.4
232,17.06.2010,15,2,17,20,67,0.4,1.9
233,18.06.2010,20,3,21,25,59,0.4,1.8
234,19.06.2010,11,1,10,12,57,0.2,0.6
235,20.06.2010,12,1,13,16,48,0.2,0.8
236,21.06.2010,14,2,21,24,44,0.3,1.4
237,22.06.2010,11,2,19,23,54,0.3,1.6
238,23.06.2010,17,3,25,29,48,0.4,2.6
239,24.06.2010,20,12,29,47,54,0.8,4.2
240,25.06.2010,25,5,28,35,75,0.6,3.3
241,26.06.2010,13,1,6,7,74,0.2,0.8
242,27.06.2010,12,0,11,11,72,0.3,1.1
243,28.06.2010,18,3,23,27,74,0.4,2.4
244,29.06.2010,26,2,29,33,97,0.5,2.7
245,30.06.2010,23,1,17,18,92,0.3,1.5
246,01.07.2010,25,1,22,23,87,0.4,2.0
247,02.07.2010,28,2,31,34,108,0.5,2.6
248,03.07.2010,26,1,15,16,115,0.4,2.4
249,04.07.2010,26,1,12,13,117,0.3,1.3
250,05.07.2010,24,1,18,20,93,0.3,1.8
251,06.07.2010,15,2,14,17,57,0.2,1.0
252,07.07.2010,11,3,18,23,50,0.4,1.6
253,08.07.2010,21,4,39,46,77,0.5,2.7
254,09.07.2010,29,2,41,44,96,0.6,3.1
255,10.07.2010,32,0,21,22,129,0.4,2.3
256,11.07.2010,28,1,15,16,115,0.3,1.7
257,12.07.2010,32,1,28,29,102,0.6,3.0
258,13.07.2010,22,1,21,22,96,0.4,1.7
259,14.07.2010,27,1,27,28,106,0.4,2.6
260,15.07.2010,21,2,21,23,87,0.3,1.5
261,16.07.2010,26,2,32,34,95,0.4,2.3
262,17.07.2010,24,1,19,20,88,0.3,1.8
263,18.07.2010,10,0,10,10,68,0.3,1.3
264,19.07.2010,18,2,29,32,66,0.5,3.4
265,20.07.2010,21,1,20,22,82,0.3,1.9
266,21.07.2010,29,2,35,38,81,0.6,3.4
267,22.07.2010,31,1,25,26,101,0.5,2.6
268,23.07.2010,14,1,14,15,55,0.4,1.7
269,24.07.2010,13,1,10,12,60,0.2,0.9
270,25.07.2010,12,1,10,11,62,0.2,0.7
271,26.07.2010,16,3,29,33,60,0.3,1.9
272,27.07.2010,21,4,29,35,67,0.4,2.2
273,28.07.2010,21,2,23,26,62,0.3,1.4
274,29.07.2010,12,2,19,22,48,0.3,1.0
275,30.07.2010,14,5,24,31,38,0.3,1.5
276,31.07.2010,16,2,27,31,57,0.5,2.6
277,01.08.2010,19,1,23,24,85,0.4,2.0
278,02.08.2010,20,2,25,29,67,0.4,2.1
279,03.08.2010,16,3,24,28,37,0.4,2.1
280,04.08.2010,17,9,28,42,45,0.4,2.1
281,05.08.2010,23,5,33,40,62,0.6,2.6
282,06.08.2010,22,2,20,23,57,0.4,1.8
283,07.08.2010,14,1,11,12,65,0.3,1.3
284,08.08.2010,16,1,18,20,69,0.4,1.7
285,09.08.2010,20,4,26,32,52,0.5,2.1
286,10.08.2010,16,4,30,36,56,0.5,2.3
287,11.08.2010,24,4,40,47,50,0.7,3.2
288,12.08.2010,24,3,35,39,50,0.7,3.1
289,13.08.2010,15,1,15,17,53,0.3,1.4
290,14.08.2010,12,2,14,16,44,0.4,1.5
291,15.08.2010,19,1,14,16,55,0.5,2.1
292,16.08.2010,13,4,24,31,56,0.5,1.9
293,17.08.2010,11,5,24,32,32,0.5,2.1
294,18.08.2010,11,4,27,34,38,0.5,1.7
295,19.08.2010,12,4,25,30,44,0.4,1.8
296,20.08.2010,22,12,45,63,43,0.9,4.5
297,21.08.2010,27,3,39,43,71,0.9,4.2
298,22.08.2010,28,2,24,27,60,0.9,3.9
299,23.08.2010,16,6,28,37,41,0.6,2.8
300,24.08.2010,13,3,19,24,55,0.3,1.3
301,25.08.2010,17,4,21,28,44,0.4,1.4
302,26.08.2010,21,10,40,55,16,0.8,3.4
303,27.08.2010,11,5,18,26,29,0.5,2.1
304,28.08.2010,11,2,14,16,44,0.3,0.9
305,29.08.2010,11,4,16,22,38,0.4,1.3
306,30.08.2010,7,3,19,23,41,0.3,1.2
307,31.08.2010,7,1,13,15,48,0.3,1.0
308,01.09.2010,9,4,20,26,30,0.3,1.2
309,02.09.2010,10,8,26,38,21,0.6,2.2
310,03.09.2010,10,20,33,63,22,0.8,3.0
311,04.09.2010,17,24,34,71,22,1.4,5.4
312,05.09.2010,11,1,13,14,43,0.5,1.3
313,06.09.2010,12,5,27,35,33,0.7,2.3
314,07.09.2010,13,3,20,25,39,0.8,2.9
315,08.09.2010,20,4,20,26,49,0.8,2.1
316,09.09.2010,24,11,34,51,19,,2.6
317,10.09.2010,20,15,36,60,24,,6.2
318,11.09.2010,22,9,36,50,31,1.1,4.5
319,12.09.2010,23,2,31,34,45,0.9,3.1
320,13.09.2010,15,5,29,37,27,0.7,2.9
321,14.09.2010,13,10,30,46,16,0.6,2.2
322,15.09.2010,15,5,26,33,39,0.5,1.7
323,16.09.2010,13,4,25,30,49,0.4,1.3
324,17.09.2010,13,7,22,33,39,0.4,1.3
325,18.09.2010,12,2,15,19,44,0.4,1.0
326,19.09.2010,13,2,18,20,46,0.5,1.1
327,20.09.2010,20,9,37,51,33,0.7,2.4
328,21.09.2010,18,10,31,47,29,0.8,3.0
329,22.09.2010,21,14,43,65,25,1.2,5.0
330,23.09.2010,30,10,45,61,37,1.0,3.2
331,24.09.2010,36,6,43,53,40,1.0,3.3
332,25.09.2010,,5,24,31,27,0.7,2.5
333,26.09.2010,,2,16,19,27,0.4,1.1
334,27.09.2010,,5,17,24,29,0.8,1.8
335,28.09.2010,,1,14,16,33,0.4,1.2
336,29.09.2010,,2,17,19,34,0.4,1.3
337,30.09.2010,,46,36,106,18,1.9,7.1
338,01.10.2010,24,18,29,56,16,1.4,4.4
339,02.10.2010,30,5,24,32,21,1.2,1.9
340,03.10.2010,32,2,22,25,34,1.3,1.7
341,04.10.2010,31,4,28,34,39,1.1,1.7
342,05.10.2010,32,6,31,41,20,1.4,2.5
343,06.10.2010,22,7,28,39,17,1.3,2.5
344,07.10.2010,38,9,32,46,14,1.6,3.1
345,08.10.2010,46,7,29,39,26,1.7,3.7
346,09.10.2010,45,2,25,29,36,1.6,2.5
347,10.10.2010,37,3,30,34,40,1.6,2.8
348,11.10.2010,30,16,36,61,16,1.6,4.6
349,12.10.2010,31,57,50,137,7,2.1,6.4
350,13.10.2010,27,39,47,107,13,2.1,6.8
351,14.10.2010,28,45,44,112,14,1.5,5.2
352,15.10.2010,13,13,33,53,15,0.9,3.0
353,16.10.2010,15,4,19,25,20,1.1,2.1
354,17.10.2010,17,1,16,18,29,0.9,1.4
355,18.10.2010,27,45,54,124,12,1.9,5.9
356,19.10.2010,29,19,35,64,8,1.2,2.8
357,20.10.2010,13,9,25,39,26,0.6,1.8
358,21.10.2010,9,7,26,37,27,0.5,1.4
359,22.10.2010,18,11,36,53,17,0.8,2.1
360,23.10.2010,22,8,30,42,23,0.9,2.1
361,24.10.2010,12,2,14,17,48,0.5,1.0
362,25.10.2010,11,11,28,44,26,0.6,1.6
363,26.10.2010,12,22,38,71,24,1.1,3.6
364,27.10.2010,21,18,41,69,11,1.0,3.0
365,28.10.2010,19,17,41,67,12,1.0,2.8
366,29.10.2010,28,18,43,71,10,1.2,3.3
367,30.10.2010,32,6,36,46,20,1.5,2.8
368,31.10.2010,56,13,46,65,12,2.4,4.6
369,01.11.2010,64,45,44,114,2,3.3,7.0
370,02.11.2010,58,21,34,66,8,1.9,3.2
371,03.11.2010,21,10,29,43,24,0.7,1.8
372,04.11.2010,9,6,23,31,31,0.5,1.4
373,05.11.2010,11,6,24,32,32,0.5,1.3
374,06.11.2010,8,2,21,23,46,0.5,1.2
375,07.11.2010,15,3,27,31,22,0.9,2.0
376,08.11.2010,13,2,22,25,26,1.0,1.9
377,09.11.2010,20,17,34,59,12,1.4,2.9
378,10.11.2010,31,53,44,124,3,2.5,5.3
379,11.11.2010,15,11,29,46,24,0.9,1.8
380,12.11.2010,14,6,22,31,45,0.5,1.2
381,13.11.2010,6,4,24,31,38,0.7,1.7
382,14.11.2010,8,6,25,34,32,0.7,1.9
383,15.11.2010,10,5,31,38,34,0.8,1.9
384,16.11.2010,8,2,21,24,43,0.7,1.5
385,17.11.2010,4,2,16,18,41,0.8,1.3
386,18.11.2010,13,13,23,43,6,1.9,3.1
387,19.11.2010,17,32,34,82,2,1.6,3.3
388,20.11.2010,26,24,38,75,3,1.7,3.7
389,21.11.2010,33,9,22,36,13,2.0,2.8
390,22.11.2010,19,4,19,26,9,2.0,2.2
391,23.11.2010,5,5,16,24,21,1.0,1.4
392,24.11.2010,5,4,20,27,34,0.7,1.3
393,25.11.2010,14,25,48,86,22,1.3,2.8
394,26.11.2010,17,8,36,48,20,1.2,2.1
395,27.11.2010,20,11,31,48,14,1.2,2.1
396,28.11.2010,34,4,23,29,16,1.7,2.1
397,29.11.2010,28,2,16,18,24,1.7,1.7
398,30.11.2010,9,3,20,24,36,1.0,1.5
399,01.12.2010,,3,9,13,37,1.5,1.8
400,02.12.2010,,9,24,37,24,1.6,2.1
401,03.12.2010,,24,45,81,8,1.8,2.6
402,04.12.2010,34,21,44,76,7,2.2,2.8
403,05.12.2010,22,5,23,30,32,1.3,1.5
404,06.12.2010,31,50,59,136,10,2.1,4.5
405,07.12.2010,37,16,36,61,17,2.2,3.1
406,08.12.2010,46,3,27,31,27,2.2,2.4
407,09.12.2010,17,6,26,34,37,0.8,1.2
408,10.12.2010,17,7,39,50,29,0.9,1.6
409,11.12.2010,12,2,20,23,46,0.6,1.0
410,12.12.2010,9,0,8,9,56,0.6,0.6
411,13.12.2010,11,5,28,36,33,0.8,1.2
412,14.12.2010,11,2,23,25,38,0.9,1.2
413,15.12.2010,15,6,29,39,26,1.4,1.9
414,16.12.2010,28,19,42,72,13,1.7,2.4
415,17.12.2010,28,19,45,74,14,1.7,2.9
416,18.12.2010,31,24,54,90,15,1.9,3.0
417,19.12.2010,53,32,57,107,4,3.5,4.1
418,20.12.2010,38,9,36,50,14,2.3,2.2
419,21.12.2010,54,66,62,163,2,3.5,5.7
420,22.12.2010,89,14,47,68,3,5.1,4.7
421,23.12.2010,,12,38,55,4,5.3,4.4
422,24.12.2010,,1,13,14,27,2.2,1.7
423,25.12.2010,,1,11,12,39,1.2,1.1
424,26.12.2010,,3,21,26,42,1.1,1.2
425,27.12.2010,,13,44,64,14,1.6,2.0
426,28.12.2010,36,3,26,30,26,2.0,1.9
427,29.12.2010,52,38,55,114,8,2.8,3.3
428,30.12.2010,47,22,50,84,5,2.4,2.4
429,31.12.2010,23,3,31,36,24,1.3,1.7
430,01.01.2011,33,2,16,19,54,0.7,0.8
431,02.01.2011,21,1,16,17,52,0.7,0.8
432,03.01.2011,19,4,27,33,39,0.9,1.4
433,04.01.2011,28,19,52,81,16,1.5,2.6
434,05.01.2011,30,9,44,59,23,1.8,2.2
435,06.01.2011,27,10,42,58,21,1.9,2.3
436,07.01.2011,13,9,41,55,17,1.4,2.3
437,08.01.2011,17,12,38,57,13,1.6,2.7
438,09.01.2011,12,3,24,29,32,1.0,1.5
439,10.01.2011,25,19,49,78,19,1.3,2.5
440,11.01.2011,43,19,40,70,6,2.6,3.6
441,12.01.2011,16,7,34,44,26,1.1,1.8
442,13.01.2011,9,20,39,70,6,1.4,2.9
443,14.01.2011,10,10,33,49,18,0.8,2.0
444,15.01.2011,16,3,22,27,43,0.7,1.2
445,16.01.2011,13,4,27,34,35,0.9,1.7
446,17.01.2011,28,37,52,108,8,2.0,4.6
447,18.01.2011,19,11,44,60,20,1.2,2.7
448,19.01.2011,15,6,32,41,30,0.9,1.7
449,20.01.2011,11,1,19,21,50,0.7,1.0
450,21.01.2011,14,5,28,37,32,1.1,2.1
451,22.01.2011,17,4,25,32,30,0.9,1.3
452,23.01.2011,11,1,14,15,40,0.8,1.1
453,24.01.2011,15,10,33,48,21,1.0,1.8
454,25.01.2011,13,7,32,43,33,0.8,1.5
455,26.01.2011,9,4,21,27,37,0.8,1.5
456,27.01.2011,8,1,17,19,51,0.9,1.2
457,28.01.2011,32,9,40,55,14,2.0,2.6
458,29.01.2011,59,43,55,121,12,3.7,5.3
459,30.01.2011,57,31,48,95,11,3.6,4.6
460,31.01.2011,49,26,50,89,5,2.5,3.0
461,01.02.2011,65,14,34,55,17,2.1,2.3
462,02.02.2011,52,26,50,90,6,1.9,2.8
463,03.02.2011,26,11,40,57,13,1.4,2.1
464,04.02.2011,15,5,25,33,35,1.0,1.3
465,05.02.2011,13,1,8,11,62,0.5,0.6
466,06.02.2011,8,2,12,15,59,0.5,0.6
467,07.02.2011,24,9,31,44,43,0.8,1.6
468,08.02.2011,22,3,21,26,57,0.6,0.9
469,09.02.2011,24,6,39,48,30,1.0,2.1
470,10.02.2011,35,18,55,83,11,1.5,3.2
471,11.02.2011,16,6,28,37,38,0.9,1.6
472,12.02.2011,12,2,17,19,58,0.9,1.3
473,13.02.2011,21,2,19,22,47,1.4,1.3
474,14.02.2011,31,3,20,24,46,1.6,1.8
475,15.02.2011,44,3,26,30,43,2.1,2.1
476,16.02.2011,51,6,35,44,27,2.7,3.1
477,17.02.2011,63,3,27,31,26,2.7,2.4
478,18.02.2011,55,2,22,25,27,2.3,2.0
479,19.02.2011,30,2,11,15,54,1.5,1.3
480,20.02.2011,14,1,11,12,67,1.0,1.0
481,21.02.2011,26,2,17,20,66,1.4,1.7
482,22.02.2011,51,3,24,29,60,2.3,2.2
483,23.02.2011,54,7,43,54,42,2.3,2.6
484,24.02.2011,81,6,41,50,47,2.9,2.6
485,25.02.2011,93,5,48,56,48,3.6,2.9
486,26.02.2011,85,4,29,35,56,3.3,2.4
487,27.02.2011,93,2,35,37,46,3.7,2.5
488,28.02.2011,94,13,48,68,31,3.9,3.9
489,01.03.2011,75,5,41,48,46,2.9,3.0
490,02.03.2011,75,3,38,42,46,2.7,2.9
491,03.03.2011,72,2,44,47,56,2.6,2.9
492,04.03.2011,82,22,65,98,,2.8,4.3
493,05.03.2011,40,4,32,37,,1.2,2.2
494,06.03.2011,15,2,18,21,,0.8,1.2
495,07.03.2011,21,31,56,104,,1.5,3.9
496,08.03.2011,31,10,44,59,,1.4,2.2
497,09.03.2011,47,9,37,51,,1.2,2.2
498,10.03.2011,30,8,27,39,,0.7,1.7
499,11.03.2011,21,4,27,33,,0.6,1.4
500,12.03.2011,33,7,42,53,34,1.1,2.7
501,13.03.2011,47,17,61,87,35,2.1,5.7
502,14.03.2011,57,25,69,108,17,2.3,6.3
503,15.03.2011,70,2,25,29,41,1.9,2.2
504,16.03.2011,41,2,20,24,50,1.5,2.0
505,17.03.2011,30,3,26,30,38,1.6,2.3
506,18.03.2011,20,4,24,31,35,1.2,1.8
507,19.03.2011,14,2,19,22,61,0.8,1.7
508,20.03.2011,19,11,30,46,42,1.0,2.4
509,21.03.2011,34,49,65,140,31,1.7,5.9
510,22.03.2011,30,18,47,75,40,1.0,3.3
511,23.03.2011,23,5,27,34,54,0.7,1.8
512,24.03.2011,22,3,24,29,61,0.6,1.7
513,25.03.2011,20,5,31,39,49,0.5,1.4
514,26.03.2011,12,1,13,14,74,0.6,1.0
515,27.03.2011,22,13,35,55,52,1.3,3.8
516,28.03.2011,25,18,48,75,45,1.1,3.4
517,29.03.2011,28,24,52,88,48,1.1,3.9
518,30.03.2011,55,73,72,183,35,2.3,8.8
