,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2010-08-05,4,29,35,Schöneberg
2010-08-06,2,26,29,Schöneberg
2010-08-07,0,15,16,Schöneberg
2010-08-08,1,15,17,Schöneberg
2010-08-09,3,20,24,Schöneberg
2010-08-10,4,28,34,Schöneberg
2010-08-11,4,38,43,Schöneberg
2010-08-12,4,38,45,Schöneberg
2010-08-13,2,17,20,Schöneberg
2010-08-14,2,15,17,Schöneberg
2010-08-15,1,15,17,Schöneberg
2010-08-16,3,20,24,Schöneberg
2010-08-17,3,22,27,Schöneberg
2010-08-18,2,22,25,Schöneberg
2010-08-19,2,21,24,Schöneberg
2010-08-20,10,45,61,Schöneberg
2010-08-21,5,43,50,Schöneberg
2010-08-22,2,29,33,Schöneberg
2010-08-23,4,24,31,Schöneberg
2010-08-24,2,16,18,Schöneberg
2010-08-25,2,19,23,Schöneberg
2010-08-26,9,39,53,Schöneberg
2010-08-27,4,23,30,Schöneberg
2010-08-28,1,11,12,Schöneberg
2010-08-29,1,13,15,Schöneberg
2010-08-30,2,17,19,Schöneberg
2010-08-31,2,15,17,Schöneberg
2010-09-01,3,23,28,Schöneberg
2010-09-02,4,29,35,Schöneberg
2010-09-03,18,37,65,Schöneberg
2010-09-04,33,43,93,Schöneberg
2010-09-05,2,18,22,Schöneberg
2010-09-06,6,34,42,Schöneberg
2010-09-07,4,21,27,Schöneberg
2010-09-08,2,19,22,Schöneberg
2010-09-09,11,33,49,Schöneberg
2010-09-10,6,34,43,Schöneberg
2010-09-11,11,36,53,Schöneberg
2010-09-12,2,30,33,Schöneberg
2010-09-13,4,26,33,Schöneberg
2010-09-14,6,30,39,Schöneberg
2010-09-15,2,21,24,Schöneberg
2010-09-16,2,21,24,Schöneberg
2010-09-17,5,21,28,Schöneberg
2010-09-18,1,14,16,Schöneberg
2010-09-19,1,18,19,Schöneberg
2010-09-20,4,32,39,Schöneberg
2010-09-21,6,31,41,Schöneberg
2010-09-22,21,45,77,Schöneberg
2010-09-23,10,41,57,Schöneberg
2010-09-24,8,46,58,Schöneberg
2010-09-25,5,26,34,Schöneberg
2010-09-26,1,15,16,Schöneberg
2010-09-27,6,26,36,Schöneberg
2010-09-28,3,18,23,Schöneberg
2010-09-29,2,23,26,Schöneberg
2010-09-30,41,47,110,Schöneberg
2010-10-01,28,31,73,Schöneberg
2010-10-02,5,24,32,Schöneberg
2010-10-03,2,21,24,Schöneberg
2010-10-04,4,27,32,Schöneberg
2010-10-05,6,29,39,Schöneberg
2010-10-06,8,27,40,Schöneberg
2010-10-07,7,32,43,Schöneberg
2010-10-08,6,29,38,Schöneberg
2010-10-09,4,30,35,Schöneberg
2010-10-10,6,39,49,Schöneberg
2010-10-11,15,46,70,Schöneberg
2010-10-12,47,53,125,Schöneberg
2010-10-13,32,51,99,Schöneberg
2010-10-14,37,39,95,Schöneberg
2010-10-15,16,37,61,Schöneberg
2010-10-16,6,26,35,Schöneberg
2010-10-17,5,26,34,Schöneberg
2010-10-18,29,50,95,Schöneberg
2010-10-19,9,33,47,Schöneberg
2010-10-20,3,23,28,Schöneberg
2010-10-21,4,22,28,Schöneberg
2010-10-22,5,36,44,Schöneberg
2010-10-23,5,32,39,Schöneberg
2010-10-24,1,12,13,Schöneberg
2010-10-25,6,27,36,Schöneberg
2010-10-26,19,39,68,Schöneberg
2010-10-27,17,40,65,Schöneberg
2010-10-28,10,39,54,Schöneberg
2010-10-29,21,45,77,Schöneberg
2010-10-30,10,43,58,Schöneberg
2010-10-31,13,46,65,Schöneberg
2010-11-01,47,51,123,Schöneberg
2010-11-02,10,32,47,Schöneberg
2010-11-03,4,24,29,Schöneberg
2010-11-04,4,23,29,Schöneberg
2010-11-05,3,21,26,Schöneberg
2010-11-06,1,21,23,Schöneberg
2010-11-07,7,31,41,Schöneberg
2010-11-08,7,32,42,Schöneberg
2010-11-09,16,33,57,Schöneberg
2010-11-10,52,41,121,Schöneberg
2010-11-11,7,31,41,Schöneberg
2010-11-12,3,20,25,Schöneberg
2010-11-13,4,30,36,Schöneberg
2010-11-14,3,24,29,Schöneberg
2010-11-15,3,30,34,Schöneberg
2010-11-16,4,27,34,Schöneberg
2010-11-17,5,29,38,Schöneberg
2010-11-18,25,28,66,Schöneberg
2010-11-19,26,33,72,Schöneberg
2010-11-20,27,35,76,Schöneberg
2010-11-21,18,29,57,Schöneberg
2010-11-22,11,24,41,Schöneberg
2010-11-23,4,18,24,Schöneberg
2010-11-24,3,26,31,Schöneberg
2010-11-25,17,43,69,Schöneberg
2010-11-26,14,47,68,Schöneberg
2010-11-27,11,32,49,Schöneberg
2010-11-28,7,27,38,Schöneberg
2010-11-29,5,22,30,Schöneberg
2010-11-30,7,30,40,Schöneberg
2010-12-01,6,25,35,Schöneberg
2010-12-02,11,38,55,Schöneberg
2010-12-03,28,57,99,Schöneberg
2010-12-04,21,53,84,Schöneberg
2010-12-05,2,28,31,Schöneberg
2010-12-06,32,55,104,Schöneberg
2010-12-07,32,53,102,Schöneberg
2010-12-08,10,40,55,Schöneberg
2010-12-09,4,28,35,Schöneberg
2010-12-10,7,46,56,Schöneberg
2010-12-11,2,20,23,Schöneberg
2010-12-12,1,15,16,Schöneberg
2010-12-13,7,41,52,Schöneberg
2010-12-14,3,31,35,Schöneberg
2010-12-15,7,36,47,Schöneberg
2010-12-16,13,40,60,Schöneberg
2010-12-17,16,40,64,Schöneberg
2010-12-18,27,52,93,Schöneberg
2010-12-19,41,58,120,Schöneberg
2010-12-20,11,39,56,Schöneberg
2010-12-21,75,63,178,Schöneberg
2010-12-22,25,52,91,Schöneberg
2010-12-23,24,41,79,Schöneberg
2010-12-24,5,19,26,Schöneberg
2010-12-25,2,16,18,Schöneberg
2010-12-26,3,28,33,Schöneberg
2010-12-27,13,44,63,Schöneberg
2010-12-28,6,34,44,Schöneberg
2010-12-29,25,50,89,Schöneberg
2010-12-30,14,51,72,Schöneberg
2010-12-31,5,34,42,Schöneberg
2011-01-01,1,15,18,Schöneberg
2011-01-02,2,19,22,Schöneberg
2011-01-03,5,37,44,Schöneberg
2011-01-04,14,51,73,Schöneberg
2011-01-05,13,49,68,Schöneberg
2011-01-06,10,45,60,Schöneberg
2011-01-07,10,40,56,Schöneberg
2011-01-08,13,40,59,Schöneberg
2011-01-09,2,27,31,Schöneberg
2011-01-10,26,49,89,Schöneberg
2011-01-11,20,41,72,Schöneberg
2011-01-12,4,31,37,Schöneberg
2011-01-13,19,37,66,Schöneberg
2011-01-14,7,28,39,Schöneberg
2011-01-15,2,21,25,Schöneberg
2011-01-16,2,26,29,Schöneberg
2011-01-17,37,47,104,Schöneberg
2011-01-18,6,37,46,Schöneberg
2011-01-19,3,31,37,Schöneberg
2011-01-20,2,25,28,Schöneberg
2011-01-21,4,31,38,Schöneberg
2011-01-22,3,27,31,Schöneberg
2011-01-23,1,19,21,Schöneberg
2011-01-24,7,32,43,Schöneberg
2011-01-25,3,31,36,Schöneberg
2011-01-26,5,31,39,Schöneberg
2011-01-27,4,30,35,Schöneberg
2011-01-28,13,43,64,Schöneberg
2011-01-29,38,57,114,Schöneberg
