,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2013-08-12,3,23,27,Schöneberg
2013-08-13,2,14,16,Schöneberg
2013-08-14,1,14,16,Schöneberg
2013-08-15,3,24,29,Schöneberg
2013-08-16,5,31,38,Schöneberg
2013-08-17,1,29,31,Schöneberg
2013-08-18,1,20,21,Schöneberg
2013-08-19,7,27,37,Schöneberg
2013-08-20,2,19,23,Schöneberg
2013-08-21,6,39,49,Schöneberg
2013-08-22,18,48,76,Schöneberg
2013-08-23,3,21,26,Schöneberg
2013-08-24,2,16,19,Schöneberg
2013-08-25,1,13,14,Schöneberg
2013-08-26,3,19,23,Schöneberg
2013-08-27,3,29,33,Schöneberg
2013-08-28,5,31,39,Schöneberg
2013-08-29,21,46,78,Schöneberg
2013-08-30,12,55,74,Schöneberg
2013-08-31,1,21,22,Schöneberg
2013-09-01,0,8,9,Schöneberg
2013-09-02,2,14,17,Schöneberg
2013-09-03,4,21,28,Schöneberg
2013-09-04,4,22,29,Schöneberg
2013-09-05,6,25,34,Schöneberg
2013-09-06,4,26,31,Schöneberg
2013-09-07,2,20,22,Schöneberg
2013-09-08,1,24,25,Schöneberg
2013-09-09,2,21,24,Schöneberg
2013-09-10,9,34,48,Schöneberg
2013-09-11,12,33,51,Schöneberg
2013-09-12,15,37,60,Schöneberg
2013-09-13,7,26,37,Schöneberg
2013-09-14,4,30,36,Schöneberg
2013-09-15,2,17,20,Schöneberg
2013-09-16,4,27,32,Schöneberg
2013-09-17,4,23,28,Schöneberg
2013-09-18,7,25,37,Schöneberg
2013-09-19,4,24,30,Schöneberg
2013-09-20,12,33,51,Schöneberg
2013-09-21,3,21,25,Schöneberg
2013-09-22,2,15,18,Schöneberg
2013-09-23,2,15,18,Schöneberg
2013-09-24,3,30,35,Schöneberg
2013-09-25,15,31,54,Schöneberg
2013-09-26,14,32,53,Schöneberg
2013-09-27,6,29,39,Schöneberg
2013-09-28,9,30,44,Schöneberg
2013-09-29,2,19,22,Schöneberg
2013-09-30,5,25,34,Schöneberg
2013-10-01,8,31,43,Schöneberg
2013-10-02,11,35,51,Schöneberg
2013-10-03,3,19,23,Schöneberg
2013-10-04,4,30,37,Schöneberg
2013-10-05,10,38,53,Schöneberg
2013-10-06,7,26,37,Schöneberg
2013-10-07,15,35,58,Schöneberg
2013-10-08,19,42,71,Schöneberg
2013-10-09,12,36,54,Schöneberg
2013-10-10,8,31,43,Schöneberg
2013-10-11,5,29,36,Schöneberg
2013-10-12,4,27,32,Schöneberg
2013-10-13,13,28,49,Schöneberg
2013-10-14,22,40,74,Schöneberg
2013-10-15,11,42,59,Schöneberg
2013-10-16,14,35,56,Schöneberg
2013-10-17,8,21,33,Schöneberg
2013-10-18,3,24,30,Schöneberg
2013-10-19,5,31,39,Schöneberg
2013-10-20,8,27,39,Schöneberg
2013-10-21,14,32,54,Schöneberg
2013-10-22,20,36,67,Schöneberg
2013-10-23,7,35,46,Schöneberg
2013-10-24,15,40,63,Schöneberg
2013-10-25,45,46,114,Schöneberg
2013-10-26,8,27,40,Schöneberg
2013-10-27,2,13,16,Schöneberg
2013-10-28,3,18,23,Schöneberg
2013-10-29,3,23,27,Schöneberg
2013-10-30,5,35,43,Schöneberg
2013-10-31,19,46,76,Schöneberg
2013-11-01,8,34,47,Schöneberg
2013-11-02,4,27,34,Schöneberg
2013-11-03,3,21,25,Schöneberg
2013-11-04,4,25,31,Schöneberg
2013-11-05,5,27,35,Schöneberg
2013-11-06,3,26,31,Schöneberg
2013-11-07,6,34,43,Schöneberg
2013-11-08,15,43,67,Schöneberg
2013-11-09,3,25,29,Schöneberg
2013-11-10,2,18,21,Schöneberg
2013-11-11,35,35,88,Schöneberg
2013-11-12,20,41,73,Schöneberg
2013-11-13,6,36,45,Schöneberg
2013-11-14,35,45,97,Schöneberg
2013-11-15,4,30,36,Schöneberg
2013-11-16,8,25,37,Schöneberg
2013-11-17,10,28,43,Schöneberg
2013-11-18,16,31,55,Schöneberg
2013-11-19,23,35,71,Schöneberg
2013-11-20,9,31,44,Schöneberg
2013-11-21,26,39,79,Schöneberg
2013-11-22,11,27,43,Schöneberg
2013-11-23,7,25,35,Schöneberg
2013-11-24,2,23,26,Schöneberg
2013-11-25,9,42,57,Schöneberg
2013-11-26,20,46,77,Schöneberg
2013-11-27,21,47,79,Schöneberg
2013-11-28,3,31,35,Schöneberg
2013-11-29,4,29,36,Schöneberg
2013-11-30,3,22,26,Schöneberg
2013-12-01,2,15,18,Schöneberg
2013-12-02,37,45,102,Schöneberg
2013-12-03,42,36,100,Schöneberg
2013-12-04,26,41,80,Schöneberg
2013-12-05,3,23,28,Schöneberg
2013-12-06,1,10,12,Schöneberg
2013-12-07,2,15,18,Schöneberg
2013-12-08,4,20,26,Schöneberg
2013-12-09,4,25,32,Schöneberg
2013-12-10,10,33,47,Schöneberg
2013-12-11,5,27,34,Schöneberg
2013-12-12,16,31,56,Schöneberg
2013-12-13,38,38,96,Schöneberg
2013-12-14,14,35,56,Schöneberg
2013-12-15,3,29,34,Schöneberg
2013-12-16,18,46,73,Schöneberg
2013-12-17,46,59,130,Schöneberg
2013-12-18,45,49,117,Schöneberg
2013-12-19,20,46,76,Schöneberg
2013-12-20,32,40,89,Schöneberg
2013-12-21,3,26,31,Schöneberg
2013-12-22,2,19,22,Schöneberg
2013-12-23,5,30,38,Schöneberg
2013-12-24,2,18,21,Schöneberg
2013-12-25,6,24,33,Schöneberg
2013-12-26,4,26,33,Schöneberg
2013-12-27,3,22,27,Schöneberg
2013-12-28,9,30,43,Schöneberg
2013-12-29,2,21,23,Schöneberg
2013-12-30,11,34,51,Schöneberg
2013-12-31,11,37,53,Schöneberg
2014-01-01,10,30,46,Schöneberg
2014-01-02,8,33,46,Schöneberg
2014-01-03,10,37,53,Schöneberg
2014-01-04,6,32,41,Schöneberg
2014-01-05,3,28,33,Schöneberg
2014-01-06,8,40,52,Schöneberg
2014-01-07,7,35,46,Schöneberg
2014-01-08,9,39,52,Schöneberg
2014-01-09,11,32,50,Schöneberg
2014-01-10,2,16,19,Schöneberg
2014-01-11,3,21,25,Schöneberg
2014-01-12,2,11,13,Schöneberg
2014-01-13,19,41,70,Schöneberg
2014-01-14,37,39,97,Schöneberg
2014-01-15,9,32,46,Schöneberg
2014-01-16,10,35,50,Schöneberg
2014-01-17,34,44,96,Schöneberg
2014-01-18,13,33,53,Schöneberg
2014-01-19,4,19,25,Schöneberg
2014-01-20,13,25,46,Schöneberg
2014-01-21,15,32,55,Schöneberg
2014-01-22,9,32,45,Schöneberg
2014-01-23,7,33,45,Schöneberg
2014-01-24,7,40,51,Schöneberg
2014-01-25,7,38,48,Schöneberg
2014-01-26,4,27,34,Schöneberg
2014-01-27,17,46,72,Schöneberg
2014-01-28,17,41,67,Schöneberg
2014-01-29,5,33,41,Schöneberg
2014-01-30,7,35,46,Schöneberg
2014-01-31,33,54,104,Schöneberg
2014-02-01,9,43,57,Schöneberg
2014-02-02,11,39,56,Schöneberg
2014-02-03,12,35,54,Schöneberg
2014-02-04,12,49,67,Schöneberg
2014-02-05,10,44,60,Schöneberg
2014-02-06,13,43,63,Schöneberg
2014-02-07,6,31,41,Schöneberg
2014-02-08,2,25,28,Schöneberg
2014-02-09,2,19,22,Schöneberg
2014-02-10,10,37,53,Schöneberg
2014-02-11,5,36,43,Schöneberg
2014-02-12,8,39,51,Schöneberg
2014-02-13,7,36,48,Schöneberg
2014-02-14,8,30,42,Schöneberg
2014-02-15,3,25,30,Schöneberg
2014-02-16,1,14,16,Schöneberg
2014-02-17,7,36,47,Schöneberg
2014-02-18,25,51,88,Schöneberg
2014-02-19,14,39,61,Schöneberg
2014-02-20,11,38,54,Schöneberg
2014-02-21,7,30,41,Schöneberg
2014-02-22,3,26,30,Schöneberg
2014-02-23,4,35,40,Schöneberg
2014-02-24,8,43,55,Schöneberg
2014-02-25,9,42,56,Schöneberg
2014-02-26,43,58,124,Schöneberg
2014-02-27,34,55,107,Schöneberg
2014-02-28,22,42,75,Schöneberg
2014-03-01,15,41,64,Schöneberg
2014-03-02,12,40,59,Schöneberg
2014-03-03,5,32,39,Schöneberg
2014-03-04,12,37,55,Schöneberg
2014-03-05,20,37,67,Schöneberg
2014-03-06,10,32,46,Schöneberg
2014-03-07,18,47,74,Schöneberg
2014-03-08,7,44,54,Schöneberg
2014-03-09,4,41,48,Schöneberg
2014-03-10,49,69,144,Schöneberg
2014-03-11,31,43,90,Schöneberg
2014-03-12,13,51,71,Schöneberg
2014-03-13,37,77,133,Schöneberg
2014-03-14,9,48,62,Schöneberg
2014-03-15,1,10,11,Schöneberg
2014-03-16,1,5,6,Schöneberg
2014-03-17,2,12,15,Schöneberg
2014-03-18,3,20,25,Schöneberg
2014-03-19,2,19,23,Schöneberg
2014-03-20,5,34,41,Schöneberg
2014-03-21,2,20,24,Schöneberg
2014-03-22,3,24,28,Schöneberg
2014-03-23,1,17,19,Schöneberg
2014-03-24,5,33,41,Schöneberg
2014-03-25,6,34,43,Schöneberg
2014-03-26,6,31,40,Schöneberg
2014-03-27,4,26,33,Schöneberg
2014-03-28,11,37,54,Schöneberg
2014-03-29,14,43,65,Schöneberg
2014-03-30,3,39,43,Schöneberg
2014-03-31,21,59,91,Schöneberg
2014-04-01,9,42,56,Schöneberg
2014-04-02,4,28,35,Schöneberg
2014-04-03,20,49,80,Schöneberg
2014-04-04,3,30,35,Schöneberg
2014-04-05,2,24,28,Schöneberg
2014-04-06,2,26,30,Schöneberg
2014-04-07,5,32,39,Schöneberg
2014-04-08,4,21,27,Schöneberg
2014-04-09,3,13,17,Schöneberg
2014-04-10,3,22,26,Schöneberg
2014-04-11,10,35,51,Schöneberg
2014-04-12,4,29,35,Schöneberg
2014-04-13,1,10,12,Schöneberg
2014-04-14,2,14,17,Schöneberg
2014-04-15,2,16,19,Schöneberg
2014-04-16,6,33,42,Schöneberg
2014-04-17,13,41,60,Schöneberg
2014-04-18,1,16,17,Schöneberg
2014-04-19,2,24,26,Schöneberg
2014-04-20,2,13,16,Schöneberg
2014-04-21,1,15,15,Schöneberg
2014-04-22,3,26,31,Schöneberg
2014-04-23,9,35,48,Schöneberg
2014-04-24,5,26,33,Schöneberg
2014-04-25,3,26,30,Schöneberg
2014-04-26,1,22,23,Schöneberg
2014-04-27,1,15,16,Schöneberg
2014-04-28,3,20,24,Schöneberg
2014-04-29,5,28,35,Schöneberg
2014-04-30,4,36,42,Schöneberg
2014-05-01,1,18,20,Schöneberg
2014-05-02,4,22,27,Schöneberg
2014-05-03,7,22,32,Schöneberg
2014-05-04,1,15,17,Schöneberg
2014-05-05,12,29,48,Schöneberg
2014-05-06,3,32,37,Schöneberg
2014-05-07,2,25,27,Schöneberg
2014-05-08,2,19,22,Schöneberg
2014-05-09,2,16,19,Schöneberg
2014-05-10,1,13,14,Schöneberg
2014-05-11,1,10,11,Schöneberg
2014-05-12,2,15,19,Schöneberg
2014-05-13,1,15,17,Schöneberg
2014-05-14,2,16,19,Schöneberg
2014-05-15,3,18,23,Schöneberg
2014-05-16,1,16,18,Schöneberg
2014-05-17,1,13,14,Schöneberg
2014-05-18,2,18,21,Schöneberg
2014-05-19,4,25,31,Schöneberg
2014-05-20,5,35,43,Schöneberg
2014-05-21,4,36,42,Schöneberg
2014-05-22,1,22,24,Schöneberg
2014-05-23,2,23,25,Schöneberg
2014-05-24,1,14,16,Schöneberg
2014-05-25,0,16,16,Schöneberg
2014-05-26,2,17,21,Schöneberg
2014-05-27,2,13,16,Schöneberg
2014-05-28,4,19,24,Schöneberg
2014-05-29,1,13,15,Schöneberg
2014-05-30,2,18,22,Schöneberg
2014-05-31,2,11,14,Schöneberg
2014-06-01,1,13,14,Schöneberg
2014-06-02,2,17,20,Schöneberg
2014-06-03,2,20,24,Schöneberg
2014-06-04,3,24,28,Schöneberg
2014-06-05,3,21,26,Schöneberg
2014-06-06,7,37,48,Schöneberg
2014-06-07,6,35,45,Schöneberg
2014-06-08,6,42,51,Schöneberg
2014-06-09,1,11,13,Schöneberg
2014-06-10,2,22,26,Schöneberg
2014-06-11,2,25,28,Schöneberg
2014-06-12,2,12,15,Schöneberg
2014-06-13,2,18,21,Schöneberg
2014-06-14,1,11,13,Schöneberg
2014-06-15,5,16,24,Schöneberg
2014-06-16,2,18,22,Schöneberg
2014-06-17,1,13,15,Schöneberg
2014-06-18,6,22,31,Schöneberg
2014-06-19,2,11,14,Schöneberg
2014-06-20,2,10,12,Schöneberg
2014-06-21,1,8,9,Schöneberg
2014-06-22,1,7,9,Schöneberg
2014-06-23,1,14,16,Schöneberg
2014-06-24,2,19,21,Schöneberg
2014-06-25,5,31,39,Schöneberg
2014-06-26,14,39,60,Schöneberg
2014-06-27,27,41,82,Schöneberg
2014-06-28,2,22,24,Schöneberg
2014-06-29,1,13,14,Schöneberg
2014-06-30,2,15,18,Schöneberg
2014-07-01,2,16,19,Schöneberg
2014-07-02,2,15,18,Schöneberg
2014-07-03,3,27,32,Schöneberg
2014-07-04,3,38,42,Schöneberg
2014-07-05,0,18,19,Schöneberg
2014-07-06,1,12,12,Schöneberg
2014-07-07,3,17,21,Schöneberg
2014-07-08,4,27,32,Schöneberg
2014-07-09,2,22,26,Schöneberg
2014-07-10,3,20,25,Schöneberg
2014-07-11,2,17,20,Schöneberg
2014-07-12,1,9,11,Schöneberg
2014-07-13,1,13,15,Schöneberg
2014-07-14,2,15,18,Schöneberg
2014-07-15,2,19,22,Schöneberg
2014-07-16,2,29,32,Schöneberg
2014-07-17,2,25,28,Schöneberg
2014-07-18,3,30,34,Schöneberg
2014-07-19,1,18,19,Schöneberg
2014-07-20,1,15,16,Schöneberg
2014-07-21,1,14,15,Schöneberg
2014-07-22,1,13,15,Schöneberg
2014-07-23,2,12,14,Schöneberg
2014-07-24,1,21,24,Schöneberg
2014-07-25,2,24,27,Schöneberg
2014-07-26,2,21,24,Schöneberg
2014-07-27,1,18,19,Schöneberg
2014-07-28,2,21,24,Schöneberg
2014-07-29,2,23,26,Schöneberg
2014-07-30,2,20,24,Schöneberg
2014-07-31,3,23,28,Schöneberg
2014-08-01,17,30,55,Schöneberg
2014-08-02,1,13,15,Schöneberg
2014-08-03,1,13,14,Schöneberg
2014-08-04,1,17,19,Schöneberg
2014-08-05,2,20,23,Schöneberg
2014-08-06,4,24,31,Schöneberg
2014-08-07,4,35,41,Schöneberg
2014-08-08,2,28,31,Schöneberg
2014-08-09,3,14,18,Schöneberg
2014-08-10,2,23,26,Schöneberg
2014-08-11,1,14,15,Schöneberg
2014-08-12,2,23,26,Schöneberg
2014-08-13,4,24,30,Schöneberg
2014-08-14,2,13,16,Schöneberg
2014-08-15,2,18,21,Schöneberg
2014-08-16,1,11,13,Schöneberg
2014-08-17,1,9,10,Schöneberg
2014-08-18,2,13,15,Schöneberg
2014-08-19,2,13,15,Schöneberg
2014-08-20,2,15,18,Schöneberg
2014-08-21,6,35,44,Schöneberg
2014-08-22,4,34,41,Schöneberg
2014-08-23,1,13,14,Schöneberg
2014-08-24,1,11,12,Schöneberg
2014-08-25,3,19,25,Schöneberg
2014-08-26,2,25,29,Schöneberg
2014-08-27,4,33,39,Schöneberg
2014-08-28,11,42,59,Schöneberg
2014-08-29,8,43,55,Schöneberg
2014-08-30,2,21,25,Schöneberg
2014-08-31,1,17,19,Schöneberg
2014-09-01,4,29,36,Schöneberg
2014-09-02,3,20,24,Schöneberg
2014-09-03,3,19,24,Schöneberg
2014-09-04,3,23,28,Schöneberg
2014-09-05,3,24,29,Schöneberg
2014-09-06,2,25,29,Schöneberg
2014-09-07,3,22,26,Schöneberg
2014-09-08,3,22,26,Schöneberg
2014-09-09,2,19,21,Schöneberg
2014-09-10,2,21,25,Schöneberg
2014-09-11,4,23,29,Schöneberg
2014-09-12,1,14,16,Schöneberg
2014-09-13,1,14,15,Schöneberg
2014-09-14,1,16,17,Schöneberg
2014-09-15,3,30,34,Schöneberg
2014-09-16,3,28,32,Schöneberg
2014-09-17,2,25,28,Schöneberg
2014-09-18,3,32,36,Schöneberg
2014-09-19,12,43,61,Schöneberg
2014-09-20,11,36,53,Schöneberg
2014-09-21,2,15,18,Schöneberg
2014-09-22,2,14,17,Schöneberg
2014-09-23,10,30,45,Schöneberg
2014-09-24,11,37,54,Schöneberg
2014-09-25,3,26,30,Schöneberg
2014-09-26,5,25,32,Schöneberg
2014-09-27,14,28,49,Schöneberg
2014-09-28,14,40,62,Schöneberg
2014-09-29,22,48,81,Schöneberg
2014-09-30,11,40,57,Schöneberg
2014-10-01,29,45,89,Schöneberg
2014-10-02,53,59,138,Schöneberg
2014-10-03,4,22,27,Schöneberg
2014-10-04,3,21,25,Schöneberg
2014-10-05,2,23,26,Schöneberg
2014-10-06,6,27,35,Schöneberg
2014-10-07,3,30,34,Schöneberg
2014-10-08,10,30,45,Schöneberg
2014-10-09,15,35,58,Schöneberg
2014-10-10,19,37,65,Schöneberg
2014-10-11,11,33,48,Schöneberg
2014-10-12,3,21,25,Schöneberg
2014-10-13,14,31,52,Schöneberg
2014-10-14,21,34,66,Schöneberg
2014-10-15,15,33,56,Schöneberg
2014-10-16,43,41,107,Schöneberg
2014-10-17,9,31,44,Schöneberg
2014-10-18,15,30,53,Schöneberg
2014-10-19,3,15,19,Schöneberg
2014-10-20,2,16,19,Schöneberg
2014-10-21,6,24,33,Schöneberg
2014-10-22,4,23,28,Schöneberg
2014-10-23,5,27,35,Schöneberg
2014-10-24,5,23,31,Schöneberg
2014-10-25,13,23,43,Schöneberg
2014-10-26,16,22,47,Schöneberg
2014-10-27,18,30,58,Schöneberg
2014-10-28,21,39,72,Schöneberg
2014-10-29,22,34,67,Schöneberg
2014-10-30,30,31,77,Schöneberg
2014-10-31,47,31,103,Schöneberg
2014-11-01,50,31,108,Schöneberg
2014-11-02,21,28,59,Schöneberg
2014-11-03,7,29,41,Schöneberg
2014-11-04,16,37,62,Schöneberg
2014-11-05,16,31,56,Schöneberg
2014-11-06,7,31,41,Schöneberg
2014-11-07,20,33,65,Schöneberg
2014-11-08,23,35,70,Schöneberg
2014-11-09,9,28,42,Schöneberg
2014-11-10,19,26,55,Schöneberg
2014-11-11,39,33,92,Schöneberg
2014-11-12,21,32,64,Schöneberg
2014-11-13,30,25,70,Schöneberg
2014-11-14,18,22,49,Schöneberg
2014-11-15,4,21,28,Schöneberg
2014-11-16,6,22,31,Schöneberg
2014-11-17,24,35,72,Schöneberg
2014-11-18,11,20,36,Schöneberg
2014-11-19,14,18,40,Schöneberg
2014-11-20,22,21,54,Schöneberg
2014-11-21,19,32,61,Schöneberg
2014-11-22,4,28,34,Schöneberg
2014-11-23,6,24,33,Schöneberg
2014-11-24,14,34,55,Schöneberg
2014-11-25,20,44,75,Schöneberg
2014-11-26,7,32,42,Schöneberg
2014-11-27,10,31,46,Schöneberg
2014-11-28,6,28,37,Schöneberg
2014-11-29,2,22,25,Schöneberg
2014-11-30,2,20,22,Schöneberg
2014-12-01,6,22,30,Schöneberg
2014-12-02,7,26,35,Schöneberg
2014-12-03,17,30,56,Schöneberg
2014-12-04,25,35,74,Schöneberg
2014-12-05,31,33,80,Schöneberg
2014-12-06,23,30,66,Schöneberg
2014-12-07,4,29,35,Schöneberg
2014-12-08,6,31,40,Schöneberg
2014-12-09,41,44,107,Schöneberg
2014-12-10,8,36,48,Schöneberg
2014-12-11,6,31,41,Schöneberg
2014-12-12,4,22,27,Schöneberg
2014-12-13,2,25,28,Schöneberg
2014-12-14,6,32,41,Schöneberg
2014-12-15,9,28,41,Schöneberg
2014-12-16,10,34,50,Schöneberg
2014-12-17,8,37,49,Schöneberg
2014-12-18,10,29,45,Schöneberg
2014-12-19,3,17,21,Schöneberg
2014-12-20,1,12,13,Schöneberg
2014-12-21,1,11,12,Schöneberg
2014-12-22,2,14,17,Schöneberg
2014-12-23,1,12,14,Schöneberg
2014-12-24,1,13,14,Schöneberg
2014-12-25,1,9,10,Schöneberg
2014-12-26,4,23,29,Schöneberg
2014-12-27,9,34,47,Schöneberg
2014-12-28,5,28,35,Schöneberg
2014-12-29,13,41,61,Schöneberg
2014-12-30,11,43,59,Schöneberg
2014-12-31,5,26,34,Schöneberg
2015-01-01,3,21,26,Schöneberg
2015-01-02,1,15,17,Schöneberg
2015-01-03,1,13,15,Schöneberg
2015-01-04,1,15,16,Schöneberg
2015-01-05,4,26,31,Schöneberg
2015-01-06,6,33,42,Schöneberg
2015-01-07,11,39,55,Schöneberg
2015-01-08,7,30,41,Schöneberg
2015-01-09,2,15,18,Schöneberg
2015-01-10,1,11,12,Schöneberg
2015-01-11,1,7,8,Schöneberg
2015-01-12,2,19,22,Schöneberg
2015-01-13,2,20,23,Schöneberg
2015-01-14,4,27,34,Schöneberg
2015-01-15,6,32,42,Schöneberg
2015-01-16,10,39,54,Schöneberg
2015-01-17,7,37,47,Schöneberg
2015-01-18,11,40,57,Schöneberg
2015-01-19,44,41,109,Schöneberg
2015-01-20,19,39,68,Schöneberg
2015-01-21,15,33,56,Schöneberg
2015-01-22,13,32,52,Schöneberg
2015-01-23,6,27,36,Schöneberg
2015-01-24,5,27,35,Schöneberg
2015-01-25,2,20,23,Schöneberg
2015-01-26,7,31,42,Schöneberg
2015-01-27,2,27,30,Schöneberg
2015-01-28,4,23,29,Schöneberg
2015-01-29,4,26,32,Schöneberg
2015-01-30,8,34,46,Schöneberg
2015-01-31,4,24,29,Schöneberg
2015-02-01,3,24,29,Schöneberg
2015-02-02,5,28,36,Schöneberg
2015-02-03,3,30,34,Schöneberg
2015-02-04,5,29,36,Schöneberg
2015-02-05,14,36,58,Schöneberg
2015-02-06,11,41,58,Schöneberg
2015-02-07,4,27,33,Schöneberg
2015-02-08,1,13,15,Schöneberg
2015-02-09,3,26,30,Schöneberg
2015-02-10,3,28,32,Schöneberg
2015-02-11,3,31,35,Schöneberg
2015-02-12,40,35,96,Schöneberg
2015-02-13,27,43,84,Schöneberg
2015-02-14,12,45,64,Schöneberg
2015-02-15,4,37,43,Schöneberg
2015-02-16,3,24,30,Schöneberg
2015-02-17,8,33,45,Schöneberg
2015-02-18,6,36,44,Schöneberg
2015-02-19,17,40,66,Schöneberg
2015-02-20,10,41,57,Schöneberg
2015-02-21,2,25,28,Schöneberg
2015-02-22,4,35,41,Schöneberg
2015-02-23,7,37,47,Schöneberg
2015-02-24,11,37,55,Schöneberg
2015-02-25,52,54,133,Schöneberg
2015-02-26,52,54,133,Schöneberg
2015-02-27,11,43,60,Schöneberg
2015-02-28,2,27,30,Schöneberg
2015-03-01,2,25,27,Schöneberg
2015-03-02,1,24,26,Schöneberg
2015-03-03,2,19,22,Schöneberg
2015-03-04,3,26,30,Schöneberg
2015-03-05,3,29,34,Schöneberg
2015-03-06,9,40,53,Schöneberg
2015-03-07,4,29,35,Schöneberg
2015-03-08,3,28,33,Schöneberg
2015-03-09,5,34,42,Schöneberg
2015-03-10,14,36,58,Schöneberg
2015-03-11,2,26,30,Schöneberg
2015-03-12,3,26,30,Schöneberg
2015-03-13,7,36,46,Schöneberg
2015-03-14,3,28,33,Schöneberg
2015-03-15,3,20,24,Schöneberg
2015-03-16,4,24,29,Schöneberg
2015-03-17,2,26,29,Schöneberg
2015-03-18,2,30,34,Schöneberg
2015-03-19,6,50,60,Schöneberg
2015-03-20,36,75,131,Schöneberg
2015-03-21,4,27,32,Schöneberg
2015-03-22,2,19,22,Schöneberg
2015-03-23,15,44,67,Schöneberg
2015-03-24,18,49,77,Schöneberg
2015-03-25,13,38,58,Schöneberg
2015-03-26,5,34,41,Schöneberg
2015-03-27,6,25,33,Schöneberg
2015-03-28,2,18,22,Schöneberg
2015-03-29,2,13,15,Schöneberg
2015-03-30,1,10,12,Schöneberg
2015-03-31,2,15,17,Schöneberg
2015-04-01,2,13,15,Schöneberg
2015-04-02,3,20,24,Schöneberg
2015-04-03,1,13,15,Schöneberg
2015-04-04,3,23,28,Schöneberg
2015-04-05,2,26,28,Schöneberg
2015-04-06,1,17,19,Schöneberg
2015-04-07,5,29,36,Schöneberg
2015-04-08,2,27,30,Schöneberg
2015-04-09,23,45,81,Schöneberg
2015-04-10,45,58,127,Schöneberg
2015-04-11,2,26,30,Schöneberg
2015-04-12,1,13,15,Schöneberg
2015-04-13,1,17,19,Schöneberg
2015-04-14,3,21,25,Schöneberg
2015-04-15,2,16,19,Schöneberg
2015-04-16,1,15,17,Schöneberg
2015-04-17,2,18,21,Schöneberg
2015-04-18,3,21,25,Schöneberg
2015-04-19,5,29,37,Schöneberg
2015-04-20,3,22,26,Schöneberg
2015-04-21,2,20,24,Schöneberg
2015-04-22,2,24,27,Schöneberg
2015-04-23,2,23,27,Schöneberg
2015-04-24,5,35,43,Schöneberg
2015-04-25,2,25,27,Schöneberg
2015-04-26,3,20,25,Schöneberg
2015-04-27,15,31,54,Schöneberg
2015-04-28,4,23,29,Schöneberg
2015-04-29,2,16,19,Schöneberg
2015-04-30,4,27,33,Schöneberg
2015-05-01,1,14,15,Schöneberg
2015-05-02,7,29,40,Schöneberg
2015-05-03,6,27,36,Schöneberg
2015-05-04,3,21,26,Schöneberg
2015-05-05,4,23,29,Schöneberg
2015-05-06,6,25,35,Schöneberg
2015-05-07,2,18,21,Schöneberg
2015-05-08,7,30,40,Schöneberg
2015-05-09,2,18,22,Schöneberg
2015-05-10,2,12,14,Schöneberg
2015-05-11,9,40,54,Schöneberg
2015-05-12,3,29,34,Schöneberg
2015-05-13,2,17,20,Schöneberg
2015-05-14,1,15,16,Schöneberg
2015-05-15,2,21,24,Schöneberg
2015-05-16,3,22,27,Schöneberg
2015-05-17,1,11,13,Schöneberg
2015-05-18,7,40,51,Schöneberg
2015-05-19,1,20,22,Schöneberg
2015-05-20,5,28,35,Schöneberg
2015-05-21,3,21,25,Schöneberg
2015-05-22,6,31,40,Schöneberg
2015-05-23,1,21,23,Schöneberg
2015-05-24,2,21,24,Schöneberg
2015-05-25,4,24,29,Schöneberg
2015-05-26,2,14,17,Schöneberg
2015-05-27,2,17,21,Schöneberg
2015-05-28,3,25,29,Schöneberg
2015-05-29,4,12,18,Schöneberg
2015-05-30,1,10,11,Schöneberg
2015-05-31,1,14,15,Schöneberg
2015-06-01,2,23,27,Schöneberg
2015-06-02,3,15,19,Schöneberg
2015-06-03,2,15,17,Schöneberg
2015-06-04,2,17,19,Schöneberg
2015-06-05,2,20,23,Schöneberg
2015-06-06,1,13,14,Schöneberg
2015-06-07,0,7,8,Schöneberg
2015-06-08,1,9,11,Schöneberg
2015-06-09,2,10,13,Schöneberg
2015-06-10,2,17,20,Schöneberg
2015-06-11,2,20,23,Schöneberg
2015-06-12,2,21,23,Schöneberg
2015-06-13,1,16,19,Schöneberg
2015-06-14,1,10,11,Schöneberg
2015-06-15,1,9,11,Schöneberg
2015-06-16,2,18,22,Schöneberg
2015-06-17,2,18,21,Schöneberg
2015-06-18,1,13,15,Schöneberg
2015-06-19,2,11,14,Schöneberg
2015-06-20,1,12,13,Schöneberg
2015-06-21,2,14,16,Schöneberg
2015-06-22,2,19,21,Schöneberg
2015-06-23,3,21,25,Schöneberg
2015-06-24,2,17,21,Schöneberg
2015-06-25,3,27,31,Schöneberg
2015-06-26,4,42,48,Schöneberg
2015-06-27,2,23,25,Schöneberg
2015-06-28,3,14,19,Schöneberg
2015-06-29,5,23,30,Schöneberg
2015-06-30,2,12,15,Schöneberg
2015-07-01,2,19,22,Schöneberg
2015-07-02,2,18,21,Schöneberg
2015-07-03,2,23,25,Schöneberg
2015-07-04,2,19,22,Schöneberg
2015-07-05,1,15,16,Schöneberg
2015-07-06,1,15,16,Schöneberg
2015-07-07,4,30,36,Schöneberg
2015-07-08,1,13,14,Schöneberg
2015-07-09,2,8,11,Schöneberg
