,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2010-05-15,11,0,7,7,66,Marienfelde
2010-05-16,19,0,5,5,78,Marienfelde
2010-05-17,17,0,10,10,79,Marienfelde
2010-05-18,17,1,8,9,72,Marienfelde
2010-05-19,22,2,14,16,50,Marienfelde
2010-05-20,29,4,19,24,39,Marienfelde
2010-05-21,27,2,8,11,60,Marienfelde
2010-05-22,28,2,10,14,57,Marienfelde
2010-05-23,19,1,5,6,68,Marienfelde
2010-05-24,19,0,7,6,65,Marienfelde
2010-05-25,19,1,5,6,79,Marienfelde
2010-05-26,17,3,11,15,59,Marienfelde
2010-05-27,18,2,15,18,53,Marienfelde
2010-05-28,24,2,20,22,44,Marienfelde
2010-05-29,23,1,8,10,65,Marienfelde
2010-05-30,20,1,5,5,67,Marienfelde
2010-05-31,8,1,8,9,57,Marienfelde
2010-06-01,8,1,15,16,55,Marienfelde
2010-06-02,16,1,15,17,62,Marienfelde
2010-06-03,14,1,8,10,81,Marienfelde
2010-06-04,17,1,10,11,70,Marienfelde
2010-06-05,22,2,14,16,73,Marienfelde
2010-06-06,30,2,15,18,87,Marienfelde
2010-06-07,24,1,13,14,87,Marienfelde
2010-06-08,19,1,11,12,80,Marienfelde
2010-06-09,24,1,13,14,84,Marienfelde
2010-06-10,34,2,22,25,88,Marienfelde
2010-06-11,33,1,10,11,88,Marienfelde
2010-06-12,13,0,7,7,67,Marienfelde
2010-06-13,15,0,5,5,63,Marienfelde
2010-06-14,15,2,16,19,52,Marienfelde
2010-06-15,19,3,16,21,57,Marienfelde
2010-06-16,13,2,10,13,69,Marienfelde
2010-06-17,15,1,16,18,70,Marienfelde
2010-06-18,20,2,11,13,69,Marienfelde
2010-06-19,12,2,2,5,67,Marienfelde
2010-06-20,13,1,4,5,56,Marienfelde
2010-06-21,16,2,8,11,53,Marienfelde
2010-06-22,12,2,12,15,57,Marienfelde
2010-06-23,17,4,19,24,48,Marienfelde
2010-06-24,18,6,17,27,61,Marienfelde
2010-06-25,22,2,16,19,86,Marienfelde
2010-06-26,16,1,6,6,76,Marienfelde
2010-06-27,14,0,8,8,72,Marienfelde
2010-06-28,19,2,10,12,77,Marienfelde
2010-06-29,26,1,14,16,100,Marienfelde
2010-06-30,25,1,16,18,93,Marienfelde
2010-07-01,24,1,15,17,96,Marienfelde
2010-07-02,30,1,19,20,106,Marienfelde
2010-07-03,30,1,13,14,112,Marienfelde
2010-07-04,25,1,6,6,113,Marienfelde
2010-07-05,24,1,13,14,105,Marienfelde
2010-07-06,17,2,7,10,62,Marienfelde
2010-07-07,14,2,10,12,62,Marienfelde
2010-07-08,18,1,14,16,87,Marienfelde
2010-07-09,28,1,13,14,116,Marienfelde
2010-07-10,30,1,14,15,129,Marienfelde
2010-07-11,28,1,13,15,117,Marienfelde
2010-07-12,35,1,16,18,111,Marienfelde
2010-07-13,22,2,8,11,104,Marienfelde
2010-07-14,30,1,16,18,106,Marienfelde
2010-07-15,21,1,11,13,99,Marienfelde
2010-07-16,26,0,13,13,106,Marienfelde
2010-07-17,24,2,8,11,84,Marienfelde
2010-07-18,13,0,8,7,73,Marienfelde
2010-07-19,22,2,19,21,70,Marienfelde
2010-07-20,24,1,17,19,79,Marienfelde
2010-07-21,30,1,16,17,97,Marienfelde
2010-07-22,31,1,16,18,113,Marienfelde
2010-07-23,17,1,16,18,48,Marienfelde
2010-07-24,19,0,10,7,64,Marienfelde
2010-07-25,14,0,2,2,70,Marienfelde
2010-07-26,16,5,12,19,61,Marienfelde
2010-07-27,19,2,11,14,77,Marienfelde
2010-07-28,21,1,9,12,67,Marienfelde
2010-07-29,16,1,10,11,50,Marienfelde
2010-07-30,14,3,12,17,43,Marienfelde
2010-07-31,20,1,11,12,62,Marienfelde
2010-08-01,22,0,9,9,90,Marienfelde
2010-08-02,21,1,18,19,65,Marienfelde
2010-08-03,17,1,14,16,33,Marienfelde
2010-08-04,17,2,12,15,49,Marienfelde
2010-08-05,22,1,13,15,68,Marienfelde
2010-08-06,25,3,22,26,58,Marienfelde
2010-08-07,18,0,9,9,61,Marienfelde
2010-08-08,19,0,10,10,73,Marienfelde
2010-08-09,22,2,14,17,59,Marienfelde
2010-08-10,18,3,14,18,58,Marienfelde
2010-08-11,22,1,14,15,63,Marienfelde
2010-08-12,23,1,17,19,53,Marienfelde
2010-08-13,18,1,13,15,54,Marienfelde
2010-08-14,16,0,10,10,48,Marienfelde
2010-08-15,20,1,6,7,51,Marienfelde
2010-08-16,15,1,9,10,64,Marienfelde
2010-08-17,13,2,9,12,34,Marienfelde
2010-08-18,10,2,8,11,53,Marienfelde
2010-08-19,14,1,10,12,58,Marienfelde
2010-08-20,18,2,15,17,57,Marienfelde
2010-08-21,26,1,15,15,78,Marienfelde
2010-08-22,27,1,11,11,59,Marienfelde
2010-08-23,15,1,7,9,50,Marienfelde
2010-08-24,16,1,7,8,64,Marienfelde
2010-08-25,16,1,10,11,53,Marienfelde
2010-08-26,17,1,14,16,23,Marienfelde
2010-08-27,12,1,12,13,32,Marienfelde
2010-08-28,13,0,5,6,52,Marienfelde
2010-08-29,10,0,6,6,40,Marienfelde
2010-08-30,9,1,9,11,53,Marienfelde
2010-08-31,8,1,10,12,52,Marienfelde
2010-09-01,9,1,9,10,42,Marienfelde
2010-09-02,9,1,15,17,30,Marienfelde
2010-09-03,12,8,17,29,29,Marienfelde
2010-09-04,14,10,20,35,25,Marienfelde
2010-09-05,11,1,8,9,48,Marienfelde
2010-09-06,11,2,18,21,38,Marienfelde
2010-09-07,18,5,26,33,30,Marienfelde
2010-09-08,23,6,27,36,40,Marienfelde
2010-09-09,26,4,24,30,17,Marienfelde
2010-09-10,19,1,12,12,39,Marienfelde
2010-09-11,18,1,12,14,41,Marienfelde
2010-09-12,22,0,11,11,52,Marienfelde
2010-09-13,16,1,12,13,36,Marienfelde
2010-09-14,11,1,13,14,27,Marienfelde
2010-09-15,14,1,8,9,58,Marienfelde
2010-09-16,14,0,9,9,62,Marienfelde
2010-09-17,11,1,11,13,44,Marienfelde
2010-09-18,13,0,7,8,51,Marienfelde
2010-09-19,13,0,6,6,50,Marienfelde
2010-09-20,18,1,13,15,49,Marienfelde
2010-09-21,17,3,16,20,37,Marienfelde
2010-09-22,20,12,21,40,28,Marienfelde
2010-09-23,29,2,16,19,52,Marienfelde
2010-09-24,34,1,16,17,52,Marienfelde
2010-09-25,24,1,14,15,29,Marienfelde
2010-09-26,5,0,7,7,41,Marienfelde
2010-09-27,20,3,19,24,30,Marienfelde
2010-09-28,10,1,13,14,35,Marienfelde
2010-09-29,11,1,18,20,35,Marienfelde
2010-09-30,15,19,22,51,21,Marienfelde
2010-10-01,25,20,21,51,17,Marienfelde
2010-10-02,33,5,15,23,25,Marienfelde
2010-10-03,30,1,7,8,44,Marienfelde
2010-10-04,30,1,11,12,51,Marienfelde
2010-10-05,34,2,18,21,26,Marienfelde
2010-10-06,17,1,11,13,27,Marienfelde
